,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=859,689",,"N=142,137",,"N=10,410",,"N=2,705",,"N=579,518",,"N=489,129",,"N=102,8452",
0-4,30322,4%,3621,3%,89,1%,<5,--,0,0%,0,0%,0,0%
5-9,39580,5%,4655,3%,29,<1%,0,0%,<5,--,0,0%,<5,--
10-14,41266,5%,5930,4%,39,<1%,<5,--,8932,2%,<5,--,8935,1%
15-18,45089,5%,7794,5%,81,1%,0,0%,22381,4%,12035,2%,33963,3%
19-24,89948,11%,17831,13%,285,3%,<5,--,40175,7%,30053,6%,67221,7%
25-29,70462,8%,12672,9%,352,3%,5,<1%,33111,6%,26104,5%,56767,6%
30-39,126851,15%,22272,16%,688,7%,13,<1%,72546,13%,58762,12%,125648,12%
40-49,103522,12%,18664,13%,934,9%,35,1%,75293,13%,63040,13%,132097,13%
50-59,119965,14%,20378,14%,1549,15%,133,5%,103780,18%,90785,19%,183014,18%
60-69,99757,12%,14243,10%,2012,19%,329,12%,112904,19%,104463,21%,209555,20%
70-79,53750,6%,7217,5%,2060,20%,614,23%,71376,12%,67465,14%,136743,13%
80-89,23664,3%,4412,3%,1575,15%,847,31%,29958,5%,28088,6%,57416,6%
90+,9539,1%,2443,2%,713,7%,723,27%,9052,2%,8327,2%,17080,2%
Pending further information,5974,--,5,--,<5,--,0,--,8,--,<5,--,11,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,66339,17%,36389,29%,2204,26%,222,10%,64090,12%,48401,11%,106610,11%
American Indian or Alaska Native*,5032,1%,410,<1%,30,<1%,<5,--,1958,<1%,1486,<1%,3326,<1%
Asian*,11685,3%,2854,2%,200,2%,48,2%,19946,4%,16121,4%,34779,4%
Black or African American*,22291,6%,9080,7%,724,8%,117,5%,23233,4%,18189,4%,39554,4%
Native Hawaiian or Other Pacific Islander*,593,<1%,0,0%,0,0%,0,0%,905,<1%,762,<1%,1619,<1%
White*,264302,66%,71139,57%,5084,60%,1942,83%,409773,75%,354642,77%,737361,76%
Other race*,23072,6%,2726,2%,221,3%,7,<1%,25171,5%,20768,5%,44093,5%
Multiple race*,7096,2%,1649,1%,55,1%,<5,--,--,--,--,--,--,--
Declined,12613,--,3042,--,114,--,0,--,0,--,0,--,0,--
Unknown or pending further information,446666,--,14848,--,1778,--,363,--,34442,--,28760,--,61110,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,382644,54%,70777,53%,4885,50%,1390,51%,316766,55%,271470,56%,567750,55%
Male,327286,46%,62988,47%,4864,50%,1312,49%,262023,45%,217102,44%,459508,45%
Other,210,<1%,201,<1%,17,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,149549,--,8171,--,644,--,<5,--,729,--,557,--,1194,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3572,5%,125,3%,--,--,--,--,--,--,--,--
No,--,--,70769,95%,3711,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,67796,--,6574,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46012,52%,5230,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40723,46%,5164,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,655,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,283,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27837,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26627,--,14,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,45,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,774,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1307,2%,51,1%,--,--,--,--,--,--,--,--
Queer,--,--,158,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75321,96%,4045,98%,--,--,--,--,--,--,--,--
Other,--,--,704,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,33969,--,2563,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,29859,--,3714,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,5/24/2021,,,,,,,,,,,,,
