Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2736,50.1%,357,49.2%,498,49.6%,135,52.5%,1717,50.1%,130,57.3%,26,65.0%,1,996,47.7%
Female,2728,49.9%,369,50.8%,507,50.4%,122,47.5%,1707,49.8%,97,42.7%,14,35.0%,2,1094,52.3%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,259,4.7%,14,1.9%,65,6.5%,8,3.1%,172,5.0%,1,0.4%,0,0.0%,4,97,4.6%
10-19 Years,573,10.5%,53,7.3%,95,9.5%,37,14.4%,376,11.0%,1,0.4%,0,0.0%,5,230,11.0%
20-29 Years,1317,24.1%,190,26.2%,261,26.0%,46,17.9%,807,23.6%,14,6.2%,0,0.0%,6,540,25.8%
30-39 Years,1011,18.5%,147,20.2%,183,18.2%,49,19.1%,623,18.2%,20,8.8%,2,5.0%,7,408,19.5%
40-49 Years,760,13.9%,118,16.3%,116,11.5%,40,15.6%,476,13.9%,27,11.9%,2,5.0%,8,277,13.3%
50-59 Years,714,13.1%,87,12.0%,138,13.7%,35,13.6%,453,13.2%,43,18.9%,4,10.0%,9,257,12.3%
60-69 Years,503,9.2%,71,9.8%,84,8.4%,26,10.1%,318,9.3%,43,18.9%,5,12.5%,10,181,8.7%
70-79 Years,233,4.3%,36,5.0%,37,3.7%,15,5.8%,144,4.2%,50,22.0%,17,42.5%,11,77,3.7%
80+ Years,96,1.8%,10,1.4%,26,2.6%,1,0.4%,57,1.7%,28,12.3%,10,25.0%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,270,4.9%,55,7.6%,93,9.3%,26,10.1%,93,2.7%,13,5.7%,1,2.5%,14,153,7.3%
Non-Hispanic,1968,36.0%,532,73.3%,652,64.9%,176,68.5%,588,17.2%,173,76.2%,38,95.0%,15,1184,56.7%
UI Ethnicity,2745,50.2%,0,0.0%,0,0.0%,0,0.0%,2745,80.1%,29,12.8%,0,0.0%,16,459,22.0%
Unknown Ethnicity,483,8.8%,139,19.1%,260,25.9%,55,21.4%,0,0.0%,12,5.3%,1,2.5%,17,294,14.1%
White,1238,22.6%,313,43.1%,407,40.5%,165,64.2%,346,10.1%,71,31.3%,17,42.5%,18,780,37.3%
Black,178,3.3%,43,5.9%,50,5.0%,15,5.8%,67,2.0%,7,3.1%,0,0.0%,19,89,4.3%
AI/AN,854,15.6%,159,21.9%,167,16.6%,12,4.7%,505,14.7%,58,25.6%,14,35.0%,20,294,14.1%
Asian,131,2.4%,27,3.7%,51,5.1%,8,3.1%,44,1.3%,12,5.3%,3,7.5%,21,82,3.9%
NHOPI,219,4.0%,50,6.9%,68,6.8%,2,0.8%,98,2.9%,42,18.5%,5,12.5%,22,107,5.1%
Multiple,174,3.2%,29,4.0%,35,3.5%,10,3.9%,98,2.9%,4,1.8%,0,0.0%,23,70,3.3%
Other,150,2.7%,15,2.1%,29,2.9%,10,3.9%,95,2.8%,7,3.1%,0,0.0%,24,56,2.7%
UI Race,2173,39.8%,0,0.0%,0,0.0%,0,0.0%,2173,63.4%,17,7.5%,0,0.0%,25,393,18.8%
Unknown Race,349,6.4%,90,12.4%,198,19.7%,35,13.6%,0,0.0%,9,4.0%,1,2.5%,26,219,10.5%
