Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,Under 1 year,5,5377,46,1,13,63,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,1-4 years,3,1048,39,2,39,79,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,5-14 years,12,1523,49,2,45,104,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,15-24 years,106,9442,200,34,50,318,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,25-34 years,583,20133,709,254,143,1168,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,35-44 years,1524,28975,1652,635,229,2745,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,45-54 years,4238,55415,4382,1844,553,7228,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,55-64 years,10586,131405,12396,4804,1177,19147,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,65-74 years,18360,202513,21411,8400,1384,32531,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,75-84 years,23612,252786,27653,10661,1404,41816,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes,85 years and over,29214,322182,32259,11879,1317,50752,
06/03/2020,02/01/2020,05/30/2020,United States,All Sexes Total,All Ages,88243,1030799,100796,38516,6354,155951,
06/03/2020,02/01/2020,05/30/2020,United States,Male,Under 1 year,3,2996,32,1,7,41,
06/03/2020,02/01/2020,05/30/2020,United States,Male,1-4 years,1,597,21,1,23,44,
06/03/2020,02/01/2020,05/30/2020,United States,Male,5-14 years,10,913,24,2,18,50,
06/03/2020,02/01/2020,05/30/2020,United States,Male,15-24 years,68,6977,122,20,26,193,
06/03/2020,02/01/2020,05/30/2020,United States,Male,25-34 years,396,14035,440,177,73,723,
06/03/2020,02/01/2020,05/30/2020,United States,Male,35-44 years,1094,19000,1073,456,120,1812,
06/03/2020,02/01/2020,05/30/2020,United States,Male,45-54 years,3009,34645,2753,1321,326,4698,
06/03/2020,02/01/2020,05/30/2020,United States,Male,55-64 years,6988,80699,7539,3125,669,11929,
06/03/2020,02/01/2020,05/30/2020,United States,Male,65-74 years,11479,117502,12782,5248,768,19637,
06/03/2020,02/01/2020,05/30/2020,United States,Male,75-84 years,12961,131362,15303,5940,690,22907,
06/03/2020,02/01/2020,05/30/2020,United States,Male,85 years and over,11566,124415,14094,5064,535,21055,
06/03/2020,02/01/2020,05/30/2020,United States,Male Total,"Male, all ages",47575,533141,54183,21355,3255,83089,
06/03/2020,02/01/2020,05/30/2020,United States,Female,Under 1 year,2,2373,14,0,6,22,
06/03/2020,02/01/2020,05/30/2020,United States,Female,1-4 years,2,451,18,1,16,35,
06/03/2020,02/01/2020,05/30/2020,United States,Female,5-14 years,2,610,25,0,27,54,
06/03/2020,02/01/2020,05/30/2020,United States,Female,15-24 years,38,2464,78,14,24,125,
06/03/2020,02/01/2020,05/30/2020,United States,Female,25-34 years,187,6097,269,77,70,445,
06/03/2020,02/01/2020,05/30/2020,United States,Female,35-44 years,430,9973,579,179,109,933,
06/03/2020,02/01/2020,05/30/2020,United States,Female,45-54 years,1229,20768,1629,523,227,2530,
06/03/2020,02/01/2020,05/30/2020,United States,Female,55-64 years,3598,50705,4857,1679,508,7218,
06/03/2020,02/01/2020,05/30/2020,United States,Female,65-74 years,6881,85005,8629,3152,616,12894,
06/03/2020,02/01/2020,05/30/2020,United States,Female,75-84 years,10650,121418,12349,4720,714,18908,
06/03/2020,02/01/2020,05/30/2020,United States,Female,85 years and over,17647,197752,18164,6814,782,29696,
06/03/2020,02/01/2020,05/30/2020,United States,Female Total,"Female, all ages",40666,497616,46611,17159,3099,72860,
06/03/2020,02/01/2020,05/30/2020,United States,Unknown,All ages,2,42,2,2,0,2,
06/03/2020,02/01/2020,05/30/2020,United States Total,All sexes,All Ages,88243,1030799,100796,38516,6354,155951,
