Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,13862,50.1%,741,52.4%,935,51.0%,195,52.8%,11905,49.8%,340,54.9%,72,62.6%,1
Female,13767,49.8%,672,47.6%,897,49.0%,174,47.2%,11943,50.0%,279,45.1%,43,37.4%,2
Unknown Sex,40,0.1%,0,0.0%,0,0.0%,0,0.0%,40,0.2%,0,0.0%,0,0.0%,3
<10 Years,1605,5.8%,30,2.1%,121,6.6%,9,2.4%,1441,6.0%,5,0.8%,0,0.0%,4
10-19 Years,3264,11.8%,121,8.6%,211,11.5%,54,14.6%,2856,12.0%,4,0.6%,0,0.0%,5
20-29 Years,5836,21.1%,401,28.4%,475,25.9%,62,16.8%,4859,20.3%,30,4.8%,2,1.7%,6
30-39 Years,5307,19.2%,259,18.3%,328,17.9%,76,20.6%,4607,19.3%,54,8.7%,4,3.5%,7
40-49 Years,3953,14.3%,214,15.1%,231,12.6%,58,15.7%,3424,14.3%,67,10.8%,7,6.1%,8
50-59 Years,3522,12.7%,175,12.4%,240,13.1%,48,13.0%,3050,12.8%,101,16.3%,8,7.0%,9
60-69 Years,2561,9.3%,144,10.2%,132,7.2%,39,10.6%,2230,9.3%,144,23.3%,22,19.1%,10
70-79 Years,1134,4.1%,52,3.7%,61,3.3%,22,6.0%,990,4.1%,126,20.4%,31,27.0%,11
80+ Years,487,1.8%,17,1.2%,33,1.8%,1,0.3%,431,1.8%,88,14.2%,41,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1654,6.0%,112,7.9%,174,9.5%,39,10.6%,1317,5.5%,33,5.3%,2,1.7%,14
Non-Hispanic,15024,54.3%,1102,78.0%,1390,75.9%,286,77.5%,12161,50.9%,465,75.1%,91,79.1%,15
UI Ethnicity,10410,37.6%,0,0.0%,0,0.0%,0,0.0%,10410,43.6%,106,17.1%,19,16.5%,16
Unknown Ethnicity,581,2.1%,199,14.1%,268,14.6%,44,11.9%,0,0.0%,15,2.4%,3,2.6%,17
White,9150,33.1%,637,45.1%,781,42.6%,223,60.4%,7468,31.3%,193,31.2%,38,33.0%,18
Black,874,3.2%,91,6.4%,115,6.3%,21,5.7%,640,2.7%,30,4.8%,4,3.5%,19
AI/AN,6130,22.2%,348,24.6%,409,22.3%,43,11.7%,5281,22.1%,177,28.6%,41,35.7%,20
Asian,1129,4.1%,72,5.1%,95,5.2%,18,4.9%,940,3.9%,39,6.3%,9,7.8%,21
NHOPI,959,3.5%,73,5.2%,133,7.3%,4,1.1%,747,3.1%,73,11.8%,9,7.8%,22
Multiple,1706,6.2%,71,5.0%,89,4.9%,13,3.5%,1526,6.4%,39,6.3%,4,3.5%,23
Other,2008,7.3%,34,2.4%,49,2.7%,15,4.1%,1909,8.0%,23,3.7%,2,1.7%,24
UI Race,5377,19.4%,0,0.0%,0,0.0%,0,0.0%,5377,22.5%,38,6.1%,8,7.0%,25
Unknown Race,336,1.2%,87,6.2%,161,8.8%,32,8.7%,0,0.0%,7,1.1%,0,0.0%,26
