Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30261,52.0%,966,51.6%,1189,51.1%,242,53.3%,27434,52.1%,707,55.3%,180,59.6%,1
Female,27879,47.9%,905,48.4%,1139,48.9%,212,46.7%,25243,47.9%,572,44.7%,122,40.4%,2
Unknown Sex,17,0.0%,0,0.0%,0,0.0%,0,0.0%,17,0.0%,0,0.0%,0,0.0%,3
<10 Years,3998,6.9%,45,2.4%,168,7.2%,15,3.3%,3740,7.1%,12,0.9%,0,0.0%,4
10-19 Years,7234,12.4%,158,8.4%,275,11.8%,65,14.3%,6646,12.6%,9,0.7%,0,0.0%,5
20-29 Years,11861,20.4%,479,25.6%,552,23.7%,79,17.4%,10591,20.1%,51,4.0%,3,1.0%,6
30-39 Years,11036,19.0%,326,17.4%,390,16.8%,85,18.7%,10097,19.2%,102,8.0%,6,2.0%,7
40-49 Years,8009,13.8%,276,14.8%,282,12.1%,70,15.4%,7283,13.8%,121,9.5%,12,4.0%,8
50-59 Years,7499,12.9%,238,12.7%,295,12.7%,61,13.4%,6809,12.9%,212,16.6%,20,6.6%,9
60-69 Years,5277,9.1%,196,10.5%,167,7.2%,53,11.7%,4752,9.0%,284,22.2%,59,19.5%,10
70-79 Years,2283,3.9%,98,5.2%,113,4.9%,24,5.3%,1992,3.8%,280,21.9%,93,30.8%,11
80+ Years,960,1.7%,55,2.9%,86,3.7%,2,0.4%,784,1.5%,208,16.3%,109,36.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2885,5.0%,141,7.5%,202,8.7%,50,11.0%,2463,4.7%,66,5.2%,13,4.3%,14
Non-Hispanic,28846,49.6%,1475,78.8%,1796,77.1%,345,76.0%,24922,47.3%,957,74.8%,282,93.4%,15
UI Ethnicity,25309,43.5%,0,0.0%,0,0.0%,0,0.0%,25309,48.0%,237,18.5%,5,1.7%,16
Unknown Ethnicity,1117,1.9%,255,13.6%,330,14.2%,59,13.0%,0,0.0%,19,1.5%,2,0.7%,17
White,17819,30.6%,834,44.6%,978,42.0%,282,62.1%,15504,29.4%,438,34.2%,127,42.1%,18
Black,1405,2.4%,96,5.1%,121,5.2%,21,4.6%,1150,2.2%,46,3.6%,9,3.0%,19
AI/AN,12384,21.3%,525,28.1%,588,25.3%,52,11.5%,11083,21.0%,338,26.4%,111,36.8%,20
Asian,2260,3.9%,90,4.8%,138,5.9%,20,4.4%,1985,3.8%,116,9.1%,29,9.6%,21
NHOPI,1493,2.6%,80,4.3%,152,6.5%,4,0.9%,1248,2.4%,129,10.1%,17,5.6%,22
Multiple,4408,7.6%,86,4.6%,103,4.4%,15,3.3%,4173,7.9%,67,5.2%,5,1.7%,23
Other,6955,12.0%,58,3.1%,64,2.7%,18,4.0%,6676,12.7%,55,4.3%,1,0.3%,24
UI Race,10875,18.7%,0,0.0%,0,0.0%,0,0.0%,10875,20.6%,81,6.3%,2,0.7%,25
Unknown Race,558,1.0%,102,5.5%,184,7.9%,42,9.3%,0,0.0%,9,0.7%,1,0.3%,26
