Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2577,49.7%,344,48.7%,490,49.9%,131,52.2%,1585,49.5%,122,57.0%,24,64.9%,1,959,47.7%
Female,2601,50.2%,362,51.3%,491,50.1%,120,47.8%,1610,50.3%,92,43.0%,13,35.1%,2,1051,52.3%
Unknown Sex,4,0.1%,0,0.0%,0,0.0%,0,0.0%,4,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,249,4.8%,13,1.8%,65,6.6%,8,3.2%,163,5.1%,1,0.5%,0,0.0%,4,95,4.7%
10-19 Years,551,10.6%,52,7.4%,91,9.3%,36,14.3%,361,11.3%,1,0.5%,0,0.0%,5,219,10.9%
20-29 Years,1227,23.7%,183,25.9%,253,25.8%,42,16.7%,738,23.1%,13,6.1%,0,0.0%,6,509,25.3%
30-39 Years,951,18.4%,142,20.1%,179,18.2%,48,19.1%,574,17.9%,19,8.9%,2,5.4%,7,393,19.6%
40-49 Years,730,14.1%,117,16.6%,109,11.1%,40,15.9%,455,14.2%,27,12.6%,2,5.4%,8,266,13.2%
50-59 Years,682,13.2%,85,12.0%,138,14.1%,35,13.9%,423,13.2%,40,18.7%,4,10.8%,9,254,12.6%
60-69 Years,480,9.3%,70,9.9%,84,8.6%,26,10.4%,297,9.3%,41,19.2%,5,13.5%,10,176,8.8%
70-79 Years,224,4.3%,34,4.8%,37,3.8%,15,6.0%,138,4.3%,46,21.5%,15,40.5%,11,75,3.7%
80+ Years,88,1.7%,10,1.4%,25,2.5%,1,0.4%,50,1.6%,26,12.1%,9,24.3%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,263,5.1%,54,7.6%,91,9.3%,26,10.4%,89,2.8%,13,6.1%,0,0.0%,14,148,7.4%
Non-Hispanic,1899,36.6%,522,73.9%,644,65.6%,176,70.1%,538,16.8%,164,76.6%,36,97.3%,15,1144,56.9%
UI Ethnicity,2572,49.6%,0,0.0%,0,0.0%,0,0.0%,2572,80.4%,25,11.7%,0,0.0%,16,455,22.6%
Unknown Ethnicity,448,8.6%,130,18.4%,246,25.1%,49,19.5%,0,0.0%,12,5.6%,1,2.7%,17,263,13.1%
White,1196,23.1%,310,43.9%,402,41.0%,164,65.3%,314,9.8%,69,32.2%,15,40.5%,18,769,38.3%
Black,171,3.3%,42,5.9%,49,5.0%,15,6.0%,62,1.9%,6,2.8%,0,0.0%,19,83,4.1%
AI/AN,799,15.4%,154,21.8%,163,16.6%,12,4.8%,460,14.4%,52,24.3%,13,35.1%,20,285,14.2%
Asian,124,2.4%,26,3.7%,49,5.0%,8,3.2%,40,1.3%,12,5.6%,3,8.1%,21,78,3.9%
NHOPI,204,3.9%,48,6.8%,67,6.8%,2,0.8%,86,2.7%,40,18.7%,5,13.5%,22,95,4.7%
Multiple,165,3.2%,28,4.0%,35,3.6%,10,4.0%,90,2.8%,3,1.4%,0,0.0%,23,67,3.3%
Other,144,2.8%,14,2.0%,29,3.0%,10,4.0%,90,2.8%,7,3.3%,0,0.0%,24,55,2.7%
UI Race,2057,39.7%,0,0.0%,0,0.0%,0,0.0%,2057,64.3%,16,7.5%,0,0.0%,25,387,19.3%
Unknown Race,322,6.2%,84,11.9%,187,19.1%,30,12.0%,0,0.0%,9,4.2%,1,2.7%,26,191,9.5%
