Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34229,52.1%,1113,51.8%,1442,49.9%,282,52.5%,30878,52.2%,821,55.0%,206,60.2%,1
Female,31432,47.9%,1034,48.2%,1449,50.1%,255,47.5%,28218,47.7%,673,45.0%,136,39.8%,2
Unknown Sex,17,0.0%,0,0.0%,0,0.0%,0,0.0%,17,0.0%,0,0.0%,0,0.0%,3
<10 Years,4774,7.3%,67,3.1%,270,9.3%,18,3.4%,4374,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8548,13.0%,216,10.1%,386,13.4%,72,13.4%,7769,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13477,20.5%,535,24.9%,620,21.4%,90,16.8%,12035,20.4%,60,4.0%,5,1.5%,6
30-39 Years,12392,18.9%,375,17.5%,469,16.2%,92,17.1%,11294,19.1%,121,8.1%,7,2.0%,7
40-49 Years,8939,13.6%,298,13.9%,340,11.8%,82,15.3%,8092,13.7%,152,10.2%,16,4.7%,8
50-59 Years,8320,12.7%,266,12.4%,357,12.3%,73,13.6%,7506,12.7%,262,17.5%,23,6.7%,9
60-69 Years,5735,8.7%,224,10.4%,215,7.4%,69,12.8%,5092,8.6%,335,22.4%,67,19.6%,10
70-79 Years,2473,3.8%,107,5.0%,132,4.6%,36,6.7%,2133,3.6%,310,20.7%,105,30.7%,11
80+ Years,1020,1.6%,59,2.7%,102,3.5%,5,0.9%,818,1.4%,223,14.9%,119,34.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3340,5.1%,138,6.4%,221,7.6%,57,10.6%,2889,4.9%,76,5.1%,16,4.7%,14
Non-Hispanic,34515,52.6%,1722,80.2%,2268,78.5%,407,75.8%,29706,50.3%,1118,74.8%,320,93.6%,15
UI Ethnicity,26518,40.4%,0,0.0%,0,0.0%,0,0.0%,26518,44.9%,278,18.6%,4,1.2%,16
Unknown Ethnicity,1305,2.0%,287,13.4%,402,13.9%,73,13.6%,0,0.0%,22,1.5%,2,0.6%,17
White,21699,33.0%,885,41.2%,1129,39.1%,318,59.2%,19099,32.3%,546,36.5%,152,44.4%,18
Black,1591,2.4%,98,4.6%,132,4.6%,22,4.1%,1322,2.2%,53,3.5%,10,2.9%,19
AI/AN,13686,20.8%,735,34.2%,893,30.9%,77,14.3%,11761,19.9%,385,25.8%,120,35.1%,20
Asian,2520,3.8%,94,4.4%,171,5.9%,23,4.3%,2201,3.7%,123,8.2%,32,9.4%,21
NHOPI,1685,2.6%,81,3.8%,161,5.6%,4,0.7%,1430,2.4%,135,9.0%,20,5.8%,22
Multiple,4953,7.5%,89,4.1%,125,4.3%,22,4.1%,4676,7.9%,79,5.3%,6,1.8%,23
Other,7621,11.6%,56,2.6%,75,2.6%,21,3.9%,7327,12.4%,68,4.6%,1,0.3%,24
UI Race,11297,17.2%,0,0.0%,0,0.0%,0,0.0%,11297,19.1%,96,6.4%,0,0.0%,25
Unknown Race,626,1.0%,109,5.1%,205,7.1%,50,9.3%,0,0.0%,9,0.6%,1,0.3%,26
