Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,17334,50.9%,742,52.5%,935,51.0%,196,52.7%,15270,50.8%,424,54.4%,83,58.9%,1
Female,16645,48.9%,672,47.5%,897,49.0%,176,47.3%,14731,49.0%,354,45.4%,58,41.1%,2
Unknown Sex,62,0.2%,0,0.0%,0,0.0%,0,0.0%,62,0.2%,1,0.1%,0,0.0%,3
<10 Years,2045,6.0%,30,2.1%,121,6.6%,9,2.4%,1877,6.2%,8,1.0%,0,0.0%,4
10-19 Years,4016,11.8%,121,8.6%,211,11.5%,55,14.8%,3584,11.9%,7,0.9%,0,0.0%,5
20-29 Years,6992,20.5%,400,28.3%,474,25.9%,62,16.7%,5982,19.9%,41,5.3%,2,1.4%,6
30-39 Years,6534,19.2%,260,18.4%,327,17.8%,77,20.7%,5792,19.3%,68,8.7%,5,3.5%,7
40-49 Years,4896,14.4%,215,15.2%,232,12.7%,58,15.6%,4336,14.4%,78,10.0%,7,5.0%,8
50-59 Years,4369,12.8%,175,12.4%,239,13.0%,49,13.2%,3873,12.9%,127,16.3%,8,5.7%,9
60-69 Years,3158,9.3%,144,10.2%,134,7.3%,39,10.5%,2798,9.3%,171,22.0%,29,20.6%,10
70-79 Years,1435,4.2%,52,3.7%,61,3.3%,22,5.9%,1282,4.3%,164,21.1%,40,28.4%,11
80+ Years,596,1.8%,17,1.2%,33,1.8%,1,0.3%,539,1.8%,115,14.8%,50,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1625,4.8%,73,5.2%,99,5.4%,26,7.0%,1421,4.7%,24,3.1%,1,0.7%,14
Non-Hispanic,16676,49.0%,1109,78.4%,1392,76.0%,287,77.2%,13795,45.9%,553,71.0%,109,77.3%,15
UI Ethnicity,14847,43.6%,0,0.0%,0,0.0%,0,0.0%,14847,49.4%,183,23.5%,26,18.4%,16
Unknown Ethnicity,893,2.6%,232,16.4%,341,18.6%,59,15.9%,0,0.0%,19,2.4%,5,3.5%,17
White,10232,30.1%,637,45.0%,781,42.6%,225,60.5%,8528,28.4%,234,30.0%,47,33.3%,18
Black,930,2.7%,91,6.4%,115,6.3%,21,5.6%,695,2.3%,33,4.2%,6,4.3%,19
AI/AN,7089,20.8%,348,24.6%,409,22.3%,43,11.6%,6238,20.7%,215,27.6%,53,37.6%,20
Asian,1280,3.8%,72,5.1%,95,5.2%,18,4.8%,1090,3.6%,55,7.1%,10,7.1%,21
NHOPI,1050,3.1%,73,5.2%,133,7.3%,4,1.1%,837,2.8%,87,11.2%,9,6.4%,22
Multiple,2314,6.8%,71,5.0%,89,4.9%,13,3.5%,2117,7.0%,56,7.2%,5,3.5%,23
Other,3884,11.4%,35,2.5%,49,2.7%,15,4.0%,3713,12.4%,32,4.1%,3,2.1%,24
UI Race,6845,20.1%,0,0.0%,0,0.0%,0,0.0%,6845,22.8%,60,7.7%,8,5.7%,25
Unknown Race,417,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,0.9%,0,0.0%,26
