Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3212,50.6%,410,51.0%,532,49.6%,137,51.1%,2101,50.6%,136,55.3%,27,61.4%,1,1045,48.2%
Female,3138,49.4%,394,49.0%,540,50.4%,131,48.9%,2047,49.3%,110,44.7%,17,38.6%,2,1123,51.8%
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,308,4.8%,15,1.9%,66,6.2%,8,3.0%,218,5.3%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,657,10.3%,56,7.0%,101,9.4%,38,14.2%,450,10.8%,1,0.4%,0,0.0%,5,237,10.9%
20-29 Years,1573,24.8%,205,25.5%,285,26.6%,51,19.0%,1017,24.5%,14,5.7%,0,0.0%,6,561,25.9%
30-39 Years,1202,18.9%,168,20.9%,197,18.4%,52,19.4%,774,18.6%,23,9.3%,2,4.5%,7,429,19.8%
40-49 Years,857,13.5%,131,16.3%,126,11.8%,41,15.3%,548,13.2%,33,13.4%,3,6.8%,8,289,13.3%
50-59 Years,823,13.0%,102,12.7%,144,13.4%,36,13.4%,540,13.0%,45,18.3%,4,9.1%,9,270,12.5%
60-69 Years,575,9.1%,81,10.1%,87,8.1%,26,9.7%,377,9.1%,47,19.1%,5,11.4%,10,183,8.4%
70-79 Years,256,4.0%,36,4.5%,39,3.6%,15,5.6%,165,4.0%,52,21.1%,17,38.6%,11,77,3.6%
80+ Years,102,1.6%,10,1.2%,27,2.5%,1,0.4%,62,1.5%,30,12.2%,13,29.5%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,297,4.7%,58,7.2%,97,9.0%,26,9.7%,113,2.7%,13,5.3%,1,2.3%,14,155,7.1%
Non-Hispanic,2204,34.7%,575,71.5%,708,66.0%,184,68.7%,712,17.2%,182,74.0%,40,90.9%,15,1247,57.5%
UI Ethnicity,3326,52.4%,0,0.0%,0,0.0%,0,0.0%,3326,80.1%,36,14.6%,1,2.3%,16,453,20.9%
Unknown Ethnicity,526,8.3%,171,21.3%,267,24.9%,58,21.6%,0,0.0%,15,6.1%,2,4.5%,17,313,14.4%
White,1395,22.0%,337,41.9%,434,40.5%,171,63.8%,443,10.7%,72,29.3%,18,40.9%,18,823,38.0%
Black,208,3.3%,50,6.2%,56,5.2%,15,5.6%,83,2.0%,8,3.3%,0,0.0%,19,99,4.6%
AI/AN,1084,17.1%,185,23.0%,188,17.5%,14,5.2%,683,16.5%,69,28.0%,16,36.4%,20,310,14.3%
Asian,146,2.3%,28,3.5%,54,5.0%,9,3.4%,54,1.3%,13,5.3%,3,6.8%,21,85,3.9%
NHOPI,235,3.7%,51,6.3%,69,6.4%,2,0.7%,112,2.7%,43,17.5%,5,11.4%,22,108,5.0%
Multiple,212,3.3%,33,4.1%,41,3.8%,10,3.7%,127,3.1%,4,1.6%,0,0.0%,23,71,3.3%
Other,184,2.9%,17,2.1%,29,2.7%,10,3.7%,127,3.1%,7,2.8%,0,0.0%,24,56,2.6%
UI Race,2522,39.7%,0,0.0%,0,0.0%,0,0.0%,2522,60.8%,21,8.5%,1,2.3%,25,389,17.9%
Unknown Race,367,5.8%,103,12.8%,201,18.8%,37,13.8%,0,0.0%,9,3.7%,1,2.3%,26,227,10.5%
