ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,345,49.6%,86,48.9%,135,47.5%,65,58.0%,59,47.6%,31,56.4%,6,50.0%
2,Female,351,50.4%,90,51.1%,149,52.5%,47,42.0%,65,52.4%,24,43.6%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,23,3.3%,2,1.1%,13,4.6%,2,1.8%,6,4.8%,0,0.0%,0,0.0%
5,10-19 Years,52,7.5%,15,8.5%,23,8.1%,3,2.7%,11,8.9%,1,1.8%,0,0.0%
6,20-29 Years,127,18.2%,26,14.8%,62,21.8%,15,13.4%,24,19.4%,3,5.5%,0,0.0%
7,30-39 Years,134,19.3%,39,22.2%,53,18.7%,21,18.8%,21,16.9%,6,10.9%,2,16.7%
8,40-49 Years,106,15.2%,28,15.9%,34,12.0%,21,18.8%,23,18.5%,3,5.5%,0,0.0%
9,50-59 Years,119,17.1%,30,17.0%,57,20.1%,19,17.0%,13,10.5%,10,18.2%,1,8.3%
10,60-69 Years,77,11.1%,20,11.4%,27,9.5%,18,16.1%,12,9.7%,9,16.4%,1,8.3%
11,70-79 Years,42,6.0%,12,6.8%,12,4.2%,12,10.7%,6,4.8%,18,32.7%,6,50.0%
12,80+ Years,16,2.3%,4,2.3%,3,1.1%,1,0.9%,8,6.5%,5,9.1%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,49,7.0%,10,5.7%,27,9.5%,9,8.0%,3,2.4%,5,9.1%,0,0.0%
15,Non-Hispanic,540,77.6%,155,88.1%,246,86.6%,96,85.7%,43,34.7%,47,85.5%,12,100.0%
16,Unknown Ethnicity,107,15.4%,11,6.3%,11,3.9%,7,6.3%,78,62.9%,3,5.5%,0,0.0%
17,White,398,57.2%,108,61.4%,176,62.0%,91,81.3%,23,18.5%,31,56.4%,7,58.3%
18,Black,17,2.4%,7,4.0%,2,0.7%,5,4.5%,3,2.4%,0,0.0%,0,0.0%
19,AI/AN,78,11.2%,27,15.3%,30,10.6%,1,0.9%,20,16.1%,7,12.7%,2,16.7%
20,Asian,59,8.5%,12,6.8%,40,14.1%,4,3.6%,3,2.4%,7,12.7%,2,16.7%
21,NHOPI,17,2.4%,4,2.3%,10,3.5%,1,0.9%,2,1.6%,5,9.1%,1,8.3%
22,Multiple,24,3.4%,10,5.7%,9,3.2%,3,2.7%,2,1.6%,0,0.0%,0,0.0%
23,Other,17,2.4%,2,1.1%,8,2.8%,3,2.7%,4,3.2%,4,7.3%,0,0.0%
24,Unknown Race,86,12.4%,6,3.4%,9,3.2%,4,3.6%,67,54.0%,1,1.8%,0,0.0%
25,Grand Total,696,100.0%,176,100.0%,284,100.0%,112,100.0%,124,100.0%,55,100.0%,12,100.0%
