,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=794,928",,"N=119,036",,"N=9,606",,"N=2,627",,"N=353,267",,"N=242,222",,"N=579,428",
0-4,26290,3%,2720,2%,81,1%,<5,--,0,0%,0,0%,0,0%
5-9,34482,4%,3392,3%,25,<1%,0,0%,0,0%,0,0%,0,0%
10-14,35939,5%,4330,4%,35,<1%,<5,--,<5,--,0,0%,<5,--
15-18,40934,5%,5852,5%,65,1%,0,0%,2304,1%,707,<1%,2936,1%
19-24,85187,11%,14016,12%,247,3%,<5,--,13476,4%,7404,3%,20148,3%
25-29,66345,8%,10594,9%,309,3%,<5,--,14497,4%,9105,4%,22917,4%
30-39,118514,15%,18624,16%,599,6%,11,<1%,33790,10%,20859,9%,52835,9%
40-49,96807,12%,15903,13%,836,9%,33,1%,37107,11%,22692,9%,57610,10%
50-59,113204,14%,17659,15%,1386,14%,115,4%,56281,16%,32348,13%,84182,15%
60-69,94291,12%,12694,11%,1862,19%,315,12%,93201,26%,60590,25%,149347,26%
70-79,50585,6%,6686,6%,1953,20%,598,23%,65771,19%,56405,23%,121052,21%
80-89,22180,3%,4197,4%,1518,16%,835,32%,28280,8%,24668,10%,52586,9%
90+,9017,1%,2366,2%,686,7%,710,27%,8555,2%,7444,3%,15810,3%
Pending further information,1153,--,<5,--,<5,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,59272,16%,30890,30%,2027,26%,219,10%,30207,9%,18597,8%,46579,9%
American Indian or Alaska Native*,4854,1%,310,<1%,27,<1%,<5,--,1005,<1%,621,<1%,1587,<1%
Asian*,9660,3%,2350,2%,177,2%,42,2%,7492,2%,3938,2%,11078,2%
Black or African American*,19802,5%,7676,7%,642,8%,107,5%,11781,4%,7626,3%,18713,4%
Native Hawaiian or Other Pacific Islander*,547,<1%,0,0%,0,0%,0,0%,522,<1%,348,<1%,850,<1%
White*,239916,67%,59228,57%,4687,60%,1889,84%,257376,79%,178442,81%,424960,80%
Other race*,21316,6%,2298,2%,205,3%,<5,--,15630,5%,10369,5%,25172,5%
Multiple race*,5308,1%,1199,1%,52,1%,<5,--,--,--,--,--,--,--
Declined,10842,--,2455,--,104,--,0,--,0,--,0,--,0,--
Unknown or pending further information,423411,--,12630,--,1685,--,361,--,29254,--,22281,--,50489,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,364715,54%,61162,53%,4582,50%,1351,52%,205952,58%,145590,60%,342548,59%
Male,310208,46%,53762,47%,4586,50%,1270,48%,146953,42%,96432,40%,236343,41%
Other,198,<1%,164,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,119807,--,3948,--,424,--,<5,--,362,--,200,--,537,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2930,5%,110,3%,--,--,--,--,--,--,--,--
No,--,--,59424,95%,3415,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56682,--,6081,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38633,53%,4799,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33625,46%,4791,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,530,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,225,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21563,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,24460,--,14,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,39,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,602,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1073,2%,43,1%,--,--,--,--,--,--,--,--
Queer,--,--,128,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,62993,96%,3636,98%,--,--,--,--,--,--,--,--
Other,--,--,583,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26459,--,2308,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27159,--,3587,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,4/7/2021,,,,,,,,,,,,,
