,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=275,782",,"N=21,802",,"N=2,587",,"N=1,057",
Female,147532,56%,11979,55%,1225,47%,561,53%
Male,118085,44%,9674,45%,1347,52%,496,47%
Other,15,<1%,78,<1%,7,<1%,0,0%
Pending further information,10150,--,71,--,8,--,0,--
Age Group,,,,,,,,
0-4,5270,2%,349,2%,23,1%,0,0%
5-9,4048,1%,342,2%,8,<1%,0,0%
10-14,4580,2%,384,2%,11,<1%,<5,--
15-18,11483,4%,766,3%,19,1%,0,0%
19-24,34358,12%,2153,10%,68,3%,<5,--
25-29,24917,9%,1940,9%,90,3%,<5,--
30-39,43883,16%,3540,16%,208,8%,7,1%
40-49,35850,13%,3227,15%,302,12%,16,2%
50-59,42184,15%,3233,15%,405,16%,49,5%
60-69,34357,12%,2269,10%,501,19%,111,11%
70-79,19021,7%,1481,7%,486,19%,249,24%
80-89,10432,4%,1271,6%,328,13%,341,32%
90+,5176,2%,841,4%,135,5%,279,26%
Pending further information,223,--,6,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,23188,23%,7807,46%,731,36%,102,12%
American Indian or Alaska Native*,524,1%,70,<1%,5,<1%,<5,--
Asian*,2448,2%,342,2%,26,1%,12,1%
Black or African American*,8184,8%,2126,12%,253,13%,54,6%
Native Hawaiian or Other Pacific Islander*,199,<1%,0,0%,0,0%,0,0%
White*,59629,58%,6326,37%,957,48%,701,81%
Other race*,7963,8%,288,2%,34,2%,0,0%
Multiple race*,107,<1%,143,1%,5,<1%,0,0%
Declined,1892,--,186,--,7,--,0,--
Unknown or pending further information,171648,--,4514,--,569,--,187,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,9/9/2020,,,,,,,
