Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2977,50.5%,389,50.1%,518,49.4%,135,51.3%,1904,50.8%,134,56.1%,27,64.3%,1,1025,48.0%
Female,2917,49.5%,388,49.9%,531,50.6%,128,48.7%,1844,49.2%,105,43.9%,15,35.7%,2,1112,52.0%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,284,4.8%,14,1.8%,66,6.3%,8,3.0%,195,5.2%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,605,10.3%,56,7.2%,96,9.2%,37,14.1%,404,10.8%,1,0.4%,0,0.0%,5,233,10.9%
20-29 Years,1442,24.5%,197,25.4%,277,26.4%,50,19.0%,904,24.1%,14,5.9%,0,0.0%,6,550,25.7%
30-39 Years,1100,18.7%,163,21.0%,191,18.2%,51,19.4%,684,18.2%,21,8.8%,2,4.8%,7,422,19.7%
40-49 Years,805,13.7%,127,16.3%,123,11.7%,40,15.2%,504,13.4%,29,12.1%,2,4.8%,8,285,13.3%
50-59 Years,777,13.2%,96,12.4%,143,13.6%,35,13.3%,502,13.4%,44,18.4%,4,9.5%,9,265,12.4%
60-69 Years,542,9.2%,78,10.0%,87,8.3%,26,9.9%,347,9.3%,47,19.7%,5,11.9%,10,183,8.6%
70-79 Years,241,4.1%,36,4.6%,39,3.7%,15,5.7%,150,4.0%,52,21.8%,17,40.5%,11,77,3.6%
80+ Years,100,1.7%,10,1.3%,27,2.6%,1,0.4%,60,1.6%,30,12.6%,12,28.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,284,4.8%,56,7.2%,96,9.2%,26,9.9%,103,2.7%,13,5.4%,1,2.4%,14,154,7.2%
Non-Hispanic,2107,35.7%,564,72.6%,693,66.1%,181,68.8%,645,17.2%,176,73.6%,39,92.9%,15,1227,57.4%
UI Ethnicity,3002,50.9%,0,0.0%,0,0.0%,0,0.0%,3002,80.1%,36,15.1%,1,2.4%,16,453,21.2%
Unknown Ethnicity,503,8.5%,157,20.2%,260,24.8%,56,21.3%,0,0.0%,14,5.9%,1,2.4%,17,303,14.2%
White,1324,22.5%,331,42.6%,425,40.5%,170,64.6%,389,10.4%,71,29.7%,18,42.9%,18,810,37.9%
Black,193,3.3%,46,5.9%,55,5.2%,15,5.7%,74,2.0%,7,2.9%,0,0.0%,19,93,4.4%
AI/AN,983,16.7%,177,22.8%,183,17.4%,12,4.6%,597,15.9%,65,27.2%,14,33.3%,20,300,14.0%
Asian,138,2.3%,28,3.6%,53,5.1%,8,3.0%,48,1.3%,13,5.4%,3,7.1%,21,84,3.9%
NHOPI,228,3.9%,50,6.4%,68,6.5%,2,0.8%,107,2.9%,42,17.6%,5,11.9%,22,107,5.0%
Multiple,197,3.3%,32,4.1%,38,3.6%,10,3.8%,115,3.1%,4,1.7%,0,0.0%,23,72,3.4%
Other,172,2.9%,15,1.9%,29,2.8%,10,3.8%,117,3.1%,7,2.9%,0,0.0%,24,56,2.6%
UI Race,2303,39.1%,0,0.0%,0,0.0%,0,0.0%,2303,61.4%,21,8.8%,1,2.4%,25,389,18.2%
Unknown Race,358,6.1%,98,12.6%,198,18.9%,36,13.7%,0,0.0%,9,3.8%,1,2.4%,26,226,10.6%
