Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,14490,50.2%,741,52.4%,935,51.0%,196,52.8%,12530,49.9%,366,54.2%,74,62.7%,1
Female,14358,49.7%,672,47.6%,897,49.0%,175,47.2%,12532,49.9%,308,45.6%,44,37.3%,2
Unknown Sex,44,0.2%,0,0.0%,0,0.0%,0,0.0%,44,0.2%,1,0.1%,0,0.0%,3
<10 Years,1693,5.9%,30,2.1%,121,6.6%,9,2.4%,1529,6.1%,8,1.2%,0,0.0%,4
10-19 Years,3399,11.8%,121,8.6%,211,11.5%,55,14.8%,2990,11.9%,6,0.9%,0,0.0%,5
20-29 Years,6047,20.9%,400,28.3%,474,25.9%,62,16.7%,5071,20.2%,36,5.3%,2,1.7%,6
30-39 Years,5549,19.2%,260,18.4%,327,17.8%,77,20.8%,4848,19.3%,60,8.9%,4,3.4%,7
40-49 Years,4131,14.3%,214,15.1%,232,12.7%,58,15.6%,3601,14.3%,71,10.5%,7,5.9%,8
50-59 Years,3672,12.7%,175,12.4%,239,13.0%,48,12.9%,3199,12.7%,108,16.0%,7,5.9%,9
60-69 Years,2668,9.2%,144,10.2%,134,7.3%,39,10.5%,2335,9.3%,151,22.4%,23,19.5%,10
70-79 Years,1213,4.2%,52,3.7%,61,3.3%,22,5.9%,1069,4.3%,139,20.6%,34,28.8%,11
80+ Years,520,1.8%,17,1.2%,33,1.8%,1,0.3%,464,1.8%,96,14.2%,41,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1680,5.8%,112,7.9%,174,9.5%,39,10.5%,1343,5.3%,34,5.0%,2,1.7%,14
Non-Hispanic,15407,53.3%,1102,78.0%,1390,75.9%,286,77.1%,12542,50.0%,496,73.5%,93,78.8%,15
UI Ethnicity,11221,38.8%,0,0.0%,0,0.0%,0,0.0%,11221,44.7%,130,19.3%,20,16.9%,16
Unknown Ethnicity,584,2.0%,199,14.1%,268,14.6%,46,12.4%,0,0.0%,15,2.2%,3,2.5%,17
White,9410,32.6%,637,45.1%,781,42.6%,224,60.4%,7726,30.8%,201,29.8%,39,33.1%,18
Black,885,3.1%,91,6.4%,115,6.3%,21,5.7%,651,2.6%,30,4.4%,4,3.4%,19
AI/AN,6393,22.1%,348,24.6%,409,22.3%,43,11.6%,5543,22.1%,200,29.6%,44,37.3%,20
Asian,1152,4.0%,72,5.1%,95,5.2%,18,4.9%,963,3.8%,42,6.2%,9,7.6%,21
NHOPI,984,3.4%,73,5.2%,133,7.3%,4,1.1%,772,3.1%,79,11.7%,9,7.6%,22
Multiple,1764,6.1%,71,5.0%,89,4.9%,13,3.5%,1584,6.3%,44,6.5%,3,2.5%,23
Other,2152,7.4%,34,2.4%,49,2.7%,15,4.0%,2053,8.2%,25,3.7%,2,1.7%,24
UI Race,5814,20.1%,0,0.0%,0,0.0%,0,0.0%,5814,23.2%,47,7.0%,8,6.8%,25
Unknown Race,338,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,1.0%,0,0.0%,26
