ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Male,454,51.4%,112,50.5%,172,47.6%,78,59.1%,92,54.8%,59.7%,50.0%,40,7
2,Female,429,48.6%,110,49.5%,189,52.4%,54,40.9%,76,45.2%,40.3%,50.0%,27,7
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
4,<10 Years,32,3.6%,2,0.9%,18,5.0%,2,1.5%,10,6.0%,0.0%,0.0%,0,0
5,10-19 Years,71,8.0%,17,7.7%,31,8.6%,9,6.8%,14,8.3%,1.5%,0.0%,1,0
6,20-29 Years,171,19.4%,38,17.1%,78,21.6%,16,12.1%,39,23.2%,7.5%,0.0%,5,0
7,30-39 Years,170,19.3%,48,21.6%,61,16.9%,26,19.7%,35,20.8%,9.0%,14.3%,6,2
8,40-49 Years,136,15.4%,37,16.7%,48,13.3%,26,19.7%,25,14.9%,6.0%,0.0%,4,0
9,50-59 Years,143,16.2%,35,15.8%,68,18.8%,19,14.4%,21,12.5%,16.4%,7.1%,11,1
10,60-69 Years,93,10.5%,24,10.8%,33,9.1%,20,15.2%,16,9.5%,17.9%,14.3%,12,2
11,70-79 Years,50,5.7%,16,7.2%,15,4.2%,13,9.8%,6,3.6%,31.3%,50.0%,21,7
12,80+ Years,17,1.9%,5,2.3%,9,2.5%,1,0.8%,2,1.2%,10.4%,14.3%,7,2
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
14,Hispanic,57,6.5%,12,5.4%,29,8.0%,14,10.6%,2,1.2%,7.5%,0.0%,5,0
15,Non-Hispanic,654,74.1%,192,86.5%,308,85.3%,111,84.1%,43,25.6%,88.1%,100.0%,59,14
16,Unknown Ethnicity,172,19.5%,18,8.1%,24,6.6%,7,5.3%,123,73.2%,4.5%,0.0%,3,0
17,White,489,55.4%,138,62.2%,219,60.7%,104,78.8%,28,16.7%,59.7%,64.3%,40,9
18,Black,23,2.6%,9,4.1%,7,1.9%,6,4.5%,1,0.6%,0.0%,0.0%,0,0
19,AI/AN,101,11.4%,36,16.2%,39,10.8%,3,2.3%,23,13.7%,13.4%,14.3%,9,2
20,Asian,60,6.8%,13,5.9%,41,11.4%,5,3.8%,1,0.6%,11.9%,14.3%,8,2
21,NHOPI,25,2.8%,6,2.7%,14,3.9%,1,0.8%,4,2.4%,7.5%,7.1%,5,1
22,Multiple,32,3.6%,10,4.5%,14,3.9%,5,3.8%,3,1.8%,0.0%,0.0%,0,0
23,Other,17,1.9%,2,0.9%,8,2.2%,4,3.0%,3,1.8%,6.0%,0.0%,4,0
24,Unknown Race,136,15.4%,8,3.6%,19,5.3%,4,3.0%,105,62.5%,1.5%,0.0%,1,0
