Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3092,50.6%,406,51.0%,523,49.4%,136,51.5%,1995,50.7%,136,55.7%,27,62.8%,1,1037,48.2%
Female,3018,49.4%,390,49.0%,536,50.6%,128,48.5%,1938,49.2%,108,44.3%,16,37.2%,2,1115,51.8%
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,296,4.8%,15,1.9%,66,6.2%,8,3.0%,206,5.2%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,629,10.3%,56,7.0%,98,9.3%,37,14.0%,426,10.8%,1,0.4%,0,0.0%,5,235,10.9%
20-29 Years,1511,24.7%,202,25.4%,281,26.5%,51,19.3%,962,24.4%,14,5.7%,0,0.0%,6,560,26.0%
30-39 Years,1153,18.9%,168,21.1%,193,18.2%,51,19.3%,730,18.5%,23,9.4%,2,4.7%,7,424,19.7%
40-49 Years,828,13.5%,128,16.1%,125,11.8%,40,15.2%,524,13.3%,31,12.7%,3,7.0%,8,285,13.2%
50-59 Years,799,13.1%,100,12.6%,143,13.5%,35,13.3%,520,13.2%,45,18.4%,4,9.3%,9,266,12.4%
60-69 Years,552,9.0%,81,10.2%,87,8.2%,26,9.8%,354,9.0%,47,19.3%,5,11.6%,10,183,8.5%
70-79 Years,245,4.0%,36,4.5%,39,3.7%,15,5.7%,154,3.9%,52,21.3%,17,39.5%,11,77,3.6%
80+ Years,100,1.6%,10,1.3%,27,2.5%,1,0.4%,60,1.5%,30,12.3%,12,27.9%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,290,4.7%,57,7.2%,97,9.2%,26,9.8%,107,2.7%,13,5.3%,1,2.3%,14,155,7.2%
Non-Hispanic,2159,35.3%,570,71.6%,696,65.7%,181,68.6%,687,17.5%,180,73.8%,40,93.0%,15,1233,57.3%
UI Ethnicity,3142,51.4%,0,0.0%,0,0.0%,0,0.0%,3142,79.8%,36,14.8%,1,2.3%,16,453,21.1%
Unknown Ethnicity,522,8.5%,169,21.2%,266,25.1%,57,21.6%,0,0.0%,15,6.1%,1,2.3%,17,311,14.5%
White,1367,22.4%,337,42.3%,430,40.6%,171,64.8%,420,10.7%,72,29.5%,18,41.9%,18,818,38.0%
Black,204,3.3%,50,6.3%,56,5.3%,15,5.7%,79,2.0%,8,3.3%,0,0.0%,19,99,4.6%
AI/AN,1023,16.7%,180,22.6%,184,17.4%,12,4.5%,633,16.1%,68,27.9%,15,34.9%,20,301,14.0%
Asian,143,2.3%,28,3.5%,53,5.0%,8,3.0%,53,1.3%,13,5.3%,3,7.0%,21,84,3.9%
NHOPI,232,3.8%,50,6.3%,68,6.4%,2,0.8%,111,2.8%,42,17.2%,5,11.6%,22,107,5.0%
Multiple,204,3.3%,33,4.1%,38,3.6%,10,3.8%,121,3.1%,4,1.6%,0,0.0%,23,72,3.3%
Other,176,2.9%,16,2.0%,29,2.7%,10,3.8%,120,3.0%,7,2.9%,0,0.0%,24,56,2.6%
UI Race,2399,39.2%,0,0.0%,0,0.0%,0,0.0%,2399,61.0%,21,8.6%,1,2.3%,25,389,18.1%
Unknown Race,365,6.0%,102,12.8%,201,19.0%,36,13.6%,0,0.0%,9,3.7%,1,2.3%,26,226,10.5%
