Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,24103,52.1%,785,52.1%,978,51.1%,213,53.5%,21820,52.1%,553,54.8%,131,61.2%,1
Female,22144,47.9%,721,47.9%,936,48.9%,185,46.5%,20038,47.9%,456,45.1%,83,38.8%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,1,0.1%,0,0.0%,3
<10 Years,2897,6.3%,32,2.1%,131,6.8%,13,3.3%,2706,6.5%,10,1.0%,0,0.0%,4
10-19 Years,5420,11.7%,131,8.7%,219,11.4%,59,14.8%,4943,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9567,20.7%,411,27.3%,480,25.1%,64,16.1%,8491,20.3%,46,4.6%,3,1.4%,6
30-39 Years,8909,19.3%,270,17.9%,336,17.6%,80,20.1%,8113,19.4%,85,8.4%,5,2.3%,7
40-49 Years,6488,14.0%,224,14.9%,243,12.7%,63,15.8%,5886,14.1%,91,9.0%,8,3.7%,8
50-59 Years,6000,13.0%,190,12.6%,250,13.1%,50,12.6%,5447,13.0%,161,15.9%,15,7.0%,9
60-69 Years,4287,9.3%,157,10.4%,138,7.2%,44,11.1%,3872,9.2%,224,22.2%,40,18.7%,10
70-79 Years,1891,4.1%,60,4.0%,74,3.9%,23,5.8%,1701,4.1%,228,22.6%,67,31.3%,11
80+ Years,803,1.7%,31,2.1%,43,2.2%,2,0.5%,714,1.7%,157,15.5%,76,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2474,5.3%,119,7.9%,178,9.3%,42,10.6%,2110,5.0%,50,5.0%,7,3.3%,14
Non-Hispanic,23359,50.5%,1175,78.0%,1463,76.4%,304,76.4%,20245,48.3%,745,73.8%,179,83.6%,15
UI Ethnicity,19518,42.2%,0,0.0%,0,0.0%,0,0.0%,19518,46.6%,195,19.3%,16,7.5%,16
Unknown Ethnicity,911,2.0%,212,14.1%,273,14.3%,52,13.1%,0,0.0%,20,2.0%,12,5.6%,17
White,14154,30.6%,678,45.0%,823,43.0%,243,61.1%,12279,29.3%,326,32.3%,80,37.4%,18
Black,1198,2.6%,91,6.0%,116,6.1%,21,5.3%,958,2.3%,38,3.8%,9,4.2%,19
AI/AN,9473,20.5%,387,25.7%,435,22.7%,44,11.1%,8531,20.4%,261,25.8%,76,35.5%,20
Asian,1835,4.0%,74,4.9%,98,5.1%,19,4.8%,1628,3.9%,97,9.6%,20,9.3%,21
NHOPI,1305,2.8%,73,4.8%,137,7.2%,4,1.0%,1087,2.6%,111,11.0%,13,6.1%,22
Multiple,3692,8.0%,73,4.8%,90,4.7%,13,3.3%,3486,8.3%,68,6.7%,7,3.3%,23
Other,5917,12.8%,38,2.5%,53,2.8%,16,4.0%,5686,13.6%,46,4.6%,3,1.4%,24
UI Race,8218,17.8%,0,0.0%,0,0.0%,0,0.0%,8218,19.6%,56,5.5%,5,2.3%,25
Unknown Race,470,1.0%,92,6.1%,162,8.5%,38,9.5%,0,0.0%,7,0.7%,1,0.5%,26
