Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32267,52.1%,1071,51.9%,1392,50.3%,264,52.1%,29065,52.2%,763,55.2%,184,59.5%,1
Female,29639,47.9%,992,48.1%,1378,49.7%,243,47.9%,26583,47.8%,620,44.8%,125,40.5%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,4370,7.1%,62,3.0%,253,9.1%,18,3.6%,3996,7.2%,15,1.1%,0,0.0%,4
10-19 Years,7912,12.8%,204,9.9%,364,13.1%,66,13.0%,7178,12.9%,14,1.0%,0,0.0%,5
20-29 Years,12616,20.4%,521,25.3%,599,21.6%,85,16.8%,11229,20.2%,56,4.0%,3,1.0%,6
30-39 Years,11741,19.0%,358,17.4%,451,16.3%,90,17.8%,10694,19.2%,116,8.4%,6,1.9%,7
40-49 Years,8491,13.7%,292,14.2%,323,11.7%,78,15.4%,7683,13.8%,137,9.9%,12,3.9%,8
50-59 Years,7938,12.8%,256,12.4%,354,12.8%,67,13.2%,7154,12.9%,232,16.8%,20,6.5%,9
60-69 Years,5489,8.9%,214,10.4%,201,7.3%,66,13.0%,4881,8.8%,310,22.4%,61,19.7%,10
70-79 Years,2373,3.8%,101,4.9%,126,4.5%,33,6.5%,2050,3.7%,290,21.0%,95,30.7%,11
80+ Years,988,1.6%,55,2.7%,99,3.6%,4,0.8%,795,1.4%,213,15.4%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3229,5.2%,136,6.6%,220,7.9%,53,10.5%,2788,5.0%,72,5.2%,13,4.2%,14
Non-Hispanic,33190,53.6%,1653,80.1%,2172,78.4%,388,76.5%,28595,51.4%,1048,75.8%,290,93.9%,15
UI Ethnicity,24277,39.2%,0,0.0%,0,0.0%,0,0.0%,24277,43.6%,243,17.6%,4,1.3%,16
Unknown Ethnicity,1222,2.0%,274,13.3%,378,13.6%,66,13.0%,0,0.0%,20,1.4%,2,0.6%,17
White,20449,33.0%,852,41.3%,1085,39.2%,303,59.8%,17970,32.3%,489,35.4%,131,42.4%,18
Black,1511,2.4%,96,4.7%,132,4.8%,21,4.1%,1245,2.2%,50,3.6%,10,3.2%,19
AI/AN,13088,21.1%,697,33.8%,839,30.3%,74,14.6%,11268,20.2%,374,27.0%,113,36.6%,20
Asian,2464,4.0%,93,4.5%,166,6.0%,20,3.9%,2155,3.9%,120,8.7%,30,9.7%,21
NHOPI,1621,2.6%,80,3.9%,160,5.8%,4,0.8%,1368,2.5%,132,9.5%,17,5.5%,22
Multiple,4733,7.6%,87,4.2%,116,4.2%,19,3.7%,4476,8.0%,73,5.3%,5,1.6%,23
Other,7335,11.8%,55,2.7%,75,2.7%,19,3.7%,7045,12.7%,59,4.3%,1,0.3%,24
UI Race,10133,16.4%,0,0.0%,0,0.0%,0,0.0%,10133,18.2%,77,5.6%,1,0.3%,25
Unknown Race,584,0.9%,103,5.0%,197,7.1%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
