Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3306,50.5%,433,51.6%,557,50.0%,138,51.3%,2147,50.3%,140,55.3%,27,61.4%,1,1066,48.5%
Female,3242,49.5%,406,48.4%,556,50.0%,131,48.7%,2123,49.7%,113,44.7%,17,38.6%,2,1133,51.5%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,319,4.9%,15,1.8%,69,6.2%,8,3.0%,226,5.3%,1,0.4%,0,0.0%,4,102,4.6%
10-19 Years,667,10.2%,69,8.2%,103,9.3%,39,14.5%,444,10.4%,1,0.4%,0,0.0%,5,251,11.4%
20-29 Years,1630,24.9%,218,26.0%,305,27.4%,51,19.0%,1042,24.4%,15,5.9%,0,0.0%,6,566,25.7%
30-39 Years,1248,19.1%,172,20.5%,211,19.0%,52,19.3%,802,18.8%,23,9.1%,2,4.5%,7,435,19.8%
40-49 Years,881,13.5%,134,16.0%,125,11.2%,41,15.2%,570,13.3%,33,13.0%,3,6.8%,8,289,13.1%
50-59 Years,847,12.9%,104,12.4%,147,13.2%,36,13.4%,559,13.1%,48,19.0%,4,9.1%,9,273,12.4%
60-69 Years,589,9.0%,81,9.7%,87,7.8%,26,9.7%,391,9.2%,48,19.0%,5,11.4%,10,183,8.3%
70-79 Years,262,4.0%,36,4.3%,39,3.5%,15,5.6%,171,4.0%,54,21.3%,17,38.6%,11,77,3.5%
80+ Years,106,1.6%,10,1.2%,27,2.4%,1,0.4%,66,1.5%,30,11.9%,13,29.5%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,307,4.7%,62,7.4%,103,9.3%,26,9.7%,113,2.6%,13,5.1%,1,2.3%,14,159,7.2%
Non-Hispanic,2272,34.7%,602,71.8%,743,66.8%,185,68.8%,718,16.8%,185,73.1%,40,90.9%,15,1279,58.2%
UI Ethnicity,3440,52.5%,0,0.0%,0,0.0%,0,0.0%,3440,80.5%,40,15.8%,1,2.3%,16,452,20.6%
Unknown Ethnicity,530,8.1%,175,20.9%,267,24.0%,58,21.6%,0,0.0%,15,5.9%,2,4.5%,17,309,14.1%
White,1439,22.0%,343,40.9%,447,40.2%,171,63.6%,468,11.0%,73,28.9%,18,40.9%,18,831,37.8%
Black,214,3.3%,55,6.6%,67,6.0%,15,5.6%,73,1.7%,8,3.2%,0,0.0%,19,102,4.6%
AI/AN,1147,17.5%,193,23.0%,193,17.3%,15,5.6%,733,17.2%,72,28.5%,16,36.4%,20,317,14.4%
Asian,151,2.3%,31,3.7%,55,4.9%,9,3.3%,55,1.3%,15,5.9%,3,6.8%,21,86,3.9%
NHOPI,247,3.8%,56,6.7%,82,7.4%,2,0.7%,106,2.5%,43,17.0%,5,11.4%,22,119,5.4%
Multiple,223,3.4%,38,4.5%,41,3.7%,10,3.7%,133,3.1%,4,1.6%,0,0.0%,23,77,3.5%
Other,187,2.9%,17,2.0%,29,2.6%,10,3.7%,130,3.0%,7,2.8%,0,0.0%,24,56,2.5%
UI Race,2573,39.3%,0,0.0%,0,0.0%,0,0.0%,2573,60.2%,22,8.7%,1,2.3%,25,387,17.6%
Unknown Race,368,5.6%,106,12.6%,199,17.9%,37,13.8%,0,0.0%,9,3.6%,1,2.3%,26,224,10.2%
