Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/15/2020,02/01/2020,07/11/2020,United States,All,Under 1 year,9,7557,69,2,14,90,
07/15/2020,02/01/2020,07/11/2020,United States,All,1-4 years,8,1428,50,2,40,96,
07/15/2020,02/01/2020,07/11/2020,United States,All,5-14 years,14,2173,72,3,47,130,
07/15/2020,02/01/2020,07/11/2020,United States,All,15-24 years,157,13721,267,51,51,420,
07/15/2020,02/01/2020,07/11/2020,United States,All,25-34 years,844,28847,1025,377,149,1628,
07/15/2020,02/01/2020,07/11/2020,United States,All,35-44 years,2169,40955,2265,915,239,3729,
07/15/2020,02/01/2020,07/11/2020,United States,All,45-54 years,6021,76861,5978,2666,567,9797,
07/15/2020,02/01/2020,07/11/2020,United States,All,55-64 years,14693,178884,16469,6778,1211,25380,
07/15/2020,02/01/2020,07/11/2020,United States,All,65-74 years,25268,272901,28276,11609,1414,43120,
07/15/2020,02/01/2020,07/11/2020,United States,All,75-84 years,32066,337023,35913,14318,1440,54904,
07/15/2020,02/01/2020,07/11/2020,United States,All,85 years and over,40125,426975,40948,15710,1347,66543,
07/15/2020,02/01/2020,07/11/2020,United States,All,All Ages,121374,1387325,131332,52431,6519,205837,
07/15/2020,02/01/2020,07/11/2020,United States,Male,Under 1 year,5,4208,45,2,8,56,
07/15/2020,02/01/2020,07/11/2020,United States,Male,1-4 years,4,837,25,1,24,52,
07/15/2020,02/01/2020,07/11/2020,United States,Male,5-14 years,11,1306,36,3,19,63,
07/15/2020,02/01/2020,07/11/2020,United States,Male,15-24 years,104,10162,166,30,27,264,
07/15/2020,02/01/2020,07/11/2020,United States,Male,25-34 years,577,20281,649,261,76,1032,
07/15/2020,02/01/2020,07/11/2020,United States,Male,35-44 years,1543,26912,1459,646,127,2460,
07/15/2020,02/01/2020,07/11/2020,United States,Male,45-54 years,4207,48305,3762,1874,335,6359,
07/15/2020,02/01/2020,07/11/2020,United States,Male,55-64 years,9701,110173,10053,4428,689,15868,
07/15/2020,02/01/2020,07/11/2020,United States,Male,65-74 years,15696,158387,16987,7240,788,26082,
07/15/2020,02/01/2020,07/11/2020,United States,Male,75-84 years,17457,175039,19970,7987,718,30046,
07/15/2020,02/01/2020,07/11/2020,United States,Male,85 years and over,15578,164321,17909,6657,549,27298,
07/15/2020,02/01/2020,07/11/2020,United States,Male,All ages,64883,719931,71061,29129,3360,109580,
07/15/2020,02/01/2020,07/11/2020,United States,Female,Under 1 year,4,3337,24,0,6,34,
07/15/2020,02/01/2020,07/11/2020,United States,Female,1-4 years,4,591,25,1,16,44,
07/15/2020,02/01/2020,07/11/2020,United States,Female,5-14 years,3,867,36,0,28,67,
07/15/2020,02/01/2020,07/11/2020,United States,Female,15-24 years,53,3558,101,21,24,156,
07/15/2020,02/01/2020,07/11/2020,United States,Female,25-34 years,267,8564,376,116,73,596,
07/15/2020,02/01/2020,07/11/2020,United States,Female,35-44 years,626,14040,806,269,112,1269,
07/15/2020,02/01/2020,07/11/2020,United States,Female,45-54 years,1814,28554,2216,792,232,3438,
07/15/2020,02/01/2020,07/11/2020,United States,Female,55-64 years,4992,68706,6415,2350,521,9510,
07/15/2020,02/01/2020,07/11/2020,United States,Female,65-74 years,9572,114504,11289,4369,626,17038,
07/15/2020,02/01/2020,07/11/2020,United States,Female,75-84 years,14608,161974,15942,6330,722,24857,
07/15/2020,02/01/2020,07/11/2020,United States,Female,85 years and over,24544,262628,23037,9051,798,39242,
07/15/2020,02/01/2020,07/11/2020,United States,Female,All ages,56487,667323,60267,23299,3158,96251,
07/15/2020,02/01/2020,07/11/2020,United States,Unknown,All ages,4,71,4,3,1,6,
07/15/2020,02/01/2020,07/11/2020,United States Total,All,All Ages,121374,1387325,131332,52431,6519,205837,
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,Under 1 year,0,80,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,1-4 years,0,16,0,0,0,0,
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,5-14 years,0,34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,15-24 years,0,210,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,25-34 years,,359,,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,35-44 years,,515,27,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,45-54 years,45,941,46,13,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,55-64 years,81,2224,144,21,15,219,
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,65-74 years,145,2956,225,39,15,346,
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,75-84 years,150,3064,257,45,,369,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,85 years and over,111,2204,176,36,,257,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Male,All ages,545,12603,886,161,56,1325,
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,Under 1 year,0,49,0,0,0,0,
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,1-4 years,0,16,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,5-14 years,0,16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,15-24 years,0,73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,25-34 years,,162,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,35-44 years,13,302,13,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,45-54 years,30,637,34,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,55-64 years,64,1450,132,15,,189,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,65-74 years,120,2263,154,40,12,246,
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,75-84 years,123,3036,212,44,,296,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,85 years and over,150,3736,202,43,,311,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alabama,Female,All ages,503,11740,756,153,39,1143,
07/15/2020,02/01/2020,07/11/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
07/15/2020,02/01/2020,07/11/2020,Alabama Total,All,All Ages,1048,24343,1642,314,95,2468,
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,15-24 years,0,31,0,0,0,0,
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,25-34 years,0,44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/15/2020,02/01/2020,07/11/2020,Alaska,Male,35-44 years,0,41,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
