ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1081,49.3%,206,50.4%,276,48.2%,97,54.2%,496,48.5%,60.4%,47.4%,67,9,394,50.1%
2,Female,1111,50.7%,203,49.6%,297,51.8%,82,45.8%,526,51.5%,39.6%,52.6%,44,10,393,49.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,105,4.8%,7,1.7%,36,6.3%,2,1.1%,60,5.9%,0.0%,0.0%,0,0,32,4.1%
5,10-19 Years,209,9.5%,33,8.1%,45,7.9%,19,10.6%,110,10.8%,0.9%,0.0%,1,0,66,8.4%
6,20-29 Years,539,24.6%,100,24.4%,128,22.3%,27,15.1%,282,27.6%,8.1%,0.0%,9,0,168,21.3%
7,30-39 Years,427,19.5%,81,19.8%,113,19.7%,36,20.1%,193,18.9%,12.6%,10.5%,14,2,161,20.5%
8,40-49 Years,301,13.7%,69,16.9%,71,12.4%,33,18.4%,128,12.5%,6.3%,0.0%,7,0,119,15.1%
9,50-59 Years,272,12.4%,56,13.7%,94,16.4%,25,14.0%,97,9.5%,20.7%,10.5%,23,2,114,14.5%
10,60-69 Years,204,9.3%,36,8.8%,55,9.6%,22,12.3%,90,8.8%,18.0%,10.5%,20,2,85,10.8%
11,70-79 Years,100,4.6%,21,5.1%,21,3.7%,14,7.8%,44,4.3%,23.4%,47.4%,26,9,35,4.4%
12,80+ Years,35,1.6%,6,1.5%,10,1.7%,1,0.6%,18,1.8%,9.9%,21.1%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,121,5.5%,33,8.1%,51,8.9%,21,11.7%,16,1.6%,6.3%,0.0%,7,0,75,9.5%
15,Non-Hispanic,1068,48.7%,335,81.9%,445,77.7%,138,77.1%,145,14.2%,81.1%,100.0%,90,19,650,82.6%
16,Unknown Ethnicity,1003,45.8%,41,10.0%,77,13.4%,20,11.2%,861,84.2%,12.6%,0.0%,14,0,62,7.9%
17,White,764,34.9%,214,52.3%,310,54.1%,127,70.9%,111,10.9%,42.3%,57.9%,47,11,478,60.7%
18,Black,52,2.4%,21,5.1%,9,1.6%,10,5.6%,11,1.1%,1.8%,0.0%,2,0,26,3.3%
19,AI/AN,292,13.3%,84,20.5%,86,15.0%,7,3.9%,113,11.1%,19.8%,26.3%,22,5,100,12.7%
20,Asian,68,3.1%,17,4.2%,43,7.5%,5,2.8%,3,0.3%,8.1%,10.5%,9,2,55,7.0%
21,NHOPI,79,3.6%,19,4.6%,32,5.6%,1,0.6%,27,2.6%,14.4%,5.3%,16,1,29,3.7%
22,Multiple,68,3.1%,16,3.9%,24,4.2%,8,4.5%,18,1.8%,0.0%,0.0%,0,0,35,4.4%
23,Other,38,1.7%,7,1.7%,14,2.4%,8,4.5%,9,0.9%,4.5%,0.0%,5,0,20,2.5%
24,Unknown Race,831,37.9%,31,7.6%,55,9.6%,13,7.3%,730,71.4%,9.0%,0.0%,10,0,44,5.6%
