Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25154,52.0%,809,52.3%,1004,51.2%,218,53.6%,22775,52.0%,594,55.1%,136,61.0%,1
Female,23184,47.9%,737,47.7%,958,48.8%,189,46.4%,20990,47.9%,484,44.9%,87,39.0%,2
Unknown Sex,36,0.1%,0,0.0%,0,0.0%,0,0.0%,33,0.1%,1,0.1%,0,0.0%,3
<10 Years,3081,6.4%,33,2.1%,135,6.9%,13,3.2%,2876,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5713,11.8%,133,8.6%,230,11.7%,60,14.7%,5220,11.9%,8,0.7%,0,0.0%,5
20-29 Years,10014,20.7%,419,27.1%,489,24.9%,66,16.2%,8901,20.3%,49,4.5%,3,1.3%,6
30-39 Years,9299,19.2%,276,17.9%,342,17.4%,81,19.9%,8475,19.4%,88,8.2%,6,2.7%,7
40-49 Years,6738,13.9%,229,14.8%,246,12.5%,64,15.7%,6117,14.0%,100,9.3%,8,3.6%,8
50-59 Years,6254,12.9%,192,12.4%,253,12.9%,53,13.0%,5681,13.0%,175,16.2%,18,8.1%,9
60-69 Years,4469,9.2%,162,10.5%,140,7.1%,45,11.1%,4033,9.2%,238,22.1%,41,18.4%,10
70-79 Years,1971,4.1%,65,4.2%,80,4.1%,23,5.7%,1765,4.0%,240,22.2%,68,30.5%,11
80+ Years,835,1.7%,37,2.4%,47,2.4%,2,0.5%,730,1.7%,170,15.8%,79,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2693,5.6%,120,7.8%,180,9.2%,43,10.6%,2325,5.3%,55,5.1%,9,4.0%,14
Non-Hispanic,25754,53.2%,1220,78.9%,1518,77.4%,313,76.9%,22482,51.3%,817,75.7%,208,93.3%,15
UI Ethnicity,18991,39.3%,0,0.0%,0,0.0%,0,0.0%,18991,43.4%,189,17.5%,4,1.8%,16
Unknown Ethnicity,936,1.9%,206,13.3%,264,13.5%,51,12.5%,0,0.0%,18,1.7%,2,0.9%,17
White,15333,31.7%,697,45.1%,835,42.6%,250,61.4%,13384,30.6%,352,32.6%,83,37.2%,18
Black,1256,2.6%,92,6.0%,116,5.9%,21,5.2%,1013,2.3%,41,3.8%,9,4.0%,19
AI/AN,10142,21.0%,403,26.1%,466,23.8%,49,12.0%,9126,20.8%,288,26.7%,83,37.2%,20
Asian,1957,4.0%,75,4.9%,100,5.1%,19,4.7%,1742,4.0%,102,9.5%,20,9.0%,21
NHOPI,1376,2.8%,74,4.8%,138,7.0%,4,1.0%,1155,2.6%,118,10.9%,15,6.7%,22
Multiple,3863,8.0%,74,4.8%,91,4.6%,13,3.2%,3655,8.3%,68,6.3%,7,3.1%,23
Other,6178,12.8%,40,2.6%,56,2.9%,16,3.9%,5941,13.6%,47,4.4%,4,1.8%,24
UI Race,7782,16.1%,0,0.0%,0,0.0%,0,0.0%,7782,17.8%,54,5.0%,1,0.4%,25
Unknown Race,487,1.0%,91,5.9%,160,8.2%,35,8.6%,0,0.0%,9,0.8%,1,0.4%,26
