Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3489,50.5%,451,52.0%,594,50.8%,138,50.9%,2275,50.1%,146,55.1%,27,60.0%,1,1086,48.8%
Female,3417,49.5%,417,48.0%,576,49.2%,133,49.1%,2265,49.9%,119,44.9%,18,40.0%,2,1141,51.2%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,343,5.0%,15,1.7%,72,6.2%,8,3.0%,247,5.4%,3,1.1%,0,0.0%,4,104,4.7%
10-19 Years,701,10.2%,72,8.3%,109,9.3%,39,14.4%,469,10.3%,1,0.4%,0,0.0%,5,256,11.5%
20-29 Years,1707,24.7%,228,26.3%,315,26.9%,51,18.8%,1099,24.2%,15,5.7%,0,0.0%,6,575,25.8%
30-39 Years,1319,19.1%,176,20.3%,220,18.8%,53,19.6%,859,18.9%,24,9.1%,2,4.4%,7,439,19.7%
40-49 Years,938,13.6%,139,16.0%,140,12.0%,41,15.1%,607,13.4%,37,14.0%,4,8.9%,8,292,13.1%
50-59 Years,893,12.9%,107,12.3%,158,13.5%,36,13.3%,591,13.0%,50,18.9%,4,8.9%,9,275,12.3%
60-69 Years,621,9.0%,85,9.8%,89,7.6%,27,10.0%,416,9.2%,49,18.5%,5,11.1%,10,186,8.4%
70-79 Years,274,4.0%,36,4.1%,40,3.4%,15,5.5%,182,4.0%,55,20.8%,17,37.8%,11,77,3.5%
80+ Years,110,1.6%,10,1.2%,27,2.3%,1,0.4%,70,1.5%,31,11.7%,13,28.9%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,320,4.6%,67,7.7%,106,9.1%,26,9.6%,118,2.6%,13,4.9%,1,2.2%,14,162,7.3%
Non-Hispanic,2355,34.1%,620,71.4%,774,66.2%,186,68.6%,751,16.5%,192,72.5%,40,88.9%,15,1298,58.3%
UI Ethnicity,3671,53.2%,0,0.0%,0,0.0%,0,0.0%,3671,80.9%,42,15.8%,1,2.2%,16,450,20.2%
Unknown Ethnicity,560,8.1%,181,20.9%,290,24.8%,59,21.8%,0,0.0%,18,6.8%,3,6.7%,17,317,14.2%
White,1490,21.6%,352,40.6%,455,38.9%,171,63.1%,502,11.1%,75,28.3%,18,40.0%,18,837,37.6%
Black,225,3.3%,56,6.5%,71,6.1%,15,5.5%,79,1.7%,8,3.0%,1,2.2%,19,103,4.6%
AI/AN,1222,17.7%,203,23.4%,213,18.2%,15,5.5%,778,17.1%,80,30.2%,16,35.6%,20,321,14.4%
Asian,160,2.3%,31,3.6%,56,4.8%,9,3.3%,63,1.4%,15,5.7%,3,6.7%,21,86,3.9%
NHOPI,257,3.7%,58,6.7%,89,7.6%,2,0.7%,107,2.4%,43,16.2%,5,11.1%,22,127,5.7%
Multiple,250,3.6%,41,4.7%,44,3.8%,10,3.7%,154,3.4%,6,2.3%,0,0.0%,23,79,3.5%
Other,202,2.9%,18,2.1%,30,2.6%,11,4.1%,142,3.1%,7,2.6%,0,0.0%,24,59,2.6%
UI Race,2715,39.3%,0,0.0%,0,0.0%,0,0.0%,2715,59.8%,21,7.9%,1,2.2%,25,384,17.2%
Unknown Race,385,5.6%,109,12.6%,212,18.1%,38,14.0%,0,0.0%,10,3.8%,1,2.2%,26,231,10.4%
