Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,18605,51.4%,742,52.5%,936,51.1%,196,52.7%,16507,51.3%,431,54.6%,86,59.3%,1
Female,17506,48.4%,672,47.5%,897,48.9%,176,47.3%,15560,48.4%,357,45.2%,59,40.7%,2
Unknown Sex,85,0.2%,0,0.0%,0,0.0%,0,0.0%,85,0.3%,2,0.3%,0,0.0%,3
<10 Years,2159,6.0%,30,2.1%,121,6.6%,9,2.4%,1990,6.2%,8,1.0%,0,0.0%,4
10-19 Years,4265,11.8%,121,8.6%,211,11.5%,55,14.8%,3828,11.9%,7,0.9%,0,0.0%,5
20-29 Years,7447,20.6%,400,28.3%,475,25.9%,62,16.7%,6420,20.0%,41,5.2%,2,1.4%,6
30-39 Years,6923,19.1%,260,18.4%,327,17.8%,77,20.7%,6172,19.2%,68,8.6%,5,3.4%,7
40-49 Years,5204,14.4%,215,15.2%,232,12.7%,58,15.6%,4638,14.4%,79,10.0%,7,4.8%,8
50-59 Years,4672,12.9%,175,12.4%,239,13.0%,49,13.2%,4162,12.9%,129,16.3%,10,6.9%,9
60-69 Years,3373,9.3%,144,10.2%,134,7.3%,39,10.5%,3005,9.3%,175,22.2%,30,20.7%,10
70-79 Years,1519,4.2%,52,3.7%,61,3.3%,22,5.9%,1360,4.2%,167,21.1%,41,28.3%,11
80+ Years,634,1.8%,17,1.2%,33,1.8%,1,0.3%,577,1.8%,116,14.7%,50,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1692,4.7%,73,5.2%,110,6.0%,26,7.0%,1475,4.6%,24,3.0%,0,0.0%,14
Non-Hispanic,17164,47.4%,1107,78.3%,1392,75.9%,287,77.2%,14285,44.4%,563,71.3%,118,81.4%,15
UI Ethnicity,16392,45.3%,0,0.0%,0,0.0%,0,0.0%,16392,51.0%,183,23.2%,22,15.2%,16
Unknown Ethnicity,948,2.6%,234,16.5%,331,18.1%,59,15.9%,0,0.0%,20,2.5%,5,3.4%,17
White,10622,29.3%,637,45.0%,781,42.6%,225,60.5%,8912,27.7%,242,30.6%,51,35.2%,18
Black,951,2.6%,91,6.4%,115,6.3%,21,5.6%,716,2.2%,33,4.2%,6,4.1%,19
AI/AN,7373,20.4%,348,24.6%,409,22.3%,43,11.6%,6521,20.3%,216,27.3%,54,37.2%,20
Asian,1336,3.7%,72,5.1%,95,5.2%,18,4.8%,1146,3.6%,60,7.6%,13,9.0%,21
NHOPI,1077,3.0%,73,5.2%,133,7.3%,4,1.1%,864,2.7%,87,11.0%,10,6.9%,22
Multiple,2635,7.3%,71,5.0%,90,4.9%,13,3.5%,2433,7.6%,56,7.1%,6,4.1%,23
Other,4401,12.2%,35,2.5%,49,2.7%,15,4.0%,4191,13.0%,32,4.1%,3,2.1%,24
UI Race,7369,20.4%,0,0.0%,0,0.0%,0,0.0%,7369,22.9%,57,7.2%,2,1.4%,25
Unknown Race,432,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,0.9%,0,0.0%,26
