Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30410,52.0%,974,51.8%,1211,50.9%,243,52.9%,27551,52.1%,722,55.1%,180,59.4%,1
Female,28000,47.9%,907,48.2%,1170,49.1%,216,47.1%,25325,47.9%,588,44.9%,123,40.6%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.0%,0,0.0%,0,0.0%,3
<10 Years,4017,6.9%,43,2.3%,177,7.4%,15,3.3%,3752,7.1%,14,1.1%,0,0.0%,4
10-19 Years,7275,12.5%,161,8.6%,281,11.8%,65,14.2%,6678,12.6%,10,0.8%,0,0.0%,5
20-29 Years,11927,20.4%,482,25.6%,556,23.4%,80,17.4%,10648,20.1%,52,4.0%,3,1.0%,6
30-39 Years,11084,19.0%,323,17.2%,402,16.9%,86,18.7%,10134,19.2%,105,8.0%,6,2.0%,7
40-49 Years,8045,13.8%,279,14.8%,289,12.1%,71,15.5%,7307,13.8%,124,9.5%,12,4.0%,8
50-59 Years,7538,12.9%,238,12.7%,303,12.7%,61,13.3%,6840,12.9%,218,16.6%,20,6.6%,9
60-69 Years,5292,9.1%,203,10.8%,173,7.3%,54,11.8%,4753,9.0%,295,22.5%,60,19.8%,10
70-79 Years,2288,3.9%,97,5.2%,114,4.8%,25,5.4%,1996,3.8%,283,21.6%,93,30.7%,11
80+ Years,962,1.6%,55,2.9%,86,3.6%,2,0.4%,786,1.5%,209,16.0%,109,36.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3146,5.4%,139,7.4%,208,8.7%,50,10.9%,2720,5.1%,68,5.2%,13,4.3%,14
Non-Hispanic,31911,54.6%,1492,79.3%,1839,77.2%,351,76.5%,27916,52.8%,1008,76.9%,284,93.7%,15
UI Ethnicity,22258,38.1%,0,0.0%,0,0.0%,0,0.0%,22258,42.1%,214,16.3%,4,1.3%,16
Unknown Ethnicity,1113,1.9%,250,13.3%,334,14.0%,58,12.6%,0,0.0%,20,1.5%,2,0.7%,17
White,19346,33.1%,834,44.3%,1005,42.2%,283,61.7%,17003,32.1%,459,35.0%,128,42.2%,18
Black,1464,2.5%,96,5.1%,121,5.1%,21,4.6%,1209,2.3%,47,3.6%,9,3.0%,19
AI/AN,12538,21.5%,537,28.5%,605,25.4%,55,12.0%,11204,21.2%,359,27.4%,111,36.6%,20
Asian,2377,4.1%,90,4.8%,143,6.0%,20,4.4%,2097,4.0%,117,8.9%,30,9.9%,21
NHOPI,1570,2.7%,80,4.3%,154,6.5%,4,0.9%,1323,2.5%,129,9.8%,17,5.6%,22
Multiple,4535,7.8%,87,4.6%,104,4.4%,16,3.5%,4295,8.1%,69,5.3%,5,1.7%,23
Other,7047,12.1%,56,3.0%,68,2.9%,18,3.9%,6764,12.8%,57,4.4%,1,0.3%,24
UI Race,8999,15.4%,0,0.0%,0,0.0%,0,0.0%,8999,17.0%,64,4.9%,1,0.3%,25
Unknown Race,552,0.9%,101,5.4%,181,7.6%,42,9.2%,0,0.0%,9,0.7%,1,0.3%,26
