,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=293,763",,"N=22,376",,"N=2,647",,"N=1,074",
Female,156809,56%,12291,55%,1256,48%,568,53%
Male,125710,44%,9915,45%,1374,52%,506,47%
Other,16,<1%,100,<1%,9,<1%,0,0%
Pending further information,11228,--,70,--,8,--,0,--
Age Group,,,,,,,,
0-4,5669,2%,356,2%,24,1%,0,0%
5-9,4494,2%,356,2%,8,<1%,0,0%
10-14,5169,2%,406,2%,14,1%,<5,--
15-18,12665,4%,810,4%,19,1%,0,0%
19-24,37686,13%,2215,10%,73,3%,<5,--
25-29,26450,9%,1983,9%,94,4%,<5,--
30-39,46379,16%,3621,16%,207,8%,7,1%
40-49,37846,13%,3292,15%,304,11%,16,1%
50-59,44597,15%,3301,15%,411,16%,49,5%
60-69,36376,12%,2330,10%,517,20%,113,11%
70-79,20109,7%,1523,7%,497,19%,251,23%
80-89,10787,4%,1303,6%,333,13%,347,32%
90+,5305,2%,872,4%,143,5%,286,27%
Pending further information,231,--,8,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,24016,22%,7983,45%,745,36%,102,12%
American Indian or Alaska Native*,680,1%,70,<1%,5,<1%,<5,--
Asian*,3067,3%,353,2%,30,1%,13,1%
Black or African American*,8633,8%,2187,12%,264,13%,54,6%
Native Hawaiian or Other Pacific Islander*,216,<1%,0,0%,0,0%,0,0%
White*,64647,60%,6549,37%,975,47%,711,81%
Other race*,6768,6%,301,2%,36,2%,0,0%
Multiple race*,110,<1%,150,1%,5,<1%,<5,--
Declined,2048,--,189,--,7,--,0,--
Unknown or pending further information,183578,--,4594,--,580,--,192,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,9/16/2020,,,,,,,
