FID,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,298,50.3%,78,50.0%,114,46.0%,60,58.3%,46,53.5%,28,57.1%,5,45.5%
2,Female,295,49.7%,78,50.0%,134,54.0%,43,41.7%,40,46.5%,21,42.9%,6,54.5%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,18,3.0%,2,1.3%,13,5.2%,0,0.0%,3,3.5%,0,0.0%,0,0.0%
5,10-19 Years,44,7.4%,15,9.6%,23,9.3%,3,2.9%,3,3.5%,1,2.0%,0,0.0%
6,20-29 Years,106,17.9%,24,15.4%,56,22.6%,14,13.6%,12,14.0%,3,6.1%,0,0.0%
7,30-39 Years,117,19.7%,33,21.2%,44,17.7%,20,19.4%,20,23.3%,5,10.2%,2,18.2%
8,40-49 Years,81,13.7%,25,16.0%,25,10.1%,20,19.4%,11,12.8%,2,4.1%,0,0.0%
9,50-59 Years,105,17.7%,27,17.3%,48,19.4%,16,15.5%,14,16.3%,9,18.4%,1,9.1%
10,60-69 Years,69,11.6%,17,10.9%,25,10.1%,17,16.5%,10,11.6%,9,18.4%,1,9.1%
11,70-79 Years,38,6.4%,9,5.8%,11,4.4%,12,11.7%,6,7.0%,16,32.7%,6,54.5%
12,80+ Years,15,2.5%,4,2.6%,3,1.2%,1,1.0%,7,8.1%,4,8.2%,1,9.1%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,45,7.6%,10,6.4%,26,10.5%,8,7.8%,1,1.2%,4,8.2%,0,0.0%
15,Non-Hispanic,476,80.3%,138,88.5%,214,86.3%,88,85.4%,36,41.9%,43,87.8%,11,100.0%
16,Unknown Ethnicity,72,12.1%,8,5.1%,8,3.2%,7,6.8%,49,57.0%,2,4.1%,0,0.0%
17,White,349,58.9%,95,60.9%,148,59.7%,84,81.6%,22,25.6%,27,55.1%,6,54.5%
18,Black,16,2.7%,7,4.5%,1,0.4%,5,4.9%,3,3.5%,0,0.0%,0,0.0%
19,AI/AN,69,11.6%,24,15.4%,29,11.7%,1,1.0%,15,17.4%,7,14.3%,2,18.2%
20,Asian,57,9.6%,12,7.7%,37,14.9%,4,3.9%,4,4.7%,7,14.3%,2,18.2%
21,NHOPI,16,2.7%,3,1.9%,10,4.0%,1,1.0%,2,2.3%,4,8.2%,1,9.1%
22,Multiple,22,3.7%,8,5.1%,9,3.6%,2,1.9%,3,3.5%,0,0.0%,0,0.0%
23,Other,12,2.0%,2,1.3%,8,3.2%,2,1.9%,0,0.0%,4,8.2%,0,0.0%
24,Unknown Race,52,8.8%,5,3.2%,6,2.4%,4,3.9%,37,43.0%,0,0.0%,0,0.0%
25,Grand Total,593,100.0%,156,100.0%,248,100.0%,103,100.0%,86,100.0%,49,100.0%,11,100.0%
