ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,353,49.9%,88,48.6%,138,47.4%,66,57.9%,61,50.0%,32,57.1%,6,50.0%
2,Female,355,50.1%,93,51.4%,153,52.6%,48,42.1%,61,50.0%,24,42.9%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,23,3.2%,2,1.1%,13,4.5%,2,1.8%,6,4.9%,0,0.0%,0,0.0%
5,10-19 Years,54,7.6%,16,8.8%,24,8.2%,3,2.6%,11,9.0%,1,1.8%,0,0.0%
6,20-29 Years,130,18.4%,27,14.9%,65,22.3%,15,13.2%,23,18.9%,3,5.4%,0,0.0%
7,30-39 Years,135,19.1%,39,21.5%,54,18.6%,22,19.3%,20,16.4%,6,10.7%,2,16.7%
8,40-49 Years,107,15.1%,30,16.6%,34,11.7%,21,18.4%,22,18.0%,3,5.4%,0,0.0%
9,50-59 Years,122,17.2%,31,17.1%,58,19.9%,19,16.7%,14,11.5%,10,17.9%,1,8.3%
10,60-69 Years,78,11.0%,20,11.0%,28,9.6%,19,16.7%,11,9.0%,9,16.1%,1,8.3%
11,70-79 Years,43,6.1%,12,6.6%,12,4.1%,12,10.5%,7,5.7%,19,33.9%,6,50.0%
12,80+ Years,16,2.3%,4,2.2%,3,1.0%,1,0.9%,8,6.6%,5,8.9%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,49,6.9%,10,5.5%,27,9.3%,10,8.8%,2,1.6%,5,8.9%,0,0.0%
15,Non-Hispanic,554,78.2%,159,87.8%,251,86.3%,97,85.1%,47,38.5%,49,87.5%,12,100.0%
16,Unknown Ethnicity,105,14.8%,12,6.6%,13,4.5%,7,6.1%,73,59.8%,2,3.6%,0,0.0%
17,White,409,57.8%,111,61.3%,180,61.9%,92,80.7%,26,21.3%,32,57.1%,7,58.3%
18,Black,17,2.4%,7,3.9%,2,0.7%,5,4.4%,3,2.5%,0,0.0%,0,0.0%
19,AI/AN,80,11.3%,29,16.0%,31,10.7%,1,0.9%,19,15.6%,7,12.5%,2,16.7%
20,Asian,59,8.3%,12,6.6%,40,13.7%,4,3.5%,3,2.5%,8,14.3%,2,16.7%
21,NHOPI,17,2.4%,4,2.2%,10,3.4%,1,0.9%,2,1.6%,5,8.9%,1,8.3%
22,Multiple,24,3.4%,10,5.5%,9,3.1%,3,2.6%,2,1.6%,0,0.0%,0,0.0%
23,Other,16,2.3%,2,1.1%,9,3.1%,4,3.5%,1,0.8%,4,7.1%,0,0.0%
24,Unknown Race,86,12.1%,6,3.3%,10,3.4%,4,3.5%,66,54.1%,0,0.0%,0,0.0%
25,Grand Total,708,100.0%,181,100.0%,291,100.0%,114,100.0%,122,100.0%,56,100.0%,12,100.0%
