,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,N=168023,,N=17054,,N=2075,,N=987,
Female,93488,56%,"9,428",56%,952,46%,521,53%
Male,72879,44%,"7,545",44%,1110,54%,466,47%
Other,5,<1%,<5,--,0,0%,0,0%
Pending further information,1651,--,80,--,13,--,0,--
Age Group,,,,,,,,
0-9,4458,3%,456,3%,16,1%,0,0%
10-19,8163,5%,913,5%,24,1%,<5,--
20-29,27908,17%,2709,16%,96,5%,<5,--
30-39,27761,17%,2708,16%,149,7%,6,1%
40-49,23719,14%,2590,15%,236,11%,14,1%
50-59,28094,17%,2629,15%,336,16%,45,5%
60-69,22721,14%,1867,11%,415,20%,100,10%
70-79,12900,8%,1245,7%,400,19%,240,24%
80-89,7891,5%,1148,7%,277,13%,315,32%
90-99,4069,2%,735,4%,114,5%,243,25%
100+,236,<1%,54,<1%,6,<1%,22,2%
Pending further information,103,--,0,--,6,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic/Latinx (any race),15703,27%,6072,45%,562,34%,85,11%
Black (non-Hispanic or ethnicity unknown),5426,9%,1629,12%,189,11%,51,6%
White (non-Hispanic or ethnicity unknown),33373,57%,4878,36%,791,48%,656,81%
Other race (non-Hispanic or ethnicity unknown),3536,6%,487,4%,49,3%,13,2%
Multiple races (non-Hispanic or ethnicity unknown),,,,,,,,
"Unknown, declined, or pending further information",109924,--,3580,--,414,--,182,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,7/15/2020,,,,,,,
