ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,810,49.7%,164,48.4%,230,47.0%,88,56.1%,327,50.9%,60.4%,52.9%,58,9,331,49.5%
2,Female,820,50.3%,175,51.6%,259,53.0%,69,43.9%,315,49.0%,39.6%,47.1%,38,8,338,50.5%
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.2%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,63,3.9%,5,1.5%,31,6.3%,2,1.3%,25,3.9%,0.0%,0.0%,0,0,21,3.1%
5,10-19 Years,154,9.4%,25,7.4%,39,8.0%,13,8.3%,77,12.0%,1.0%,0.0%,1,0,53,7.9%
6,20-29 Years,386,23.7%,78,23.0%,108,22.1%,22,14.0%,177,27.5%,9.4%,0.0%,9,0,140,20.9%
7,30-39 Years,313,19.2%,66,19.5%,90,18.4%,32,20.4%,123,19.1%,9.4%,11.8%,9,2,137,20.5%
8,40-49 Years,240,14.7%,62,18.3%,62,12.7%,29,18.5%,87,13.5%,5.2%,0.0%,5,0,105,15.7%
9,50-59 Years,224,13.7%,47,13.9%,83,17.0%,23,14.6%,71,11.0%,20.8%,5.9%,20,1,101,15.1%
10,60-69 Years,152,9.3%,30,8.8%,48,9.8%,22,14.0%,52,8.1%,19.8%,11.8%,19,2,74,11.1%
11,70-79 Years,74,4.5%,20,5.9%,19,3.9%,13,8.3%,22,3.4%,25.0%,52.9%,24,9,31,4.6%
12,80+ Years,25,1.5%,6,1.8%,9,1.8%,1,0.6%,9,1.4%,9.4%,17.6%,9,3,7,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,99,6.1%,24,7.1%,42,8.6%,19,12.1%,14,2.2%,7.3%,0.0%,7,0,60,9.0%
15,Non-Hispanic,921,56.5%,285,84.1%,398,81.4%,127,80.9%,109,17.0%,79.2%,100.0%,76,17,565,84.5%
16,Unknown Ethnicity,611,37.5%,30,8.8%,49,10.0%,11,7.0%,520,80.9%,13.5%,0.0%,13,0,44,6.6%
17,White,672,41.2%,196,57.8%,282,57.7%,118,75.2%,75,11.7%,49.0%,64.7%,47,11,421,62.9%
18,Black,39,2.4%,16,4.7%,9,1.8%,8,5.1%,6,0.9%,1.0%,0.0%,1,0,20,3.0%
19,AI/AN,204,12.5%,62,18.3%,67,13.7%,3,1.9%,71,11.0%,17.7%,17.6%,17,3,78,11.7%
20,Asian,65,4.0%,16,4.7%,42,8.6%,5,3.2%,2,0.3%,9.4%,11.8%,9,2,55,8.2%
21,NHOPI,53,3.2%,13,3.8%,23,4.7%,1,0.6%,16,2.5%,10.4%,5.9%,10,1,20,3.0%
22,Multiple,43,2.6%,13,3.8%,20,4.1%,7,4.5%,3,0.5%,0.0%,0.0%,0,0,30,4.5%
23,Other,36,2.2%,6,1.8%,13,2.7%,8,5.1%,9,1.4%,4.2%,0.0%,4,0,19,2.8%
24,Unknown Race,519,31.8%,17,5.0%,33,6.7%,7,4.5%,461,71.7%,8.3%,0.0%,8,0,26,3.9%
