Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,23092,52.1%,757,52.4%,962,51.2%,201,53.0%,20872,52.2%,528,54.3%,122,61.3%,1
Female,21170,47.8%,688,47.6%,917,48.8%,178,47.0%,19126,47.8%,443,45.6%,77,38.7%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.0%,1,0.1%,0,0.0%,3
<10 Years,2739,6.2%,30,2.1%,125,6.7%,10,2.6%,2560,6.4%,9,0.9%,0,0.0%,4
10-19 Years,5163,11.7%,122,8.4%,212,11.3%,56,14.8%,4706,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9089,20.5%,404,28.0%,477,25.4%,62,16.4%,8031,20.1%,46,4.7%,3,1.5%,6
30-39 Years,8551,19.3%,260,18.0%,332,17.7%,78,20.6%,7772,19.4%,84,8.6%,5,2.5%,7
40-49 Years,6236,14.1%,218,15.1%,237,12.6%,59,15.6%,5650,14.1%,89,9.2%,8,4.0%,8
50-59 Years,5746,13.0%,177,12.2%,244,13.0%,50,13.2%,5213,13.0%,156,16.0%,13,6.5%,9
60-69 Years,4143,9.4%,150,10.4%,139,7.4%,40,10.6%,3739,9.3%,218,22.4%,40,20.1%,10
70-79 Years,1839,4.2%,56,3.9%,72,3.8%,22,5.8%,1656,4.1%,211,21.7%,60,30.2%,11
80+ Years,774,1.7%,28,1.9%,41,2.2%,2,0.5%,689,1.7%,151,15.5%,70,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2422,5.5%,115,8.0%,175,9.3%,41,10.8%,2067,5.2%,47,4.8%,6,3.0%,14
Non-Hispanic,22957,51.8%,1126,77.9%,1434,76.3%,290,76.5%,19943,49.8%,719,74.0%,165,82.9%,15
UI Ethnicity,18006,40.7%,0,0.0%,0,0.0%,0,0.0%,18006,45.0%,186,19.1%,17,8.5%,16
Unknown Ethnicity,895,2.0%,204,14.1%,270,14.4%,48,12.7%,0,0.0%,20,2.1%,11,5.5%,17
White,13843,31.3%,656,45.4%,801,42.6%,228,60.2%,12033,30.1%,312,32.1%,73,36.7%,18
Black,1169,2.6%,91,6.3%,116,6.2%,21,5.5%,929,2.3%,38,3.9%,8,4.0%,19
AI/AN,8943,20.2%,354,24.5%,430,22.9%,44,11.6%,8041,20.1%,256,26.3%,74,37.2%,20
Asian,1798,4.1%,74,5.1%,97,5.2%,18,4.7%,1593,4.0%,90,9.3%,19,9.5%,21
NHOPI,1287,2.9%,73,5.1%,135,7.2%,4,1.1%,1071,2.7%,109,11.2%,11,5.5%,22
Multiple,3503,7.9%,72,5.0%,90,4.8%,13,3.4%,3298,8.2%,63,6.5%,5,2.5%,23
Other,5708,12.9%,37,2.6%,50,2.7%,16,4.2%,5482,13.7%,45,4.6%,3,1.5%,24
UI Race,7569,17.1%,0,0.0%,0,0.0%,0,0.0%,7569,18.9%,51,5.2%,5,2.5%,25
Unknown Race,460,1.0%,88,6.1%,160,8.5%,35,9.2%,0,0.0%,8,0.8%,1,0.5%,26
