Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3612,50.6%,494,52.6%,648,51.1%,144,50.3%,2292,50.1%,149,54.2%,28,60.9%,1,1266,49.3%
Female,3516,49.3%,446,47.4%,620,48.9%,142,49.7%,2280,49.8%,126,45.8%,18,39.1%,2,1301,50.7%
Unknown Sex,4,0.1%,0,0.0%,1,0.1%,0,0.0%,3,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,357,5.0%,16,1.7%,77,6.1%,8,2.8%,255,5.6%,3,1.1%,0,0.0%,4,120,4.7%
10-19 Years,725,10.2%,75,8.0%,126,9.9%,42,14.7%,469,10.3%,1,0.4%,0,0.0%,5,297,11.6%
20-29 Years,1756,24.6%,260,27.7%,344,27.1%,53,18.5%,1085,23.7%,15,5.5%,0,0.0%,6,643,25.0%
30-39 Years,1363,19.1%,188,20.0%,235,18.5%,57,19.9%,871,19.0%,24,8.7%,2,4.3%,7,498,19.4%
40-49 Years,964,13.5%,146,15.5%,150,11.8%,43,15.0%,613,13.4%,39,14.2%,4,8.7%,8,337,13.1%
50-59 Years,930,13.0%,113,12.0%,173,13.6%,37,12.9%,606,13.2%,52,18.9%,5,10.9%,9,327,12.7%
60-69 Years,640,9.0%,96,10.2%,92,7.2%,28,9.8%,420,9.2%,51,18.5%,5,10.9%,10,223,8.7%
70-79 Years,284,4.0%,36,3.8%,44,3.5%,17,5.9%,185,4.0%,58,21.1%,17,37.0%,11,93,3.6%
80+ Years,113,1.6%,10,1.1%,28,2.2%,1,0.3%,71,1.6%,32,11.6%,13,28.3%,12,29,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,373,5.2%,75,8.0%,119,9.4%,28,9.8%,146,3.2%,14,5.1%,1,2.2%,14,210,8.2%
Non-Hispanic,2710,38.0%,688,73.2%,866,68.2%,199,69.6%,928,20.3%,201,73.1%,41,89.1%,15,1567,61.0%
UI Ethnicity,3501,49.1%,0,0.0%,0,0.0%,0,0.0%,3501,76.5%,43,15.6%,1,2.2%,16,494,19.2%
Unknown Ethnicity,548,7.7%,177,18.8%,284,22.4%,59,20.6%,0,0.0%,17,6.2%,3,6.5%,17,296,11.5%
White,1680,23.6%,388,41.3%,510,40.2%,179,62.6%,590,12.9%,75,27.3%,18,39.1%,18,990,38.6%
Black,252,3.5%,64,6.8%,82,6.5%,17,5.9%,85,1.9%,8,2.9%,1,2.2%,19,125,4.9%
AI/AN,1335,18.7%,224,23.8%,242,19.1%,18,6.3%,835,18.3%,86,31.3%,17,37.0%,20,395,15.4%
Asian,188,2.6%,33,3.5%,58,4.6%,9,3.1%,87,1.9%,16,5.8%,3,6.5%,21,102,4.0%
NHOPI,273,3.8%,59,6.3%,92,7.2%,2,0.7%,119,2.6%,43,15.6%,5,10.9%,22,146,5.7%
Multiple,278,3.9%,49,5.2%,49,3.9%,11,3.8%,167,3.7%,10,3.6%,0,0.0%,23,104,4.1%
Other,229,3.2%,22,2.3%,33,2.6%,11,3.8%,162,3.5%,8,2.9%,0,0.0%,24,80,3.1%
UI Race,2530,35.5%,0,0.0%,0,0.0%,0,0.0%,2530,55.3%,19,6.9%,1,2.2%,25,412,16.0%
Unknown Race,367,5.1%,101,10.7%,203,16.0%,39,13.6%,0,0.0%,10,3.6%,1,2.2%,26,213,8.3%
