,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=805,453",,"N=119,057",,"N=9,802",,"N=2,637",,"N=405,962",,"N=288,351",,"N=662,583",
0-4,26944,3%,2721,2%,82,1%,<5,--,0,0%,0,0%,0,0%
5-9,35308,4%,3390,3%,25,<1%,0,0%,0,0%,0,0%,0,0%
10-14,36890,5%,4333,4%,36,<1%,<5,--,<5,--,<5,--,<5,--
15-18,41590,5%,5850,5%,66,1%,0,0%,3861,1%,1143,<1%,4708,1%
19-24,85994,11%,14015,12%,255,3%,<5,--,18255,4%,9913,3%,26032,4%
25-29,67081,8%,10599,9%,318,3%,<5,--,17968,4%,11212,4%,27421,4%
30-39,119978,15%,18624,16%,615,6%,11,<1%,41162,10%,26055,9%,63051,10%
40-49,98033,12%,15905,13%,849,9%,33,1%,44693,11%,28741,10%,68778,10%
50-59,114422,14%,17668,15%,1425,15%,116,4%,74762,18%,43600,15%,108996,16%
60-69,95305,12%,12692,11%,1899,19%,315,12%,100425,25%,72241,25%,165881,25%
70-79,51164,6%,6690,6%,1972,20%,604,23%,67443,17%,61347,21%,127008,19%
80-89,22435,3%,4200,4%,1524,16%,835,32%,28695,7%,26265,9%,54442,8%
90+,9119,1%,2367,2%,696,7%,713,27%,8692,2%,7833,3%,16260,2%
Pending further information,1190,--,3,--,40,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,60434,16%,30911,30%,2071,26%,220,10%,37009,10%,24578,9%,56739,9%
American Indian or Alaska Native*,4879,1%,313,<1%,26,<1%,<5,--,1228,<1%,768,<1%,1912,<1%
Asian*,9837,3%,2346,2%,182,2%,42,2%,10693,3%,5268,2%,14914,2%
Black or African American*,20133,5%,7675,7%,650,8%,107,5%,14438,4%,9469,4%,22458,4%
Native Hawaiian or Other Pacific Islander*,552,<1%,0,0%,0,0%,0,0%,631,<1%,416,<1%,1005,<1%
White*,243608,66%,59229,57%,4762,60%,1898,84%,294053,78%,212070,80%,484995,79%
Other race*,21550,6%,2303,2%,209,3%,<5,--,17959,5%,12532,5%,28993,5%
Multiple race*,5761,2%,1197,1%,51,1%,<5,--,--,--,--,--,--,--
Declined,11117,--,2470,--,107,--,0,--,0,--,0,--,0,--
Unknown or pending further information,427582,--,12613,--,1744,--,361,--,29951,--,23250,--,51567,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,367256,54%,61188,53%,4653,50%,1360,52%,232840,57%,171334,59%,387259,59%
Male,312765,46%,53801,47%,4646,50%,1271,48%,172677,43%,116757,41%,274684,41%
Other,206,<1%,169,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,125226,--,3899,--,489,--,<5,--,445,--,260,--,640,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2950,5%,111,3%,--,--,--,--,--,--,--,--
No,--,--,59266,95%,3487,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56841,--,6204,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38548,53%,4887,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33556,46%,4863,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,542,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,228,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21790,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,24393,--,50,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,38,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,603,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1076,2%,44,1%,--,--,--,--,--,--,--,--
Queer,--,--,128,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,63009,96%,3719,98%,--,--,--,--,--,--,--,--
Other,--,--,589,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26514,--,2388,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27100,--,3619,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,4/15/2021,,,,,,,,,,,,,
