Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32852,52.1%,1080,51.7%,1406,49.9%,272,52.4%,29601,52.2%,773,54.7%,198,60.2%,1
Female,30192,47.9%,1007,48.3%,1410,50.1%,247,47.6%,27062,47.7%,639,45.3%,131,39.8%,2
Unknown Sex,17,0.0%,0,0.0%,0,0.0%,0,0.0%,17,0.0%,0,0.0%,0,0.0%,3
<10 Years,4513,7.2%,63,3.0%,258,9.2%,18,3.5%,4130,7.3%,15,1.1%,0,0.0%,4
10-19 Years,8138,12.9%,206,9.9%,374,13.3%,70,13.5%,7385,13.0%,15,1.1%,0,0.0%,5
20-29 Years,12836,20.4%,529,25.3%,605,21.5%,87,16.8%,11422,20.2%,58,4.1%,4,1.2%,6
30-39 Years,11940,18.9%,361,17.3%,459,16.3%,90,17.3%,10875,19.2%,118,8.4%,6,1.8%,7
40-49 Years,8620,13.7%,293,14.0%,328,11.6%,79,15.2%,7802,13.8%,140,9.9%,15,4.6%,8
50-59 Years,8054,12.8%,258,12.4%,356,12.6%,68,13.1%,7259,12.8%,239,16.9%,21,6.4%,9
60-69 Years,5559,8.8%,217,10.4%,205,7.3%,68,13.1%,4935,8.7%,320,22.7%,65,19.8%,10
70-79 Years,2404,3.8%,104,5.0%,130,4.6%,35,6.7%,2071,3.7%,293,20.8%,100,30.4%,11
80+ Years,997,1.6%,56,2.7%,101,3.6%,4,0.8%,801,1.4%,214,15.2%,118,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3251,5.2%,136,6.5%,220,7.8%,55,10.6%,2806,5.0%,73,5.2%,15,4.6%,14
Non-Hispanic,33618,53.3%,1672,80.1%,2208,78.4%,395,76.1%,28946,51.1%,1066,75.5%,308,93.6%,15
UI Ethnicity,24928,39.5%,0,0.0%,0,0.0%,0,0.0%,24928,44.0%,252,17.8%,4,1.2%,16
Unknown Ethnicity,1264,2.0%,279,13.4%,388,13.8%,69,13.3%,0,0.0%,21,1.5%,2,0.6%,17
White,20836,33.0%,866,41.5%,1109,39.4%,308,59.3%,18298,32.3%,503,35.6%,144,43.8%,18
Black,1527,2.4%,96,4.6%,132,4.7%,22,4.2%,1260,2.2%,50,3.5%,10,3.0%,19
AI/AN,13256,21.0%,705,33.8%,854,30.3%,74,14.3%,11408,20.1%,379,26.8%,117,35.6%,20
Asian,2482,3.9%,94,4.5%,167,5.9%,22,4.2%,2168,3.8%,121,8.6%,32,9.7%,21
NHOPI,1639,2.6%,80,3.8%,160,5.7%,4,0.8%,1386,2.4%,133,9.4%,18,5.5%,22
Multiple,4791,7.6%,87,4.2%,119,4.2%,19,3.7%,4526,8.0%,76,5.4%,6,1.8%,23
Other,7418,11.8%,55,2.6%,75,2.7%,20,3.9%,7126,12.6%,60,4.2%,1,0.3%,24
UI Race,10508,16.7%,0,0.0%,0,0.0%,0,0.0%,10508,18.5%,81,5.7%,0,0.0%,25
Unknown Race,604,1.0%,104,5.0%,200,7.1%,50,9.6%,0,0.0%,9,0.6%,1,0.3%,26
