Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3903,50.6%,497,52.8%,649,51.0%,145,50.5%,2577,50.0%,154,53.5%,37,66.1%,1,1922,49.7%
Female,3818,49.4%,445,47.2%,623,49.0%,142,49.5%,2580,50.0%,134,46.5%,19,33.9%,2,1943,50.3%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,390,5.1%,16,1.7%,77,6.1%,8,2.8%,288,5.6%,3,1.0%,0,0.0%,4,192,5.0%
10-19 Years,787,10.2%,75,8.0%,126,9.9%,42,14.6%,531,10.3%,2,0.7%,0,0.0%,5,416,10.8%
20-29 Years,1916,24.8%,263,27.9%,344,27.0%,53,18.5%,1242,24.1%,17,5.9%,0,0.0%,6,943,24.4%
30-39 Years,1461,18.9%,187,19.9%,237,18.6%,56,19.5%,969,18.8%,25,8.7%,2,3.6%,7,764,19.8%
40-49 Years,1051,13.6%,146,15.5%,150,11.8%,45,15.7%,698,13.5%,40,13.9%,4,7.1%,8,522,13.5%
50-59 Years,1000,13.0%,113,12.0%,173,13.6%,37,12.9%,676,13.1%,52,18.1%,6,10.7%,9,499,12.9%
60-69 Years,693,9.0%,96,10.2%,93,7.3%,28,9.8%,472,9.2%,56,19.4%,9,16.1%,10,348,9.0%
70-79 Years,301,3.9%,36,3.8%,44,3.5%,17,5.9%,201,3.9%,58,20.1%,21,37.5%,11,134,3.5%
80+ Years,122,1.6%,10,1.1%,28,2.2%,1,0.3%,80,1.6%,35,12.2%,14,25.0%,12,47,1.2%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,567,7.3%,78,8.3%,128,10.1%,29,10.1%,325,6.3%,15,5.2%,1,1.8%,14,397,10.3%
Non-Hispanic,4001,51.8%,718,76.2%,913,71.8%,212,73.9%,2124,41.2%,227,78.8%,50,89.3%,15,2766,71.6%
UI Ethnicity,2708,35.1%,0,0.0%,0,0.0%,0,0.0%,2708,52.5%,31,10.8%,1,1.8%,16,443,11.5%
Unknown Ethnicity,445,5.8%,146,15.5%,231,18.2%,46,16.0%,0,0.0%,15,5.2%,4,7.1%,17,259,6.7%
White,2381,30.8%,404,42.9%,535,42.1%,186,64.8%,1239,24.0%,81,28.1%,23,41.1%,18,1695,43.9%
Black,330,4.3%,65,6.9%,90,7.1%,18,6.3%,153,3.0%,8,2.8%,2,3.6%,19,195,5.0%
AI/AN,1614,20.9%,232,24.6%,251,19.7%,19,6.6%,1095,21.2%,92,31.9%,19,33.9%,20,755,19.5%
Asian,293,3.8%,32,3.4%,61,4.8%,9,3.1%,189,3.7%,18,6.3%,4,7.1%,21,190,4.9%
NHOPI,361,4.7%,61,6.5%,95,7.5%,2,0.7%,202,3.9%,50,17.4%,7,12.5%,22,226,5.8%
Multiple,344,4.5%,49,5.2%,53,4.2%,10,3.5%,229,4.4%,11,3.8%,0,0.0%,23,182,4.7%
Other,255,3.3%,21,2.2%,32,2.5%,11,3.8%,190,3.7%,11,3.8%,0,0.0%,24,126,3.3%
UI Race,1860,24.1%,0,0.0%,0,0.0%,0,0.0%,1860,36.1%,8,2.8%,0,0.0%,25,317,8.2%
Unknown Race,283,3.7%,78,8.3%,155,12.2%,32,11.1%,0,0.0%,9,3.1%,1,1.8%,26,179,4.6%
