Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,31642,52.1%,1074,52.0%,1337,50.5%,261,51.9%,28503,52.2%,751,55.0%,184,59.5%,1
Female,29066,47.9%,993,48.0%,1310,49.5%,242,48.1%,26085,47.8%,614,45.0%,125,40.5%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4227,7.0%,60,2.9%,235,8.9%,18,3.6%,3873,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7702,12.7%,202,9.8%,340,12.8%,66,13.1%,6995,12.8%,13,1.0%,0,0.0%,5
20-29 Years,12363,20.4%,522,25.3%,584,22.1%,85,16.9%,10994,20.1%,54,4.0%,3,1.0%,6
30-39 Years,11525,19.0%,358,17.3%,429,16.2%,89,17.7%,10501,19.2%,114,8.4%,6,1.9%,7
40-49 Years,8348,13.7%,292,14.1%,313,11.8%,77,15.3%,7552,13.8%,133,9.7%,12,3.9%,8
50-59 Years,7806,12.9%,257,12.4%,341,12.9%,66,13.1%,7038,12.9%,229,16.8%,20,6.5%,9
60-69 Years,5419,8.9%,214,10.4%,191,7.2%,65,12.9%,4826,8.8%,307,22.5%,61,19.7%,10
70-79 Years,2350,3.9%,106,5.1%,119,4.5%,33,6.6%,2031,3.7%,288,21.1%,95,30.7%,11
80+ Years,983,1.6%,56,2.7%,95,3.6%,4,0.8%,793,1.5%,213,15.6%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3199,5.3%,138,6.7%,217,8.2%,53,10.5%,2761,5.1%,71,5.2%,13,4.2%,14
Non-Hispanic,32781,54.0%,1655,80.1%,2055,77.6%,384,76.3%,28316,51.9%,1034,75.8%,290,93.9%,15
UI Ethnicity,23526,38.7%,0,0.0%,0,0.0%,0,0.0%,23526,43.1%,240,17.6%,4,1.3%,16
Unknown Ethnicity,1217,2.0%,274,13.3%,375,14.2%,66,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,20043,33.0%,865,41.8%,1052,39.7%,301,59.8%,17590,32.2%,480,35.2%,131,42.4%,18
Black,1495,2.5%,96,4.6%,131,4.9%,21,4.2%,1230,2.3%,50,3.7%,10,3.2%,19
AI/AN,12929,21.3%,686,33.2%,761,28.7%,72,14.3%,11210,20.5%,370,27.1%,113,36.6%,20
Asian,2448,4.0%,92,4.5%,163,6.2%,20,4.0%,2143,3.9%,119,8.7%,30,9.7%,21
NHOPI,1606,2.6%,80,3.9%,160,6.0%,4,0.8%,1353,2.5%,131,9.6%,17,5.5%,22
Multiple,4656,7.7%,88,4.3%,112,4.2%,19,3.8%,4402,8.1%,70,5.1%,5,1.6%,23
Other,7229,11.9%,56,2.7%,72,2.7%,19,3.8%,6941,12.7%,59,4.3%,1,0.3%,24
UI Race,9734,16.0%,0,0.0%,0,0.0%,0,0.0%,9734,17.8%,77,5.6%,1,0.3%,25
Unknown Race,583,1.0%,104,5.0%,196,7.4%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
