ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1461,48.9%,241,48.6%,338,49.0%,105,55.0%,763,48.1%,60.2%,60.9%,80,14,452,50.3%
2,Female,1528,51.1%,255,51.4%,352,51.0%,86,45.0%,821,51.8%,39.8%,39.1%,53,9,446,49.7%
3,Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,139,4.6%,9,1.8%,46,6.7%,3,1.6%,81,5.1%,0.0%,0.0%,0,0,38,4.2%
5,10-19 Years,297,9.9%,40,8.1%,56,8.1%,20,10.5%,173,10.9%,0.8%,0.0%,1,0,82,9.1%
6,20-29 Years,736,24.6%,123,24.8%,169,24.5%,30,15.7%,406,25.6%,6.8%,0.0%,9,0,200,22.3%
7,30-39 Years,569,19.0%,99,20.0%,129,18.7%,37,19.4%,299,18.9%,11.3%,8.7%,15,2,180,20.0%
8,40-49 Years,408,13.6%,79,15.9%,86,12.5%,36,18.8%,204,12.9%,9.0%,4.3%,12,1,133,14.8%
9,50-59 Years,386,12.9%,65,13.1%,107,15.5%,26,13.6%,187,11.8%,19.5%,8.7%,26,2,127,14.1%
10,60-69 Years,281,9.4%,48,9.7%,64,9.3%,24,12.6%,143,9.0%,19.5%,13.0%,26,3,93,10.4%
11,70-79 Years,131,4.4%,26,5.2%,23,3.3%,14,7.3%,68,4.3%,23.3%,47.8%,31,11,38,4.2%
12,80+ Years,43,1.4%,7,1.4%,10,1.4%,1,0.5%,24,1.5%,9.8%,17.4%,13,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,153,5.1%,39,7.9%,60,8.7%,23,12.0%,29,1.8%,5.3%,0.0%,7,0,89,9.9%
15,Non-Hispanic,1278,42.7%,399,80.4%,500,72.5%,145,75.9%,221,13.9%,79.7%,100.0%,106,23,735,81.8%
16,UI Ethnicity,1335,44.6%,0,0.0%,0,0.0%,0,0.0%,1335,84.2%,12.0%,0.0%,16,0,2,0.2%
17,Unknown Ethnicity,224,7.5%,58,11.7%,130,18.8%,23,12.0%,0,0.0%,3.0%,0.0%,4,0,72,8.0%
18,White,874,29.2%,245,49.4%,337,48.8%,134,70.2%,154,9.7%,36.8%,47.8%,49,11,516,57.5%
19,Black,87,2.9%,30,6.0%,17,2.5%,12,6.3%,26,1.6%,3.0%,0.0%,4,0,31,3.5%
20,AI/AN,402,13.4%,109,22.0%,113,16.4%,9,4.7%,165,10.4%,24.8%,34.8%,33,8,133,14.8%
21,Asian,87,2.9%,20,4.0%,46,6.7%,7,3.7%,13,0.8%,7.5%,8.7%,10,2,61,6.8%
22,NHOPI,115,3.8%,28,5.6%,41,5.9%,1,0.5%,45,2.8%,15.0%,8.7%,20,2,34,3.8%
23,Multiple,74,2.5%,17,3.4%,28,4.1%,8,4.2%,20,1.3%,0.0%,0.0%,0,0,38,4.2%
24,Other,50,1.7%,9,1.8%,16,2.3%,8,4.2%,16,1.0%,3.0%,0.0%,4,0,25,2.8%
25,UI Race,1146,38.3%,0,0.0%,0,0.0%,0,0.0%,1146,72.3%,6.8%,0.0%,9,0,4,0.4%
26,Unknown Race,155,5.2%,38,7.7%,92,13.3%,12,6.3%,0,0.0%,3.0%,0.0%,4,0,56,6.2%
