Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30322,52.0%,969,51.8%,1207,51.0%,242,53.1%,27474,52.1%,713,55.1%,180,59.6%,1
Female,27918,47.9%,903,48.2%,1159,49.0%,214,46.9%,25262,47.9%,581,44.9%,122,40.4%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.0%,0,0.0%,0,0.0%,3
<10 Years,4005,6.9%,42,2.2%,177,7.5%,15,3.3%,3741,7.1%,13,1.0%,0,0.0%,4
10-19 Years,7253,12.4%,161,8.6%,280,11.8%,65,14.3%,6657,12.6%,10,0.8%,0,0.0%,5
20-29 Years,11888,20.4%,479,25.6%,554,23.4%,80,17.5%,10615,20.1%,51,3.9%,3,1.0%,6
30-39 Years,11053,19.0%,321,17.1%,399,16.9%,86,18.9%,10109,19.2%,104,8.0%,6,2.0%,7
40-49 Years,8020,13.8%,278,14.9%,287,12.1%,70,15.4%,7287,13.8%,121,9.4%,12,4.0%,8
50-59 Years,7510,12.9%,238,12.7%,300,12.7%,61,13.4%,6815,12.9%,214,16.5%,20,6.6%,9
60-69 Years,5282,9.1%,201,10.7%,169,7.1%,53,11.6%,4750,9.0%,291,22.5%,59,19.5%,10
70-79 Years,2286,3.9%,97,5.2%,114,4.8%,24,5.3%,1995,3.8%,281,21.7%,93,30.8%,11
80+ Years,961,1.6%,55,2.9%,86,3.6%,2,0.4%,785,1.5%,209,16.2%,109,36.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3144,5.4%,139,7.4%,207,8.7%,50,11.0%,2719,5.2%,68,5.3%,13,4.3%,14
Non-Hispanic,31869,54.7%,1483,79.2%,1828,77.3%,348,76.3%,27899,52.9%,998,77.1%,283,93.7%,15
UI Ethnicity,22136,38.0%,0,0.0%,0,0.0%,0,0.0%,22136,42.0%,208,16.1%,4,1.3%,16
Unknown Ethnicity,1109,1.9%,250,13.4%,331,14.0%,58,12.7%,0,0.0%,20,1.5%,2,0.7%,17
White,19292,33.1%,833,44.5%,1004,42.4%,283,62.1%,16951,32.1%,456,35.2%,127,42.1%,18
Black,1461,2.5%,96,5.1%,121,5.1%,21,4.6%,1206,2.3%,46,3.6%,9,3.0%,19
AI/AN,12516,21.5%,529,28.3%,599,25.3%,53,11.6%,11199,21.2%,347,26.8%,111,36.8%,20
Asian,2374,4.1%,90,4.8%,139,5.9%,20,4.4%,2098,4.0%,118,9.1%,30,9.9%,21
NHOPI,1566,2.7%,80,4.3%,152,6.4%,4,0.9%,1321,2.5%,129,10.0%,17,5.6%,22
Multiple,4526,7.8%,87,4.6%,104,4.4%,15,3.3%,4289,8.1%,68,5.3%,5,1.7%,23
Other,7043,12.1%,56,3.0%,65,2.7%,18,3.9%,6763,12.8%,57,4.4%,1,0.3%,24
UI Race,8927,15.3%,0,0.0%,0,0.0%,0,0.0%,8927,16.9%,64,4.9%,1,0.3%,25
Unknown Race,553,0.9%,101,5.4%,182,7.7%,42,9.2%,0,0.0%,9,0.7%,1,0.3%,26
