Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32660,52.1%,1079,51.7%,1400,50.1%,270,52.3%,29421,52.2%,769,54.8%,185,59.7%,1
Female,30005,47.9%,1007,48.3%,1397,49.9%,246,47.7%,26891,47.7%,635,45.2%,125,40.3%,2
Unknown Sex,16,0.0%,0,0.0%,0,0.0%,0,0.0%,16,0.0%,0,0.0%,0,0.0%,3
<10 Years,4476,7.1%,63,3.0%,257,9.2%,18,3.5%,4094,7.3%,15,1.1%,0,0.0%,4
10-19 Years,8064,12.9%,206,9.9%,372,13.3%,69,13.4%,7314,13.0%,14,1.0%,0,0.0%,5
20-29 Years,12748,20.3%,529,25.4%,600,21.5%,86,16.7%,11341,20.1%,58,4.1%,3,1.0%,6
30-39 Years,11874,18.9%,361,17.3%,456,16.3%,90,17.4%,10814,19.2%,117,8.3%,6,1.9%,7
40-49 Years,8575,13.7%,293,14.0%,325,11.6%,78,15.1%,7761,13.8%,140,10.0%,12,3.9%,8
50-59 Years,8020,12.8%,258,12.4%,355,12.7%,68,13.2%,7226,12.8%,237,16.9%,20,6.5%,9
60-69 Years,5544,8.8%,217,10.4%,203,7.3%,68,13.2%,4924,8.7%,318,22.6%,61,19.7%,10
70-79 Years,2387,3.8%,103,4.9%,129,4.6%,35,6.8%,2056,3.7%,291,20.7%,95,30.6%,11
80+ Years,993,1.6%,56,2.7%,100,3.6%,4,0.8%,798,1.4%,214,15.2%,113,36.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3244,5.2%,136,6.5%,220,7.9%,55,10.7%,2799,5.0%,73,5.2%,13,4.2%,14
Non-Hispanic,33516,53.5%,1671,80.1%,2195,78.5%,393,76.2%,28862,51.2%,1061,75.6%,291,93.9%,15
UI Ethnicity,24667,39.4%,0,0.0%,0,0.0%,0,0.0%,24667,43.8%,249,17.7%,4,1.3%,16
Unknown Ethnicity,1254,2.0%,279,13.4%,382,13.7%,68,13.2%,0,0.0%,21,1.5%,2,0.6%,17
White,20715,33.0%,865,41.5%,1096,39.2%,306,59.3%,18194,32.3%,499,35.5%,132,42.6%,18
Black,1524,2.4%,96,4.6%,132,4.7%,22,4.3%,1257,2.2%,50,3.6%,10,3.2%,19
AI/AN,13223,21.1%,705,33.8%,852,30.5%,74,14.3%,11378,20.2%,378,26.9%,113,36.5%,20
Asian,2475,3.9%,94,4.5%,166,5.9%,21,4.1%,2163,3.8%,121,8.6%,31,10.0%,21
NHOPI,1635,2.6%,80,3.8%,160,5.7%,4,0.8%,1382,2.5%,132,9.4%,17,5.5%,22
Multiple,4768,7.6%,87,4.2%,118,4.2%,19,3.7%,4507,8.0%,75,5.3%,5,1.6%,23
Other,7379,11.8%,55,2.6%,75,2.7%,20,3.9%,7087,12.6%,60,4.3%,1,0.3%,24
UI Race,10360,16.5%,0,0.0%,0,0.0%,0,0.0%,10360,18.4%,80,5.7%,0,0.0%,25
Unknown Race,602,1.0%,104,5.0%,198,7.1%,50,9.7%,0,0.0%,9,0.6%,1,0.3%,26
