DateUpdated,AgeGroups,Total cases,Confirmed cases,Probable cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
10/05/2020,0-9,1303,1264,39,344,1,1,0
10/05/2020,10-19,3292,3148,144,716,1,1,0
10/05/2020,20-29,8651,8334,317,1856,4,4,0
10/05/2020,30-39,8727,8485,242,1982,21,21,0
10/05/2020,40-49,8169,7931,238,1855,60,48,12
10/05/2020,50-59,9475,9189,286,1790,186,155,31
10/05/2020,60-69,7458,7236,222,1724,559,475,84
10/05/2020,70-79,4854,4609,245,1862,985,814,171
10/05/2020,80 and older,7285,6614,671,4438,2704,2104,600
10/06/2020,0-9,1305,1266,39,344,1,1,0
10/06/2020,10-19,3319,3176,143,722,1,1,0
10/06/2020,20-29,8708,8390,318,1869,4,4,0
10/06/2020,30-39,8729,8492,237,1982,21,21,0
10/06/2020,40-49,8200,7960,240,1862,60,48,12
10/06/2020,50-59,9500,9216,284,1794,189,157,32
10/06/2020,60-69,7449,7227,222,1722,558,474,84
10/06/2020,70-79,4864,4618,246,1866,985,815,170
10/06/2020,80 and older,7263,6594,669,4424,2703,2103,600
10/07/2020,0-9,1322,1284,38,349,1,1,0
10/07/2020,10-19,3376,3231,145,734,1,1,0
10/07/2020,20-29,8787,8468,319,1885,4,4,0
10/07/2020,30-39,8793,8551,242,1997,21,21,0
10/07/2020,40-49,8261,8019,242,1876,60,48,12
10/07/2020,50-59,9553,9269,284,1804,189,157,32
10/07/2020,60-69,7479,7255,224,1729,558,474,84
10/07/2020,70-79,4876,4631,245,1871,988,818,170
10/07/2020,80 and older,7273,6604,669,4430,2705,2105,600
10/08/2020,0-9,1337,1298,39,353,1,1,0
10/08/2020,10-19,3418,3269,149,743,1,1,0
10/08/2020,20-29,8844,8522,322,1898,4,4,0
10/08/2020,30-39,8839,8591,248,2007,21,21,0
10/08/2020,40-49,8300,8052,248,1884,60,48,12
10/08/2020,50-59,9592,9307,285,1812,189,157,32
10/08/2020,60-69,7497,7272,225,1733,558,474,84
10/08/2020,70-79,4893,4648,245,1877,988,818,170
10/08/2020,80 and older,7291,6620,671,4441,2708,2107,601
10/11/2020,0-9,1410,1372,38,372,1,1,0
10/11/2020,10-19,3585,3432,153,780,1,1,0
10/11/2020,20-29,9198,8860,338,1974,4,4,0
10/11/2020,30-39,9041,8796,245,2053,21,21,0
10/11/2020,40-49,8467,8224,243,1922,60,48,12
10/11/2020,50-59,9756,9469,287,1843,189,157,32
10/11/2020,60-69,7606,7380,226,1758,558,474,84
10/11/2020,70-79,4942,4696,246,1896,989,819,170
10/11/2020,80 and older,7342,6672,670,4472,2709,2108,601
10/12/2020,0-9,1429,1391,38,377,1,1,0
10/12/2020,10-19,3618,3464,154,787,1,1,0
10/12/2020,20-29,9268,8930,338,1989,4,4,0
10/12/2020,30-39,9089,8844,245,2064,21,21,0
10/12/2020,40-49,8517,8273,244,1934,60,48,12
10/12/2020,50-59,9805,9518,287,1852,189,157,32
10/12/2020,60-69,7632,7404,228,1764,558,474,84
10/12/2020,70-79,4958,4712,246,1902,989,819,170
10/12/2020,80 and older,7350,6679,671,4477,2710,2109,601
10/13/2020,0-9,1432,1393,39,378,1,1,0
10/13/2020,10-19,3631,3475,156,790,1,1,0
10/13/2020,20-29,9297,8958,339,1995,4,4,0
10/13/2020,30-39,9117,8868,249,2070,21,21,0
10/13/2020,40-49,8535,8289,246,1938,60,48,12
10/13/2020,50-59,9835,9545,290,1858,189,157,32
10/13/2020,60-69,7655,7424,231,1769,560,476,84
10/13/2020,70-79,4969,4722,247,1906,991,820,171
10/13/2020,80 and older,7359,6688,671,4483,2710,2109,601
10/14/2020,0-9,1441,1402,39,380,1,1,0
10/14/2020,10-19,3655,3497,158,795,1,1,0
10/14/2020,20-29,9329,8983,346,2002,4,4,0
10/14/2020,30-39,9147,8889,258,2077,21,21,0
10/14/2020,40-49,8555,8304,251,1942,60,48,12
10/14/2020,50-59,9850,9558,292,1860,189,157,32
10/14/2020,60-69,7666,7435,231,1772,560,476,84
10/14/2020,70-79,4977,4727,250,1910,992,821,171
10/14/2020,80 and older,7377,6706,671,4494,2712,2111,601
10/15/2020,0-9,1478,1439,39,390,1,1,0
10/15/2020,10-19,3739,3578,161,813,1,1,0
10/15/2020,20-29,9485,9136,349,2035,4,4,0
10/15/2020,30-39,9292,9031,261,2110,21,21,0
10/15/2020,40-49,8681,8430,251,1971,60,48,12
10/15/2020,50-59,9961,9665,296,1881,189,157,32
10/15/2020,60-69,7749,7515,234,1791,560,476,84
10/15/2020,70-79,5004,4754,250,1920,992,821,171
10/15/2020,80 and older,7411,6739,672,4514,2714,2112,602
10/18/2020,0-9,1537,1495,42,405,1,1,0
10/18/2020,10-19,3895,3728,167,847,1,1,0
10/18/2020,20-29,9752,9391,361,2093,4,4,0
10/18/2020,30-39,9492,9215,277,2156,21,21,0
10/18/2020,40-49,8830,8573,257,2005,60,48,12
10/18/2020,50-59,10129,9819,310,1913,189,157,32
10/18/2020,60-69,7856,7622,234,1816,563,479,84
10/18/2020,70-79,5049,4798,251,1937,996,825,171
10/18/2020,80 and older,7451,6778,673,4539,2719,2116,603
10/19/2020,0-9,1559,1517,42,411,1,1,0
10/19/2020,10-19,3935,3768,167,856,1,1,0
10/19/2020,20-29,9835,9468,367,2110,4,4,0
10/19/2020,30-39,9557,9283,274,2170,21,21,0
10/19/2020,40-49,8893,8631,262,2019,59,47,12
10/19/2020,50-59,10194,9883,311,1925,190,158,32
10/19/2020,60-69,7906,7669,237,1827,563,479,84
10/19/2020,70-79,5076,4827,249,1948,999,828,171
10/19/2020,80 and older,7470,6795,675,4550,2721,2119,602
10/20/2020,0-9,1582,1539,43,417,1,1,0
10/20/2020,10-19,3977,3808,169,865,1,1,0
10/20/2020,20-29,9920,9554,366,2129,4,4,0
10/20/2020,30-39,9642,9361,281,2190,21,21,0
10/20/2020,40-49,8959,8690,269,2034,60,48,12
10/20/2020,50-59,10246,9936,310,1935,191,159,32
10/20/2020,60-69,7936,7697,239,1834,563,479,84
10/20/2020,70-79,5092,4842,250,1954,1000,829,171
10/20/2020,80 and older,7487,6812,675,4561,2726,2124,602
10/21/2020,0-9,1605,1558,47,423,1,1,0
10/21/2020,10-19,4043,3883,160,879,1,1,0
10/21/2020,20-29,10035,9667,368,2153,4,4,0
10/21/2020,30-39,9722,9437,285,2208,21,21,0
10/21/2020,40-49,9024,8748,276,2049,60,48,12
10/21/2020,50-59,10317,9999,318,1949,191,159,32
10/21/2020,60-69,7984,7742,242,1845,563,479,84
10/21/2020,70-79,5112,4859,253,1961,1002,830,172
10/21/2020,80 and older,7506,6831,675,4572,2726,2124,602
10/22/2020,0-9,1647,1600,47,434,1,1,0
10/22/2020,10-19,4115,3953,162,895,1,1,0
10/22/2020,20-29,10186,9804,382,2186,4,4,0
10/22/2020,30-39,9860,9560,300,2239,21,21,0
10/22/2020,40-49,9114,8832,282,2069,60,48,12
10/22/2020,50-59,10412,10090,322,1967,191,159,32
10/22/2020,60-69,8037,7794,243,1858,563,479,84
10/22/2020,70-79,5130,4876,254,1968,1003,831,172
10/22/2020,80 and older,7526,6848,678,4584,2733,2130,603
10/25/2020,0-9,1779,1725,54,469,1,1,0
10/25/2020,10-19,4345,4178,167,945,1,1,0
10/25/2020,20-29,10598,10221,377,2274,4,4,0
10/25/2020,30-39,10198,9903,295,2316,21,21,0
10/25/2020,40-49,9395,9117,278,2133,60,48,12
10/25/2020,50-59,10702,10378,324,2021,190,158,32
10/25/2020,60-69,8236,7993,243,1904,564,480,84
10/25/2020,70-79,5230,4977,253,2007,1005,833,172
10/25/2020,80 and older,7591,6910,681,4624,2743,2137,606
10/26/2020,0-9,1801,1742,59,475,1,1,0
10/26/2020,10-19,4397,4225,172,956,1,1,0
10/26/2020,20-29,10712,10322,390,2299,4,4,0
10/26/2020,30-39,10300,9994,306,2339,21,21,0
10/26/2020,40-49,9465,9176,289,2149,60,48,12
10/26/2020,50-59,10779,10449,330,2036,191,159,32
10/26/2020,60-69,8296,8050,246,1917,565,481,84
10/26/2020,70-79,5255,5001,254,2016,1006,835,171
10/26/2020,80 and older,7607,6923,684,4634,2746,2137,609
10/27/2020,0-9,1834,1774,60,484,1,1,0
10/27/2020,10-19,4442,4267,175,966,1,1,0
10/27/2020,20-29,10782,10386,396,2314,4,4,0
10/27/2020,30-39,10389,10072,317,2359,21,21,0
10/27/2020,40-49,9537,9243,294,2165,60,48,12
10/27/2020,50-59,10858,10522,336,2051,191,159,32
10/27/2020,60-69,8347,8099,248,1929,567,483,84
10/27/2020,70-79,5276,5021,255,2024,1009,838,171
10/27/2020,80 and older,7637,6954,683,4652,2750,2142,608
10/28/2020,0-9,1913,1817,96,505,1,1,0
10/28/2020,10-19,4610,4329,281,1003,1,1,0
10/28/2020,20-29,11098,10506,592,2381,4,4,0
10/28/2020,30-39,10624,10153,471,2413,22,22,0
10/28/2020,40-49,9736,9324,412,2211,60,48,12
10/28/2020,50-59,11039,10599,440,2085,191,159,32
10/28/2020,60-69,8422,8134,288,1947,568,484,84
10/28/2020,70-79,5317,5044,273,2040,1009,838,171
10/28/2020,80 and older,7662,6971,691,4667,2753,2145,608
10/29/2020,0-9,1944,1846,98,513,1,1,0
10/29/2020,10-19,4688,4393,295,1020,1,1,0
10/29/2020,20-29,11278,10652,626,2420,4,4,0
10/29/2020,30-39,10750,10246,504,2441,22,22,0
10/29/2020,40-49,9832,9409,423,2232,60,48,12
