Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32151,52.1%,1071,51.9%,1383,50.2%,264,52.1%,28959,52.2%,763,55.2%,184,59.5%,1
Female,29532,47.9%,991,48.1%,1371,49.8%,243,47.9%,26487,47.8%,619,44.8%,125,40.5%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,4336,7.0%,62,3.0%,247,9.0%,18,3.6%,3968,7.2%,15,1.1%,0,0.0%,4
10-19 Years,7883,12.8%,204,9.9%,360,13.1%,66,13.0%,7153,12.9%,14,1.0%,0,0.0%,5
20-29 Years,12569,20.4%,521,25.3%,599,21.8%,85,16.8%,11184,20.2%,56,4.1%,3,1.0%,6
30-39 Years,11691,18.9%,358,17.4%,447,16.2%,90,17.8%,10648,19.2%,116,8.4%,6,1.9%,7
40-49 Years,8465,13.7%,292,14.2%,323,11.7%,78,15.4%,7658,13.8%,137,9.9%,12,3.9%,8
50-59 Years,7915,12.8%,255,12.4%,353,12.8%,67,13.2%,7133,12.9%,232,16.8%,20,6.5%,9
60-69 Years,5477,8.9%,214,10.4%,201,7.3%,66,13.0%,4870,8.8%,309,22.4%,61,19.7%,10
70-79 Years,2372,3.8%,101,4.9%,125,4.5%,33,6.5%,2050,3.7%,290,21.0%,95,30.7%,11
80+ Years,987,1.6%,55,2.7%,99,3.6%,4,0.8%,794,1.4%,213,15.4%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3225,5.2%,136,6.6%,219,8.0%,53,10.5%,2785,5.0%,72,5.2%,13,4.2%,14
Non-Hispanic,33101,53.7%,1652,80.1%,2157,78.3%,388,76.5%,28523,51.4%,1047,75.8%,290,93.9%,15
UI Ethnicity,24150,39.1%,0,0.0%,0,0.0%,0,0.0%,24150,43.5%,243,17.6%,4,1.3%,16
Unknown Ethnicity,1219,2.0%,274,13.3%,378,13.7%,66,13.0%,0,0.0%,20,1.4%,2,0.6%,17
White,20366,33.0%,852,41.3%,1085,39.4%,303,59.8%,17887,32.3%,488,35.3%,131,42.4%,18
Black,1509,2.4%,96,4.7%,132,4.8%,21,4.1%,1243,2.2%,50,3.6%,10,3.2%,19
AI/AN,13055,21.2%,696,33.8%,823,29.9%,74,14.6%,11254,20.3%,374,27.1%,113,36.6%,20
Asian,2460,4.0%,93,4.5%,166,6.0%,20,3.9%,2151,3.9%,120,8.7%,30,9.7%,21
NHOPI,1617,2.6%,80,3.9%,160,5.8%,4,0.8%,1364,2.5%,132,9.6%,17,5.5%,22
Multiple,4718,7.6%,87,4.2%,116,4.2%,19,3.7%,4461,8.0%,73,5.3%,5,1.6%,23
Other,7327,11.9%,55,2.7%,75,2.7%,19,3.7%,7037,12.7%,59,4.3%,1,0.3%,24
UI Race,10061,16.3%,0,0.0%,0,0.0%,0,0.0%,10061,18.1%,77,5.6%,1,0.3%,25
Unknown Race,582,0.9%,103,5.0%,197,7.2%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
