Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32005,52.1%,1082,52.0%,1358,50.4%,262,51.9%,28834,52.2%,756,55.2%,184,59.5%,1
Female,29381,47.9%,999,48.0%,1338,49.6%,243,48.1%,26362,47.7%,614,44.8%,125,40.5%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4300,7.0%,63,3.0%,243,9.0%,18,3.6%,3936,7.1%,15,1.1%,0,0.0%,4
10-19 Years,7827,12.7%,204,9.8%,349,12.9%,66,13.1%,7108,12.9%,13,0.9%,0,0.0%,5
20-29 Years,12517,20.4%,528,25.4%,589,21.8%,85,16.8%,11137,20.2%,55,4.0%,3,1.0%,6
30-39 Years,11640,19.0%,359,17.3%,438,16.2%,90,17.8%,10605,19.2%,114,8.3%,6,1.9%,7
40-49 Years,8434,13.7%,293,14.1%,319,11.8%,78,15.4%,7630,13.8%,134,9.8%,12,3.9%,8
50-59 Years,7882,12.8%,258,12.4%,346,12.8%,66,13.1%,7106,12.9%,230,16.8%,20,6.5%,9
60-69 Years,5453,8.9%,214,10.3%,196,7.3%,65,12.9%,4853,8.8%,307,22.4%,61,19.7%,10
70-79 Years,2362,3.8%,106,5.1%,119,4.4%,33,6.5%,2042,3.7%,289,21.1%,95,30.7%,11
80+ Years,986,1.6%,56,2.7%,97,3.6%,4,0.8%,794,1.4%,213,15.5%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3218,5.2%,138,6.6%,217,8.0%,53,10.5%,2778,5.0%,71,5.2%,13,4.2%,14
Non-Hispanic,32965,53.7%,1669,80.2%,2103,78.0%,386,76.4%,28432,51.5%,1037,75.7%,290,93.9%,15
UI Ethnicity,24001,39.1%,0,0.0%,0,0.0%,0,0.0%,24001,43.5%,242,17.7%,4,1.3%,16
Unknown Ethnicity,1217,2.0%,274,13.2%,376,13.9%,66,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,20239,33.0%,868,41.7%,1057,39.2%,302,59.8%,17775,32.2%,482,35.2%,131,42.4%,18
Black,1506,2.5%,96,4.6%,132,4.9%,21,4.2%,1240,2.2%,50,3.6%,10,3.2%,19
AI/AN,13009,21.2%,694,33.3%,801,29.7%,73,14.5%,11237,20.4%,371,27.1%,113,36.6%,20
Asian,2457,4.0%,92,4.4%,165,6.1%,20,4.0%,2150,3.9%,119,8.7%,30,9.7%,21
NHOPI,1614,2.6%,80,3.8%,160,5.9%,4,0.8%,1361,2.5%,132,9.6%,17,5.5%,22
Multiple,4701,7.7%,90,4.3%,113,4.2%,19,3.8%,4444,8.0%,71,5.2%,5,1.6%,23
Other,7305,11.9%,57,2.7%,72,2.7%,19,3.8%,7016,12.7%,59,4.3%,1,0.3%,24
UI Race,9988,16.3%,0,0.0%,0,0.0%,0,0.0%,9988,18.1%,77,5.6%,1,0.3%,25
Unknown Race,582,0.9%,104,5.0%,196,7.3%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
