Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4448,50.1%,534,52.4%,686,50.7%,162,51.6%,3025,49.4%,165,53.2%,39,66.1%,1,2494,49.9%
Female,4430,49.9%,486,47.6%,667,49.3%,152,48.4%,3094,50.6%,145,46.8%,20,33.9%,2,2509,50.1%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,464,5.2%,21,2.1%,85,6.3%,8,2.5%,347,5.7%,3,1.0%,0,0.0%,4,245,4.9%
10-19 Years,922,10.4%,87,8.5%,138,10.2%,44,14.0%,640,10.5%,2,0.6%,0,0.0%,5,530,10.6%
20-29 Years,2176,24.5%,281,27.5%,361,26.7%,54,17.2%,1463,23.9%,17,5.5%,0,0.0%,6,1208,24.1%
30-39 Years,1683,19.0%,200,19.6%,253,18.7%,65,20.7%,1152,18.8%,26,8.4%,2,3.4%,7,990,19.8%
40-49 Years,1190,13.4%,154,15.1%,158,11.7%,51,16.2%,814,13.3%,42,13.5%,4,6.8%,8,662,13.2%
50-59 Years,1145,12.9%,121,11.9%,186,13.7%,41,13.1%,795,13.0%,56,18.1%,6,10.2%,9,645,12.9%
60-69 Years,802,9.0%,106,10.4%,97,7.2%,31,9.9%,563,9.2%,62,20.0%,11,18.6%,10,468,9.4%
70-79 Years,352,4.0%,39,3.8%,47,3.5%,19,6.1%,244,4.0%,66,21.3%,22,37.3%,11,189,3.8%
80+ Years,144,1.6%,11,1.1%,28,2.1%,1,0.3%,101,1.7%,36,11.6%,14,23.7%,12,66,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,713,8.0%,85,8.3%,135,10.0%,34,10.8%,452,7.4%,19,6.1%,1,1.7%,14,515,10.3%
Non-Hispanic,5162,58.1%,774,75.9%,998,73.8%,238,75.8%,3113,50.9%,248,80.0%,52,88.1%,15,3806,76.1%
UI Ethnicity,2554,28.8%,0,0.0%,0,0.0%,0,0.0%,2554,41.7%,26,8.4%,1,1.7%,16,415,8.3%
Unknown Ethnicity,449,5.1%,161,15.8%,220,16.3%,42,13.4%,0,0.0%,17,5.5%,5,8.5%,17,267,5.3%
White,2977,33.5%,424,41.6%,564,41.7%,193,61.5%,1776,29.0%,87,28.1%,24,40.7%,18,2220,44.4%
Black,385,4.3%,68,6.7%,95,7.0%,18,5.7%,200,3.3%,9,2.9%,2,3.4%,19,250,5.0%
AI/AN,2007,22.6%,278,27.3%,297,22.0%,31,9.9%,1381,22.6%,98,31.6%,21,35.6%,20,1081,21.6%
Asian,403,4.5%,36,3.5%,67,5.0%,16,5.1%,283,4.6%,22,7.1%,4,6.8%,21,266,5.3%
NHOPI,466,5.2%,64,6.3%,107,7.9%,3,1.0%,291,4.8%,51,16.5%,7,11.9%,22,341,6.8%
Multiple,379,4.3%,53,5.2%,52,3.8%,11,3.5%,260,4.2%,11,3.5%,0,0.0%,23,235,4.7%
Other,315,3.5%,24,2.4%,38,2.8%,12,3.8%,240,3.9%,11,3.5%,0,0.0%,24,166,3.3%
UI Race,1688,19.0%,0,0.0%,0,0.0%,0,0.0%,1688,27.6%,12,3.9%,0,0.0%,25,277,5.5%
Unknown Race,258,2.9%,73,7.2%,133,9.8%,30,9.6%,0,0.0%,9,2.9%,1,1.7%,26,167,3.3%
