,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=333,163",,"N=24,482",,"N=2,840",,"N=1,120",
Female,176349,55%,13406,55%,1361,48%,593,53%
Male,142095,45%,10930,45%,1466,52%,527,47%
Other,77,<1%,73,<1%,10,<1%,0,0%
Pending further information,14642,--,73,--,<5,--,0,--
Age Group,,,,,,,,
0-4,7247,2%,413,2%,25,1%,0,0%
5-9,6861,2%,417,2%,11,<1%,0,0%
10-14,7103,2%,495,2%,16,1%,<5,--
15-18,14726,4%,918,4%,23,1%,0,0%
19-24,42429,13%,2779,11%,80,3%,<5,--
25-29,29822,9%,2195,9%,96,3%,<5,--
30-39,52214,16%,3901,16%,222,8%,7,1%
40-49,42079,13%,3496,14%,316,11%,16,1%
50-59,49800,15%,3518,14%,442,16%,50,4%
60-69,40851,12%,2461,10%,554,20%,118,11%
70-79,22455,7%,1597,7%,527,19%,263,23%
80-89,11684,4%,1372,6%,366,13%,360,32%
90+,5595,2%,917,4%,159,6%,301,27%
Pending further information,297,--,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,25821,21%,9271,45%,867,36%,108,12%
American Indian or Alaska Native*,1158,1%,76,<1%,<5,--,<5,--
Asian*,2924,2%,396,2%,42,2%,13,1%
Black or African American*,9445,8%,2555,12%,296,12%,56,6%
Native Hawaiian or Other Pacific Islander*,258,<1%,0,0%,0,0%,0,0%
White*,71641,59%,7958,38%,1121,47%,740,81%
Other race*,10303,8%,323,2%,45,2%,0,0%
Multiple race*,122,<1%,178,1%,7,<1%,0,--
Declined,2351,--,214,--,9,--,0,--
Unknown or pending further information,209140,--,3511,--,449,--,202,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,10/7/2020,,,,,,,
