Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27186,51.9%,868,52.0%,1075,51.4%,224,52.7%,24636,51.9%,651,55.3%,158,60.8%,1
Female,25148,48.1%,802,48.0%,1017,48.6%,201,47.3%,22788,48.1%,527,44.7%,102,39.2%,2
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3
<10 Years,3429,6.6%,38,2.3%,149,7.1%,14,3.3%,3203,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6248,11.9%,142,8.5%,256,12.2%,62,14.6%,5714,12.0%,9,0.8%,0,0.0%,5
20-29 Years,10855,20.7%,434,26.0%,506,24.2%,70,16.5%,9698,20.4%,52,4.4%,3,1.2%,6
30-39 Years,9966,19.0%,289,17.3%,362,17.3%,81,19.1%,9101,19.2%,92,7.8%,6,2.3%,7
40-49 Years,7226,13.8%,247,14.8%,253,12.1%,68,16.0%,6572,13.9%,107,9.1%,10,3.8%,8
50-59 Years,6771,12.9%,210,12.6%,262,12.5%,59,13.9%,6155,13.0%,193,16.4%,18,6.9%,9
60-69 Years,4825,9.2%,178,10.7%,151,7.2%,48,11.3%,4350,9.2%,262,22.2%,52,20.0%,10
70-79 Years,2117,4.0%,86,5.1%,91,4.3%,21,4.9%,1869,3.9%,263,22.3%,83,31.9%,11
80+ Years,898,1.7%,46,2.8%,62,3.0%,2,0.5%,763,1.6%,190,16.1%,88,33.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2784,5.3%,126,7.5%,185,8.8%,44,10.4%,2402,5.1%,61,5.2%,11,4.2%,14
Non-Hispanic,27178,51.9%,1319,79.0%,1614,77.2%,327,76.9%,23654,49.9%,888,75.4%,242,93.1%,15
UI Ethnicity,21369,40.8%,0,0.0%,0,0.0%,0,0.0%,21369,45.1%,210,17.8%,7,2.7%,16
Unknown Ethnicity,1004,1.9%,225,13.5%,293,14.0%,54,12.7%,0,0.0%,19,1.6%,0,0.0%,17
White,16207,31.0%,738,44.2%,877,41.9%,261,61.4%,14136,29.8%,390,33.1%,105,40.4%,18
Black,1313,2.5%,94,5.6%,116,5.5%,21,4.9%,1067,2.2%,46,3.9%,9,3.5%,19
AI/AN,11313,21.6%,466,27.9%,539,25.8%,51,12.0%,10141,21.4%,319,27.1%,100,38.5%,20
Asian,2072,4.0%,80,4.8%,104,5.0%,19,4.5%,1845,3.9%,111,9.4%,27,10.4%,21
NHOPI,1414,2.7%,77,4.6%,139,6.6%,4,0.9%,1188,2.5%,120,10.2%,16,6.2%,22
Multiple,4084,7.8%,77,4.6%,94,4.5%,14,3.3%,3869,8.2%,67,5.7%,2,0.8%,23
Other,6491,12.4%,44,2.6%,56,2.7%,16,3.8%,6247,13.2%,49,4.2%,0,0.0%,24
UI Race,8932,17.1%,0,0.0%,0,0.0%,0,0.0%,8932,18.8%,67,5.7%,1,0.4%,25
Unknown Race,509,1.0%,94,5.6%,167,8.0%,39,9.2%,0,0.0%,9,0.8%,0,0.0%,26
