Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4592,50.0%,567,52.8%,737,50.9%,167,52.0%,3072,49.1%,169,53.3%,39,65.0%,1,2551,49.9%
Female,4590,50.0%,506,47.2%,710,49.1%,154,48.0%,3186,50.9%,148,46.7%,21,35.0%,2,2559,50.1%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,476,5.2%,21,2.0%,90,6.2%,8,2.5%,354,5.7%,3,0.9%,0,0.0%,4,252,4.9%
10-19 Years,953,10.4%,95,8.9%,151,10.4%,46,14.3%,648,10.4%,2,0.6%,0,0.0%,5,546,10.7%
20-29 Years,2236,24.4%,298,27.8%,388,26.8%,57,17.8%,1473,23.5%,18,5.7%,0,0.0%,6,1237,24.2%
30-39 Years,1745,19.0%,203,18.9%,265,18.3%,65,20.2%,1196,19.1%,27,8.5%,2,3.3%,7,1003,19.6%
40-49 Years,1239,13.5%,166,15.5%,175,12.1%,52,16.2%,830,13.3%,43,13.6%,4,6.7%,8,682,13.3%
50-59 Years,1181,12.9%,128,11.9%,195,13.5%,41,12.8%,815,13.0%,58,18.3%,6,10.0%,9,655,12.8%
60-69 Years,831,9.1%,112,10.4%,104,7.2%,32,10.0%,576,9.2%,63,19.9%,11,18.3%,10,477,9.3%
70-79 Years,366,4.0%,39,3.6%,50,3.5%,19,5.9%,255,4.1%,67,21.1%,23,38.3%,11,192,3.8%
80+ Years,155,1.7%,11,1.0%,29,2.0%,1,0.3%,111,1.8%,36,11.4%,14,23.3%,12,66,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,722,7.9%,88,8.2%,146,10.1%,34,10.6%,447,7.1%,19,6.0%,1,1.7%,14,525,10.3%
Non-Hispanic,5314,57.9%,819,76.3%,1065,73.6%,245,76.3%,3144,50.2%,252,79.5%,52,86.7%,15,3885,76.0%
UI Ethnicity,2667,29.0%,0,0.0%,0,0.0%,0,0.0%,2667,42.6%,30,9.5%,2,3.3%,16,417,8.2%
Unknown Ethnicity,479,5.2%,166,15.5%,236,16.3%,42,13.1%,0,0.0%,16,5.0%,5,8.3%,17,283,5.5%
White,3074,33.5%,456,42.5%,600,41.5%,197,61.4%,1799,28.7%,88,27.8%,24,40.0%,18,2253,44.1%
Black,392,4.3%,69,6.4%,97,6.7%,19,5.9%,203,3.2%,10,3.2%,2,3.3%,19,252,4.9%
AI/AN,2087,22.7%,283,26.4%,319,22.0%,33,10.3%,1430,22.9%,101,31.9%,21,35.0%,20,1105,21.6%
Asian,427,4.7%,47,4.4%,79,5.5%,16,5.0%,284,4.5%,23,7.3%,5,8.3%,21,289,5.7%
NHOPI,469,5.1%,64,6.0%,110,7.6%,3,0.9%,290,4.6%,51,16.1%,7,11.7%,22,346,6.8%
Multiple,391,4.3%,53,4.9%,59,4.1%,11,3.4%,265,4.2%,11,3.5%,0,0.0%,23,237,4.6%
Other,321,3.5%,24,2.2%,40,2.8%,12,3.7%,244,3.9%,11,3.5%,0,0.0%,24,169,3.3%
UI Race,1743,19.0%,0,0.0%,0,0.0%,0,0.0%,1743,27.9%,13,4.1%,0,0.0%,25,282,5.5%
Unknown Race,278,3.0%,77,7.2%,143,9.9%,30,9.3%,0,0.0%,9,2.8%,1,1.7%,26,177,3.5%
