ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,569,50.0%,123,51.3%,185,47.4%,78,58.2%,183,48.9%,58.3%,56.3%,42,9,279,50.9%
2,Female,569,50.0%,117,48.8%,205,52.6%,56,41.8%,191,51.1%,41.7%,43.8%,30,7,269,49.1%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,41,3.6%,4,1.7%,19,4.9%,2,1.5%,16,4.3%,0.0%,0.0%,0,0,15,2.7%
5,10-19 Years,89,7.8%,17,7.1%,32,8.2%,9,6.7%,31,8.3%,1.4%,0.0%,1,0,42,7.7%
6,20-29 Years,235,20.7%,41,17.1%,83,21.3%,18,13.4%,93,24.9%,8.3%,0.0%,6,0,105,19.2%
7,30-39 Years,226,19.9%,50,20.8%,70,17.9%,26,19.4%,80,21.4%,9.7%,12.5%,7,2,109,19.9%
8,40-49 Years,174,15.3%,44,18.3%,55,14.1%,26,19.4%,49,13.1%,5.6%,0.0%,4,0,86,15.7%
9,50-59 Years,175,15.4%,38,15.8%,71,18.2%,19,14.2%,47,12.6%,18.1%,6.3%,13,1,94,17.2%
10,60-69 Years,116,10.2%,25,10.4%,36,9.2%,20,14.9%,35,9.4%,16.7%,12.5%,12,2,64,11.7%
11,70-79 Years,61,5.4%,16,6.7%,15,3.8%,13,9.7%,17,4.5%,30.6%,50.0%,22,8,26,4.7%
12,80+ Years,21,1.8%,5,2.1%,9,2.3%,1,0.7%,6,1.6%,9.7%,18.8%,7,3,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,64,5.6%,13,5.4%,33,8.5%,14,10.4%,4,1.1%,6.9%,0.0%,5,0,47,8.6%
15,Non-Hispanic,726,63.8%,209,87.1%,328,84.1%,112,83.6%,77,20.6%,84.7%,100.0%,61,16,472,86.1%
16,Unknown Ethnicity,348,30.6%,18,7.5%,29,7.4%,8,6.0%,293,78.3%,8.3%,0.0%,6,0,29,5.3%
17,White,541,47.5%,151,62.9%,236,60.5%,105,78.4%,49,13.1%,56.9%,62.5%,41,10,360,65.7%
18,Black,25,2.2%,11,4.6%,7,1.8%,6,4.5%,1,0.3%,0.0%,0.0%,0,0,17,3.1%
19,AI/AN,131,11.5%,39,16.3%,44,11.3%,3,2.2%,45,12.0%,15.3%,18.8%,11,3,54,9.9%
20,Asian,60,5.3%,13,5.4%,41,10.5%,5,3.7%,1,0.3%,11.1%,12.5%,8,2,53,9.7%
21,NHOPI,29,2.5%,6,2.5%,15,3.8%,1,0.7%,7,1.9%,8.3%,6.3%,6,1,13,2.4%
22,Multiple,36,3.2%,10,4.2%,16,4.1%,6,4.5%,4,1.1%,0.0%,0.0%,0,0,23,4.2%
23,Other,22,1.9%,2,0.8%,8,2.1%,4,3.0%,8,2.1%,5.6%,0.0%,4,0,12,2.2%
24,Unknown Race,294,25.8%,8,3.3%,23,5.9%,4,3.0%,259,69.3%,2.8%,0.0%,2,0,16,2.9%
