ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,2111,49.0%,313,48.7%,448,49.1%,121,53.5%,1206,48.5%,57.7%,64.3%,101,18,617,49.4%
2,Female,2197,51.0%,330,51.3%,464,50.9%,105,46.5%,1282,51.5%,42.3%,35.7%,74,10,633,50.6%
3,Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,215,5.0%,13,2.0%,59,6.5%,4,1.8%,139,5.6%,0.0%,0.0%,0,0,57,4.6%
5,10-19 Years,450,10.4%,47,7.3%,85,9.3%,26,11.5%,284,11.4%,0.6%,0.0%,1,0,117,9.4%
6,20-29 Years,1041,24.2%,170,26.4%,234,25.7%,39,17.3%,588,23.6%,6.9%,0.0%,12,0,317,25.4%
7,30-39 Years,807,18.7%,132,20.5%,166,18.2%,44,19.5%,459,18.4%,9.7%,7.1%,17,2,249,19.9%
8,40-49 Years,599,13.9%,104,16.2%,106,11.6%,39,17.3%,340,13.7%,10.3%,3.6%,18,1,173,13.8%
9,50-59 Years,539,12.5%,77,12.0%,131,14.4%,32,14.2%,298,12.0%,17.1%,10.7%,30,3,164,13.1%
10,60-69 Years,400,9.3%,60,9.3%,78,8.6%,26,11.5%,233,9.4%,21.1%,14.3%,37,4,117,9.4%
11,70-79 Years,187,4.3%,31,4.8%,30,3.3%,15,6.6%,111,4.5%,23.4%,46.4%,41,13,44,3.5%
12,80+ Years,71,1.6%,9,1.4%,23,2.5%,1,0.4%,37,1.5%,10.9%,17.9%,19,5,12,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,232,5.4%,50,7.8%,88,9.6%,26,11.5%,66,2.7%,5.7%,0.0%,10,0,128,10.2%
15,Non-Hispanic,1636,38.0%,479,74.5%,600,65.8%,158,69.9%,382,15.3%,77.7%,100.0%,136,28,937,75.0%
16,UI Ethnicity,2041,47.4%,0,0.0%,0,0.0%,0,0.0%,2041,82.0%,12.0%,0.0%,21,0,16,1.3%
17,Unknown Ethnicity,400,9.3%,114,17.7%,224,24.6%,42,18.6%,0,0.0%,4.6%,0.0%,8,0,169,13.5%
18,White,1062,24.6%,290,45.1%,383,42.0%,151,66.8%,233,9.4%,33.7%,42.9%,59,12,624,49.9%
19,Black,151,3.5%,42,6.5%,41,4.5%,14,6.2%,51,2.0%,3.4%,0.0%,6,0,68,5.4%
20,AI/AN,602,14.0%,133,20.7%,151,16.6%,9,4.0%,301,12.1%,24.0%,35.7%,42,10,197,15.8%
21,Asian,113,2.6%,25,3.9%,47,5.2%,8,3.5%,31,1.2%,6.9%,7.1%,12,2,70,5.6%
22,NHOPI,181,4.2%,43,6.7%,60,6.6%,1,0.4%,77,3.1%,18.3%,14.3%,32,4,69,5.5%
23,Multiple,126,2.9%,26,4.0%,33,3.6%,8,3.5%,58,2.3%,0.6%,0.0%,1,0,50,4.0%
24,Other,113,2.6%,13,2.0%,28,3.1%,10,4.4%,61,2.5%,3.4%,0.0%,6,0,43,3.4%
25,UI Race,1677,38.9%,0,0.0%,0,0.0%,0,0.0%,1677,67.4%,7.4%,0.0%,13,0,14,1.1%
26,Unknown Race,284,6.6%,71,11.0%,169,18.5%,25,11.1%,0,0.0%,2.3%,0.0%,4,0,115,9.2%
