Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34856,52.1%,1165,51.9%,1517,50.1%,301,52.5%,31330,52.2%,846,54.8%,219,60.5%,1
Female,31982,47.8%,1081,48.1%,1513,49.9%,272,47.5%,28615,47.7%,699,45.2%,143,39.5%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4925,7.4%,75,3.3%,294,9.7%,20,3.5%,4486,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8751,13.1%,227,10.1%,420,13.9%,74,12.9%,7920,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13710,20.5%,554,24.7%,637,21.0%,97,16.9%,12211,20.4%,66,4.3%,6,1.7%,6
30-39 Years,12608,18.9%,392,17.5%,483,15.9%,103,18.0%,11464,19.1%,125,8.1%,8,2.2%,7
40-49 Years,9079,13.6%,310,13.8%,349,11.5%,85,14.8%,8198,13.7%,157,10.2%,16,4.4%,8
50-59 Years,8449,12.6%,277,12.3%,374,12.3%,81,14.1%,7593,12.7%,270,17.5%,28,7.7%,9
60-69 Years,5812,8.7%,239,10.6%,227,7.5%,72,12.6%,5135,8.6%,345,22.3%,71,19.6%,10
70-79 Years,2507,3.7%,110,4.9%,140,4.6%,36,6.3%,2151,3.6%,326,21.1%,111,30.7%,11
80+ Years,1026,1.5%,62,2.8%,106,3.5%,5,0.9%,816,1.4%,225,14.6%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3395,5.1%,140,6.2%,225,7.4%,58,10.1%,2932,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35059,52.4%,1808,80.5%,2385,78.7%,434,75.7%,29996,50.0%,1147,74.2%,336,92.8%,15
UI Ethnicity,27046,40.4%,0,0.0%,0,0.0%,0,0.0%,27046,45.1%,291,18.8%,4,1.1%,16
Unknown Ethnicity,1367,2.0%,298,13.3%,420,13.9%,81,14.1%,0,0.0%,25,1.6%,4,1.1%,17
White,22144,33.1%,945,42.1%,1197,39.5%,333,58.1%,19380,32.3%,566,36.6%,164,45.3%,18
Black,1614,2.4%,102,4.5%,135,4.5%,22,3.8%,1335,2.2%,56,3.6%,10,2.8%,19
AI/AN,13875,20.8%,756,33.7%,922,30.4%,79,13.8%,11888,19.8%,392,25.4%,121,33.4%,20
Asian,2572,3.8%,97,4.3%,185,6.1%,28,4.9%,2228,3.7%,126,8.2%,35,9.7%,21
NHOPI,1730,2.6%,83,3.7%,164,5.4%,10,1.7%,1464,2.4%,142,9.2%,22,6.1%,22
Multiple,5017,7.5%,92,4.1%,135,4.5%,22,3.8%,4726,7.9%,82,5.3%,7,1.9%,23
Other,7715,11.5%,58,2.6%,77,2.5%,23,4.0%,7414,12.4%,74,4.8%,1,0.3%,24
UI Race,11539,17.3%,0,0.0%,0,0.0%,0,0.0%,11539,19.2%,97,6.3%,1,0.3%,25
Unknown Race,661,1.0%,113,5.0%,215,7.1%,56,9.8%,0,0.0%,10,0.6%,1,0.3%,26
