Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,6480,49.8%,703,52.5%,876,50.8%,181,52.0%,4662,49.1%,207,52.9%,43,63.2%,1,3121,49.5%
Female,6526,50.2%,637,47.5%,850,49.2%,167,48.0%,4826,50.8%,184,47.1%,25,36.8%,2,3179,50.5%
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,701,5.4%,27,2.0%,110,6.4%,8,2.3%,553,5.8%,3,0.8%,0,0.0%,4,318,5.0%
10-19 Years,1453,11.2%,115,8.6%,192,11.1%,50,14.4%,1081,11.4%,3,0.8%,0,0.0%,5,664,10.5%
20-29 Years,2969,22.8%,382,28.5%,459,26.6%,61,17.5%,2041,21.5%,20,5.1%,1,1.5%,6,1517,24.1%
30-39 Years,2469,19.0%,247,18.4%,311,18.0%,69,19.8%,1821,19.2%,33,8.4%,2,2.9%,7,1213,19.3%
40-49 Years,1755,13.5%,205,15.3%,219,12.7%,56,16.1%,1258,13.3%,53,13.6%,4,5.9%,8,837,13.3%
50-59 Years,1700,13.1%,161,12.0%,223,12.9%,47,13.5%,1264,13.3%,67,17.1%,7,10.3%,9,824,13.1%
60-69 Years,1226,9.4%,136,10.1%,122,7.1%,37,10.6%,922,9.7%,83,21.2%,13,19.1%,10,602,9.6%
70-79 Years,520,4.0%,50,3.7%,58,3.4%,19,5.5%,388,4.1%,80,20.5%,23,33.8%,11,235,3.7%
80+ Years,219,1.7%,17,1.3%,32,1.9%,1,0.3%,166,1.7%,49,12.5%,18,26.5%,12,90,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,849,6.5%,106,7.9%,171,9.9%,37,10.6%,528,5.6%,19,4.9%,1,1.5%,14,594,9.4%
Non-Hispanic,6881,52.9%,1019,76.0%,1277,74.0%,264,75.9%,4271,45.0%,296,75.7%,61,89.7%,15,4788,76.0%
UI Ethnicity,4695,36.1%,0,0.0%,0,0.0%,0,0.0%,4695,49.5%,60,15.3%,3,4.4%,16,567,9.0%
Unknown Ethnicity,587,4.5%,215,16.0%,278,16.1%,47,13.5%,0,0.0%,16,4.1%,3,4.4%,17,351,5.6%
White,4107,31.6%,598,44.6%,738,42.8%,213,61.2%,2532,26.7%,97,24.8%,25,36.8%,18,2746,43.6%
Black,480,3.7%,89,6.6%,114,6.6%,19,5.5%,253,2.7%,18,4.6%,3,4.4%,19,287,4.6%
AI/AN,3049,23.4%,317,23.7%,377,21.8%,35,10.1%,2293,24.2%,124,31.7%,24,35.3%,20,1388,22.0%
Asian,594,4.6%,68,5.1%,88,5.1%,18,5.2%,418,4.4%,29,7.4%,7,10.3%,21,409,6.5%
NHOPI,570,4.4%,72,5.4%,122,7.1%,4,1.1%,370,3.9%,57,14.6%,7,10.3%,22,375,6.0%
Multiple,642,4.9%,65,4.9%,75,4.3%,12,3.4%,486,5.1%,17,4.3%,0,0.0%,23,328,5.2%
Other,470,3.6%,33,2.5%,46,2.7%,14,4.0%,376,4.0%,13,3.3%,0,0.0%,24,194,3.1%
UI Race,2766,21.3%,0,0.0%,0,0.0%,0,0.0%,2766,29.1%,28,7.2%,2,2.9%,25,359,5.7%
Unknown Race,334,2.6%,98,7.3%,166,9.6%,33,9.5%,0,0.0%,8,2.0%,0,0.0%,26,214,3.4%
