Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,All Ages,175866,1894447,180095,78446,6671,283199,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,Under 1 year,19,10513,99,3,16,131,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,0-17 years,88,18631,296,17,123,490,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,1-4 years,14,2021,70,2,42,124,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,5-14 years,29,3110,94,8,52,167,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,15-24 years,315,19998,402,111,53,655,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,18-29 years,765,35561,963,315,100,1503,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,25-34 years,1360,41370,1513,606,151,2404,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,30-49 years,8024,124473,7476,3560,565,12427,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,35-44 years,3542,58523,3377,1547,247,5590,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,45-54 years,9324,107903,8747,4292,577,14251,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,50-64 years,27980,312037,29016,13371,1587,44928,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,55-64 years,22254,247264,23449,10694,1237,36026,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,65-74 years,37684,374953,39742,17965,1444,60671,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,75-84 years,46487,458477,49189,21421,1469,75520,
09/09/2020,02/01/2020,09/05/2020,United States,All Sexes,85 years and over,54838,570315,53413,21797,1383,87660,
09/09/2020,02/01/2020,09/05/2020,United States,Male,Under 1 year,13,5821,62,2,8,81,
