Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,33530,52.1%,1098,51.7%,1423,49.9%,277,52.3%,30229,52.2%,792,54.6%,198,60.2%,1
Female,30805,47.9%,1025,48.3%,1429,50.1%,253,47.7%,27628,47.7%,659,45.4%,131,39.8%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,4644,7.2%,66,3.1%,264,9.3%,18,3.4%,4252,7.3%,17,1.2%,0,0.0%,4
10-19 Years,8328,12.9%,212,10.0%,377,13.2%,72,13.6%,7563,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13157,20.4%,533,25.1%,611,21.4%,88,16.6%,11729,20.3%,58,4.0%,4,1.2%,6
30-39 Years,12171,18.9%,374,17.6%,463,16.2%,91,17.2%,11084,19.2%,120,8.3%,6,1.8%,7
40-49 Years,8777,13.6%,295,13.9%,336,11.8%,82,15.5%,7942,13.7%,146,10.1%,15,4.6%,8
50-59 Years,8189,12.7%,259,12.2%,356,12.5%,71,13.4%,7389,12.8%,250,17.2%,21,6.4%,9
60-69 Years,5638,8.8%,221,10.4%,212,7.4%,68,12.8%,5003,8.6%,326,22.5%,65,19.8%,10
70-79 Years,2435,3.8%,105,4.9%,131,4.6%,35,6.6%,2100,3.6%,300,20.7%,100,30.4%,11
80+ Years,1008,1.6%,58,2.7%,102,3.6%,5,0.9%,807,1.4%,219,15.1%,118,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3304,5.1%,137,6.5%,221,7.7%,57,10.8%,2854,4.9%,75,5.2%,15,4.6%,14
Non-Hispanic,34105,53.0%,1702,80.2%,2234,78.3%,402,75.8%,29363,50.7%,1089,75.1%,308,93.6%,15
UI Ethnicity,25652,39.9%,0,0.0%,0,0.0%,0,0.0%,25652,44.3%,264,18.2%,4,1.2%,16
Unknown Ethnicity,1286,2.0%,284,13.4%,397,13.9%,71,13.4%,0,0.0%,23,1.6%,2,0.6%,17
White,21269,33.1%,874,41.2%,1119,39.2%,314,59.2%,18701,32.3%,521,35.9%,144,43.8%,18
Black,1564,2.4%,96,4.5%,132,4.6%,22,4.2%,1297,2.2%,51,3.5%,10,3.0%,19
AI/AN,13420,20.9%,726,34.2%,871,30.5%,76,14.3%,11529,19.9%,383,26.4%,117,35.6%,20
Asian,2498,3.9%,94,4.4%,168,5.9%,22,4.2%,2183,3.8%,122,8.4%,32,9.7%,21
NHOPI,1667,2.6%,81,3.8%,160,5.6%,4,0.8%,1413,2.4%,134,9.2%,18,5.5%,22
Multiple,4880,7.6%,89,4.2%,124,4.3%,21,4.0%,4605,8.0%,79,5.4%,6,1.8%,23
Other,7519,11.7%,55,2.6%,75,2.6%,21,4.0%,7226,12.5%,63,4.3%,1,0.3%,24
UI Race,10915,17.0%,0,0.0%,0,0.0%,0,0.0%,10915,18.9%,89,6.1%,0,0.0%,25
Unknown Race,615,1.0%,108,5.1%,203,7.1%,50,9.4%,0,0.0%,9,0.6%,1,0.3%,26
