Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5511,50.2%,643,52.3%,832,50.9%,177,52.5%,3805,49.5%,189,52.4%,42,62.7%,1,2900,49.5%
Female,5468,49.8%,586,47.7%,800,49.0%,160,47.5%,3878,50.5%,172,47.6%,25,37.3%,2,2952,50.4%
Unknown Sex,1,0.0%,0,0.0%,1,0.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,572,5.2%,26,2.1%,103,6.3%,8,2.4%,432,5.6%,3,0.8%,0,0.0%,4,297,5.1%
10-19 Years,1172,10.7%,107,8.7%,170,10.4%,49,14.5%,832,10.8%,3,0.8%,0,0.0%,5,622,10.6%
20-29 Years,2598,23.7%,345,28.1%,442,27.1%,60,17.8%,1726,22.5%,20,5.5%,1,1.5%,6,1423,24.3%
30-39 Years,2075,18.9%,229,18.6%,296,18.1%,67,19.9%,1463,19.0%,32,8.9%,2,3.0%,7,1140,19.5%
40-49 Years,1507,13.7%,193,15.7%,205,12.6%,54,16.0%,1039,13.5%,50,13.9%,4,6.0%,8,773,13.2%
50-59 Years,1425,13.0%,147,12.0%,213,13.0%,46,13.6%,1014,13.2%,65,18.0%,7,10.4%,9,750,12.8%
60-69 Years,1009,9.2%,123,10.0%,118,7.2%,33,9.8%,726,9.4%,72,19.9%,12,17.9%,10,557,9.5%
70-79 Years,430,3.9%,47,3.8%,56,3.4%,19,5.6%,305,4.0%,72,19.9%,23,34.3%,11,213,3.6%
80+ Years,192,1.7%,12,1.0%,30,1.8%,1,0.3%,146,1.9%,44,12.2%,18,26.9%,12,78,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,793,7.2%,98,8.0%,164,10.0%,37,11.0%,487,6.3%,19,5.3%,1,1.5%,14,578,9.9%
Non-Hispanic,6171,56.2%,935,76.1%,1204,73.7%,256,76.0%,3729,48.5%,275,76.2%,61,91.0%,15,4417,75.5%
UI Ethnicity,3467,31.6%,0,0.0%,0,0.0%,0,0.0%,3467,45.1%,53,14.7%,2,3.0%,16,529,9.0%
Unknown Ethnicity,549,5.0%,196,15.9%,265,16.2%,44,13.1%,0,0.0%,14,3.9%,3,4.5%,17,329,5.6%
White,3637,33.1%,531,43.2%,686,42.0%,206,61.1%,2189,28.5%,91,25.2%,25,37.3%,18,2552,43.6%
Black,441,4.0%,83,6.8%,109,6.7%,19,5.6%,225,2.9%,15,4.2%,3,4.5%,19,276,4.7%
AI/AN,2498,22.8%,306,24.9%,361,22.1%,35,10.4%,1771,23.1%,116,32.1%,24,35.8%,20,1277,21.8%
Asian,515,4.7%,62,5.0%,85,5.2%,18,5.3%,349,4.5%,26,7.2%,7,10.4%,21,358,6.1%
NHOPI,517,4.7%,69,5.6%,116,7.1%,4,1.2%,326,4.2%,55,15.2%,7,10.4%,22,359,6.1%
Multiple,505,4.6%,62,5.0%,71,4.3%,11,3.3%,358,4.7%,14,3.9%,0,0.0%,23,301,5.1%
Other,391,3.6%,30,2.4%,43,2.6%,13,3.9%,304,4.0%,12,3.3%,0,0.0%,24,181,3.1%
UI Race,2161,19.7%,0,0.0%,0,0.0%,0,0.0%,2161,28.1%,25,6.9%,1,1.5%,25,344,5.9%
Unknown Race,315,2.9%,86,7.0%,162,9.9%,31,9.2%,0,0.0%,7,1.9%,0,0.0%,26,205,3.5%
