Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26816,52.0%,859,52.1%,1064,51.4%,224,53.2%,24298,52.0%,641,55.2%,156,60.7%,1
Female,24787,48.0%,790,47.9%,1008,48.6%,197,46.8%,22462,48.0%,520,44.8%,101,39.3%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3367,6.5%,38,2.3%,148,7.1%,14,3.3%,3143,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6163,11.9%,139,8.4%,251,12.1%,61,14.5%,5639,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10727,20.8%,430,26.1%,501,24.2%,69,16.4%,9585,20.5%,52,4.5%,3,1.2%,6
30-39 Years,9824,19.0%,288,17.5%,358,17.3%,81,19.2%,8966,19.2%,91,7.8%,6,2.3%,7
40-49 Years,7129,13.8%,243,14.7%,252,12.2%,68,16.2%,6483,13.9%,105,9.0%,9,3.5%,8
50-59 Years,6673,12.9%,208,12.6%,262,12.6%,57,13.5%,6064,13.0%,192,16.5%,18,7.0%,9
60-69 Years,4753,9.2%,175,10.6%,147,7.1%,48,11.4%,4287,9.2%,255,22.0%,50,19.5%,10
70-79 Years,2089,4.0%,82,5.0%,91,4.4%,21,5.0%,1849,4.0%,261,22.5%,83,32.3%,11
80+ Years,885,1.7%,46,2.8%,62,3.0%,2,0.5%,751,1.6%,186,16.0%,88,34.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2764,5.4%,125,7.6%,184,8.9%,44,10.5%,2384,5.1%,59,5.1%,11,4.3%,14
Non-Hispanic,26905,52.1%,1304,79.1%,1599,77.2%,324,77.0%,23428,50.1%,876,75.5%,240,93.4%,15
UI Ethnicity,20955,40.6%,0,0.0%,0,0.0%,0,0.0%,20955,44.8%,207,17.8%,6,2.3%,16
Unknown Ethnicity,986,1.9%,220,13.3%,289,13.9%,53,12.6%,0,0.0%,19,1.6%,0,0.0%,17
White,16042,31.1%,732,44.4%,875,42.2%,259,61.5%,13994,29.9%,383,33.0%,105,40.9%,18
Black,1300,2.5%,94,5.7%,116,5.6%,21,5.0%,1054,2.3%,46,4.0%,9,3.5%,19
AI/AN,11130,21.6%,452,27.4%,526,25.4%,51,12.1%,9987,21.4%,313,27.0%,97,37.7%,20
Asian,2047,4.0%,80,4.9%,103,5.0%,19,4.5%,1821,3.9%,112,9.6%,27,10.5%,21
NHOPI,1410,2.7%,77,4.7%,139,6.7%,4,1.0%,1185,2.5%,119,10.2%,16,6.2%,22
Multiple,4037,7.8%,76,4.6%,93,4.5%,14,3.3%,3824,8.2%,69,5.9%,2,0.8%,23
Other,6435,12.5%,44,2.7%,55,2.7%,16,3.8%,6194,13.2%,47,4.0%,0,0.0%,24
UI Race,8708,16.9%,0,0.0%,0,0.0%,0,0.0%,8708,18.6%,64,5.5%,1,0.4%,25
Unknown Race,501,1.0%,94,5.7%,165,8.0%,37,8.8%,0,0.0%,8,0.7%,0,0.0%,26
