Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,10996,50.0%,739,52.4%,930,50.9%,195,52.8%,9060,49.6%,284,52.8%,60,61.2%,1,3237,49.7%
Female,11000,50.0%,671,47.6%,897,49.1%,174,47.2%,9197,50.3%,254,47.2%,38,38.8%,2,3276,50.3%
Unknown Sex,18,0.1%,0,0.0%,0,0.0%,0,0.0%,18,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,1233,5.6%,30,2.1%,121,6.6%,9,2.4%,1070,5.9%,5,0.9%,0,0.0%,4,329,5.1%
10-19 Years,2630,11.9%,120,8.5%,211,11.5%,54,14.6%,2225,12.2%,4,0.7%,0,0.0%,5,693,10.6%
20-29 Years,4728,21.5%,400,28.4%,474,25.9%,62,16.8%,3758,20.6%,27,5.0%,2,2.0%,6,1560,24.0%
30-39 Years,4173,19.0%,258,18.3%,328,18.0%,76,20.6%,3486,19.1%,44,8.2%,3,3.1%,7,1255,19.3%
40-49 Years,3125,14.2%,214,15.2%,230,12.6%,58,15.7%,2603,14.2%,61,11.3%,6,6.1%,8,867,13.3%
50-59 Years,2815,12.8%,175,12.4%,238,13.0%,48,13.0%,2347,12.8%,92,17.1%,7,7.1%,9,856,13.1%
60-69 Years,2044,9.3%,144,10.2%,131,7.2%,39,10.6%,1718,9.4%,126,23.4%,18,18.4%,10,623,9.6%
70-79 Years,884,4.0%,52,3.7%,61,3.3%,22,6.0%,741,4.1%,102,19.0%,28,28.6%,11,242,3.7%
80+ Years,382,1.7%,17,1.2%,33,1.8%,1,0.3%,327,1.8%,77,14.3%,34,34.7%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1097,5.0%,110,7.8%,171,9.4%,38,10.3%,771,4.2%,28,5.2%,1,1.0%,14,597,9.2%
Non-Hispanic,9269,42.1%,1081,76.7%,1362,74.5%,281,76.2%,6475,35.4%,376,69.9%,81,82.7%,15,4968,76.3%
UI Ethnicity,11029,50.1%,0,0.0%,0,0.0%,0,0.0%,11029,60.4%,118,21.9%,13,13.3%,16,575,8.8%
Unknown Ethnicity,619,2.8%,219,15.5%,294,16.1%,50,13.6%,0,0.0%,16,3.0%,3,3.1%,17,373,5.7%
White,5958,27.1%,630,44.7%,769,42.1%,222,60.2%,4308,23.6%,146,27.1%,32,32.7%,18,2799,43.0%
Black,626,2.8%,89,6.3%,114,6.2%,21,5.7%,397,2.2%,29,5.4%,4,4.1%,19,292,4.5%
AI/AN,4912,22.3%,345,24.5%,407,22.3%,43,11.7%,4073,22.3%,157,29.2%,31,31.6%,20,1473,22.6%
Asian,771,3.5%,70,5.0%,94,5.1%,18,4.9%,587,3.2%,33,6.1%,8,8.2%,21,419,6.4%
NHOPI,707,3.2%,73,5.2%,132,7.2%,4,1.1%,496,2.7%,65,12.1%,9,9.2%,22,392,6.0%
Multiple,1241,5.6%,71,5.0%,88,4.8%,13,3.5%,1064,5.8%,30,5.6%,4,4.1%,23,353,5.4%
Other,1335,6.1%,33,2.3%,48,2.6%,14,3.8%,1239,6.8%,22,4.1%,2,2.0%,24,196,3.0%
UI Race,6111,27.8%,0,0.0%,0,0.0%,0,0.0%,6111,33.4%,48,8.9%,8,8.2%,25,368,5.7%
Unknown Race,353,1.6%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.5%,0,0.0%,26,221,3.4%
