Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5623,50.3%,660,52.7%,835,50.9%,178,52.7%,3895,49.6%,189,52.4%,42,62.7%,1,2911,49.5%
Female,5557,49.7%,593,47.3%,806,49.1%,160,47.3%,3953,50.4%,172,47.6%,25,37.3%,2,2968,50.5%
Unknown Sex,2,0.0%,0,0.0%,1,0.1%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,579,5.2%,26,2.1%,104,6.3%,8,2.4%,438,5.6%,3,0.8%,0,0.0%,4,298,5.1%
10-19 Years,1194,10.7%,107,8.5%,172,10.5%,49,14.5%,851,10.8%,3,0.8%,0,0.0%,5,624,10.6%
20-29 Years,2644,23.6%,357,28.5%,444,27.0%,60,17.8%,1758,22.4%,20,5.5%,1,1.5%,6,1432,24.4%
30-39 Years,2136,19.1%,233,18.6%,298,18.1%,68,20.1%,1516,19.3%,32,8.9%,2,3.0%,7,1144,19.5%
40-49 Years,1525,13.6%,194,15.5%,207,12.6%,54,16.0%,1054,13.4%,50,13.9%,4,6.0%,8,776,13.2%
50-59 Years,1453,13.0%,149,11.9%,213,13.0%,46,13.6%,1040,13.3%,65,18.0%,7,10.4%,9,755,12.8%
60-69 Years,1025,9.2%,127,10.1%,118,7.2%,33,9.8%,738,9.4%,72,19.9%,12,17.9%,10,560,9.5%
70-79 Years,434,3.9%,47,3.8%,56,3.4%,19,5.6%,309,3.9%,72,19.9%,23,34.3%,11,213,3.6%
80+ Years,192,1.7%,13,1.0%,30,1.8%,1,0.3%,145,1.8%,44,12.2%,18,26.9%,12,78,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,795,7.1%,101,8.1%,164,10.0%,37,10.9%,486,6.2%,19,5.3%,1,1.5%,14,579,9.8%
Non-Hispanic,6212,55.6%,947,75.6%,1208,73.6%,256,75.7%,3753,47.8%,275,76.2%,61,91.0%,15,4442,75.5%
UI Ethnicity,3610,32.3%,0,0.0%,0,0.0%,0,0.0%,3610,46.0%,52,14.4%,2,3.0%,16,527,9.0%
Unknown Ethnicity,565,5.1%,205,16.4%,270,16.4%,45,13.3%,0,0.0%,15,4.2%,3,4.5%,17,332,5.6%
White,3684,32.9%,541,43.2%,691,42.1%,206,60.9%,2221,28.3%,91,25.2%,25,37.3%,18,2568,43.7%
Black,449,4.0%,85,6.8%,110,6.7%,19,5.6%,230,2.9%,15,4.2%,3,4.5%,19,278,4.7%
AI/AN,2528,22.6%,307,24.5%,361,22.0%,35,10.4%,1799,22.9%,116,32.1%,24,35.8%,20,1280,21.8%
Asian,519,4.6%,64,5.1%,85,5.2%,18,5.3%,351,4.5%,26,7.2%,7,10.4%,21,363,6.2%
NHOPI,520,4.7%,69,5.5%,117,7.1%,4,1.2%,328,4.2%,55,15.2%,7,10.4%,22,359,6.1%
Multiple,519,4.6%,62,4.9%,71,4.3%,11,3.3%,371,4.7%,14,3.9%,0,0.0%,23,301,5.1%
Other,396,3.5%,31,2.5%,43,2.6%,13,3.8%,308,3.9%,12,3.3%,0,0.0%,24,181,3.1%
UI Race,2241,20.0%,0,0.0%,0,0.0%,0,0.0%,2241,28.6%,24,6.6%,1,1.5%,25,344,5.9%
Unknown Race,326,2.9%,94,7.5%,164,10.0%,32,9.5%,0,0.0%,8,2.2%,0,0.0%,26,206,3.5%
