Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30973,52.0%,1042,52.1%,1284,50.5%,259,52.2%,27934,52.1%,738,55.1%,184,59.5%,1
Female,28531,47.9%,957,47.9%,1260,49.5%,237,47.8%,25655,47.9%,601,44.9%,125,40.5%,2
Unknown Sex,24,0.0%,0,0.0%,0,0.0%,0,0.0%,24,0.0%,0,0.0%,0,0.0%,3
<10 Years,4118,6.9%,52,2.6%,213,8.4%,18,3.6%,3796,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7493,12.6%,196,9.8%,315,12.4%,66,13.3%,6818,12.7%,13,1.0%,0,0.0%,5
20-29 Years,12134,20.4%,506,25.3%,577,22.7%,85,17.1%,10792,20.1%,52,3.9%,3,1.0%,6
30-39 Years,11288,19.0%,344,17.2%,417,16.4%,88,17.7%,10293,19.2%,110,8.2%,6,1.9%,7
40-49 Years,8180,13.7%,289,14.5%,306,12.0%,76,15.3%,7401,13.8%,130,9.7%,12,3.9%,8
50-59 Years,7672,12.9%,245,12.3%,332,13.1%,66,13.3%,6926,12.9%,223,16.7%,20,6.5%,9
60-69 Years,5351,9.0%,209,10.5%,181,7.1%,62,12.5%,4783,8.9%,301,22.5%,61,19.7%,10
70-79 Years,2318,3.9%,102,5.1%,115,4.5%,31,6.3%,2012,3.8%,285,21.3%,95,30.7%,11
80+ Years,974,1.6%,56,2.8%,88,3.5%,4,0.8%,792,1.5%,211,15.8%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3176,5.3%,138,6.9%,213,8.4%,52,10.5%,2743,5.1%,69,5.2%,13,4.2%,14
Non-Hispanic,32384,54.4%,1595,79.8%,1966,77.3%,379,76.4%,28088,52.4%,1023,76.4%,290,93.9%,15
UI Ethnicity,22782,38.3%,0,0.0%,0,0.0%,0,0.0%,22782,42.5%,227,17.0%,4,1.3%,16
Unknown Ethnicity,1186,2.0%,266,13.3%,365,14.3%,65,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,19678,33.1%,842,42.1%,1021,40.1%,300,60.5%,17289,32.2%,469,35.0%,131,42.4%,18
Black,1476,2.5%,96,4.8%,127,5.0%,21,4.2%,1215,2.3%,49,3.7%,10,3.2%,19
AI/AN,12753,21.4%,644,32.2%,711,27.9%,66,13.3%,11145,20.8%,365,27.3%,113,36.6%,20
Asian,2403,4.0%,90,4.5%,161,6.3%,20,4.0%,2103,3.9%,117,8.7%,30,9.7%,21
NHOPI,1583,2.7%,81,4.1%,156,6.1%,4,0.8%,1333,2.5%,130,9.7%,17,5.5%,22
Multiple,4590,7.7%,87,4.4%,106,4.2%,19,3.8%,4344,8.1%,70,5.2%,5,1.6%,23
Other,7149,12.0%,56,2.8%,71,2.8%,19,3.8%,6862,12.8%,58,4.3%,1,0.3%,24
UI Race,9322,15.7%,0,0.0%,0,0.0%,0,0.0%,9322,17.4%,72,5.4%,1,0.3%,25
Unknown Race,574,1.0%,103,5.2%,191,7.5%,47,9.5%,0,0.0%,9,0.7%,1,0.3%,26
