Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22032,52.2%,750,52.4%,943,51.2%,198,52.8%,19854,52.2%,499,54.4%,111,60.7%,1
Female,20183,47.8%,680,47.6%,900,48.8%,177,47.2%,18172,47.8%,417,45.5%,72,39.3%,2
Unknown Sex,20,0.0%,0,0.0%,0,0.0%,0,0.0%,20,0.1%,1,0.1%,0,0.0%,3
<10 Years,2603,6.2%,30,2.1%,122,6.6%,9,2.4%,2428,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4934,11.7%,121,8.5%,211,11.4%,56,14.9%,4479,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8681,20.6%,403,28.2%,476,25.8%,62,16.5%,7630,20.1%,44,4.8%,3,1.6%,6
30-39 Years,8147,19.3%,260,18.2%,330,17.9%,78,20.8%,7374,19.4%,81,8.8%,5,2.7%,7
40-49 Years,5971,14.1%,215,15.0%,232,12.6%,58,15.5%,5395,14.2%,83,9.1%,7,3.8%,8
50-59 Years,5460,12.9%,176,12.3%,238,12.9%,50,13.3%,4935,13.0%,151,16.5%,13,7.1%,9
60-69 Years,3930,9.3%,146,10.2%,135,7.3%,39,10.4%,3538,9.3%,204,22.2%,36,19.7%,10
70-79 Years,1764,4.2%,53,3.7%,63,3.4%,22,5.9%,1594,4.2%,196,21.4%,54,29.5%,11
80+ Years,745,1.8%,26,1.8%,36,2.0%,1,0.3%,673,1.8%,143,15.6%,65,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2368,5.6%,113,7.9%,175,9.5%,40,10.7%,2016,5.3%,45,4.9%,4,2.2%,14
Non-Hispanic,22221,52.6%,1113,77.8%,1402,76.1%,287,76.5%,19264,50.6%,680,74.2%,148,80.9%,15
UI Ethnicity,16766,39.7%,0,0.0%,0,0.0%,0,0.0%,16766,44.1%,175,19.1%,25,13.7%,16
Unknown Ethnicity,880,2.1%,204,14.3%,266,14.4%,48,12.8%,0,0.0%,17,1.9%,6,3.3%,17
White,13315,31.5%,644,45.0%,787,42.7%,225,60.0%,11536,30.3%,297,32.4%,66,36.1%,18
Black,1133,2.7%,91,6.4%,115,6.2%,21,5.6%,895,2.4%,36,3.9%,7,3.8%,19
AI/AN,8604,20.4%,353,24.7%,411,22.3%,43,11.5%,7728,20.3%,240,26.2%,67,36.6%,20
Asian,1720,4.1%,72,5.0%,97,5.3%,18,4.8%,1519,4.0%,81,8.8%,19,10.4%,21
NHOPI,1236,2.9%,73,5.1%,133,7.2%,4,1.1%,1023,2.7%,105,11.5%,11,6.0%,22
Multiple,3367,8.0%,73,5.1%,90,4.9%,13,3.5%,3163,8.3%,62,6.8%,6,3.3%,23
Other,5416,12.8%,36,2.5%,50,2.7%,16,4.3%,5197,13.7%,41,4.5%,3,1.6%,24
UI Race,6985,16.5%,0,0.0%,0,0.0%,0,0.0%,6985,18.4%,48,5.2%,4,2.2%,25
Unknown Race,459,1.1%,88,6.2%,160,8.7%,35,9.3%,0,0.0%,7,0.8%,0,0.0%,26
