,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=490,659",,"N=54,126",,"N=4,502",,"N=1,359",
0-4,12535,3%,992,2%,36,1%,0,0%
5-9,15959,3%,1189,2%,12,<1%,0,0%
10-14,16195,3%,1604,3%,18,<1%,<5,--
15-18,24036,5%,2370,4%,27,1%,0,0%
19-24,59181,12%,6222,11%,118,3%,<5,--
25-29,43576,9%,5021,9%,148,3%,<5,--
30-39,76154,16%,8769,16%,304,7%,7,1%
40-49,60578,12%,7618,14%,453,10%,19,1%
50-59,71524,15%,8143,15%,681,15%,58,4%
60-69,58047,12%,5579,10%,883,20%,153,11%
70-79,30719,6%,3087,6%,876,19%,300,22%
80-89,14680,3%,2174,4%,666,15%,448,33%
90+,6635,1%,1353,2%,279,6%,368,27%
Pending further information,840,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,36760,18%,16951,39%,1159,33%,128,11%
American Indian or Alaska Native*,4302,2%,129,<1%,6,<1%,<5,--
Asian*,4799,2%,838,2%,73,2%,15,1%
Black or African American*,13159,7%,4152,9%,395,11%,73,6%
Native Hawaiian or Other Pacific Islander*,443,<1%,0,0%,0,0%,0,0%
White*,125391,63%,20585,47%,1752,50%,925,81%
Other race*,14927,7%,744,2%,70,2%,0,0%
Multiple race*,141,<1%,391,1%,15,<1%,0,0%
Declined,3681,--,647,--,18,--,0,--
Unknown or pending further information,287056,--,9689,--,1014,--,217,--
Sex Assigned at Birth,,,,,,,,
Female,252767,55%,28677,54%,2167,48%,712,52%
Male,208068,45%,24710,46%,2306,51%,647,48%
Other,84,<1%,69,<1%,9,<1%,0,0%
Pending further information,29740,--,670,--,20,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,867,4%,28,3%,--,--
No,--,--,21017,96%,1067,97%,--,--
Unknown or pending,--,--,32242,--,3407,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,13726,54%,2197,49%,--,--
Cisgender man,--,--,11292,45%,2301,51%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,141,1%,0,0%,--,--
Other,--,--,92,<1%,<5,--,--,--
Declined,--,--,4377,--,0,--,--,--
Unknown or pending,--,--,24498,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,10,<1%,<5,--,--,--
Bisexual,--,--,172,1%,<5,--,--,--
Lesbian or gay,--,--,322,1%,11,1%,--,--
Queer,--,--,26,<1%,<5,--,--,--
Straight,--,--,21789,97%,1110,98%,--,--
Other,--,--,178,1%,6,1%,--,--
Declined,--,--,5831,--,274,--,--,--
Unknown or pending,--,--,25798,--,3097,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,12/2/2020,,,,,,,
