Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,16484,50.7%,741,52.4%,935,51.0%,196,52.8%,14460,50.5%,409,54.3%,74,61.2%,1
Female,15993,49.2%,672,47.6%,897,49.0%,175,47.2%,14112,49.3%,343,45.6%,47,38.8%,2
Unknown Sex,54,0.2%,0,0.0%,0,0.0%,0,0.0%,54,0.2%,1,0.1%,0,0.0%,3
<10 Years,1939,6.0%,30,2.1%,121,6.6%,9,2.4%,1772,6.2%,8,1.1%,0,0.0%,4
10-19 Years,3825,11.8%,121,8.6%,211,11.5%,55,14.8%,3403,11.9%,7,0.9%,0,0.0%,5
20-29 Years,6731,20.7%,400,28.3%,474,25.9%,62,16.7%,5732,20.0%,42,5.6%,2,1.7%,6
30-39 Years,6250,19.2%,260,18.4%,327,17.8%,77,20.8%,5525,19.3%,68,9.0%,4,3.3%,7
40-49 Years,4676,14.4%,214,15.1%,232,12.7%,58,15.6%,4129,14.4%,75,10.0%,7,5.8%,8
50-59 Years,4141,12.7%,175,12.4%,239,13.0%,48,12.9%,3654,12.8%,121,16.1%,7,5.8%,9
60-69 Years,3018,9.3%,144,10.2%,134,7.3%,39,10.5%,2667,9.3%,164,21.8%,23,19.0%,10
70-79 Years,1372,4.2%,52,3.7%,61,3.3%,22,5.9%,1221,4.3%,160,21.2%,36,29.8%,11
80+ Years,579,1.8%,17,1.2%,33,1.8%,1,0.3%,523,1.8%,108,14.3%,42,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1614,5.0%,68,4.8%,105,5.7%,25,6.7%,1409,4.9%,24,3.2%,0,0.0%,14
Non-Hispanic,16265,50.0%,1108,78.4%,1393,76.0%,287,77.4%,13385,46.8%,541,71.8%,95,78.5%,15
UI Ethnicity,13832,42.5%,0,0.0%,0,0.0%,0,0.0%,13832,48.3%,171,22.7%,22,18.2%,16
Unknown Ethnicity,820,2.5%,237,16.8%,334,18.2%,59,15.9%,0,0.0%,17,2.3%,4,3.3%,17
White,9923,30.5%,637,45.1%,781,42.6%,225,60.6%,8224,28.7%,228,30.3%,41,33.9%,18
Black,912,2.8%,91,6.4%,115,6.3%,21,5.7%,677,2.4%,31,4.1%,5,4.1%,19
AI/AN,6915,21.3%,348,24.6%,409,22.3%,43,11.6%,6064,21.2%,208,27.6%,44,36.4%,20
Asian,1208,3.7%,72,5.1%,95,5.2%,18,4.9%,1018,3.6%,51,6.8%,9,7.4%,21
NHOPI,1026,3.2%,73,5.2%,133,7.3%,4,1.1%,813,2.8%,87,11.6%,9,7.4%,22
Multiple,2162,6.6%,71,5.0%,89,4.9%,13,3.5%,1973,6.9%,51,6.8%,3,2.5%,23
Other,3490,10.7%,34,2.4%,49,2.7%,15,4.0%,3364,11.8%,32,4.2%,2,1.7%,24
UI Race,6493,20.0%,0,0.0%,0,0.0%,0,0.0%,6493,22.7%,58,7.7%,8,6.6%,25
Unknown Race,402,1.2%,87,6.2%,161,8.8%,32,8.6%,0,0.0%,7,0.9%,0,0.0%,26
