ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Male,498,50.9%,118,51.1%,177,47.6%,78,59.1%,125,51.4%,60.3%,50.0%,41,7
2,Female,480,49.1%,113,48.9%,195,52.4%,54,40.9%,118,48.6%,39.7%,50.0%,27,7
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
4,<10 Years,34,3.5%,4,1.7%,19,5.1%,2,1.5%,9,3.7%,0.0%,0.0%,0,0
5,10-19 Years,76,7.8%,17,7.4%,32,8.6%,9,6.8%,18,7.4%,1.5%,0.0%,1,0
6,20-29 Years,195,19.9%,40,17.3%,79,21.2%,16,12.1%,60,24.7%,7.4%,0.0%,5,0
7,30-39 Years,191,19.5%,49,21.2%,64,17.2%,26,19.7%,52,21.4%,8.8%,14.3%,6,2
8,40-49 Years,148,15.1%,39,16.9%,50,13.4%,26,19.7%,33,13.6%,5.9%,0.0%,4,0
9,50-59 Years,159,16.3%,37,16.0%,69,18.5%,19,14.4%,34,14.0%,16.2%,7.1%,11,1
10,60-69 Years,99,10.1%,24,10.4%,35,9.4%,20,15.2%,20,8.2%,17.6%,14.3%,12,2
11,70-79 Years,57,5.8%,16,6.9%,15,4.0%,13,9.8%,13,5.3%,32.4%,50.0%,22,7
12,80+ Years,19,1.9%,5,2.2%,9,2.4%,1,0.8%,4,1.6%,10.3%,14.3%,7,2
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
14,Hispanic,60,6.1%,13,5.6%,30,8.1%,14,10.6%,3,1.2%,7.4%,0.0%,5,0
15,Non-Hispanic,683,69.8%,200,86.6%,316,84.9%,111,84.1%,56,23.0%,88.2%,100.0%,60,14
16,Unknown Ethnicity,235,24.0%,18,7.8%,26,7.0%,7,5.3%,184,75.7%,4.4%,0.0%,3,0
17,White,508,51.9%,143,61.9%,225,60.5%,104,78.8%,36,14.8%,60.3%,64.3%,41,9
18,Black,24,2.5%,10,4.3%,7,1.9%,6,4.5%,1,0.4%,0.0%,0.0%,0,0
19,AI/AN,113,11.6%,39,16.9%,41,11.0%,3,2.3%,30,12.3%,13.2%,14.3%,9,2
20,Asian,60,6.1%,13,5.6%,41,11.0%,5,3.8%,1,0.4%,11.8%,14.3%,8,2
21,NHOPI,27,2.8%,6,2.6%,15,4.0%,1,0.8%,5,2.1%,7.4%,7.1%,5,1
22,Multiple,32,3.3%,10,4.3%,14,3.8%,5,3.8%,3,1.2%,0.0%,0.0%,0,0
23,Other,20,2.0%,2,0.9%,8,2.2%,4,3.0%,6,2.5%,5.9%,0.0%,4,0
24,Unknown Race,194,19.8%,8,3.5%,21,5.6%,4,3.0%,161,66.3%,1.5%,0.0%,1,0
