Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29086,51.9%,940,52.2%,1147,51.3%,237,53.6%,26349,51.9%,685,55.3%,173,60.3%,1
Female,26895,48.0%,862,47.8%,1089,48.7%,205,46.4%,24381,48.1%,553,44.7%,114,39.7%,2
Unknown Sex,8,0.0%,0,0.0%,0,0.0%,0,0.0%,8,0.0%,0,0.0%,0,0.0%,3
<10 Years,3793,6.8%,41,2.3%,161,7.2%,14,3.2%,3547,7.0%,12,1.0%,0,0.0%,4
10-19 Years,6869,12.3%,152,8.4%,265,11.9%,64,14.5%,6303,12.4%,9,0.7%,0,0.0%,5
20-29 Years,11486,20.5%,469,26.0%,539,24.1%,78,17.6%,10247,20.2%,49,4.0%,3,1.0%,6
30-39 Years,10630,19.0%,309,17.1%,383,17.1%,84,19.0%,9720,19.2%,98,7.9%,6,2.1%,7
40-49 Years,7694,13.7%,268,14.9%,270,12.1%,68,15.4%,6994,13.8%,117,9.5%,11,3.8%,8
50-59 Years,7214,12.9%,229,12.7%,283,12.7%,61,13.8%,6548,12.9%,201,16.2%,20,7.0%,9
60-69 Years,5117,9.1%,190,10.5%,166,7.4%,49,11.1%,4606,9.1%,272,22.0%,58,20.2%,10
70-79 Years,2242,4.0%,93,5.2%,97,4.3%,22,5.0%,1979,3.9%,275,22.2%,87,30.3%,11
80+ Years,944,1.7%,51,2.8%,72,3.2%,2,0.5%,794,1.6%,205,16.6%,102,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2852,5.1%,135,7.5%,197,8.8%,47,10.6%,2446,4.8%,66,5.3%,12,4.2%,14
Non-Hispanic,28327,50.6%,1421,78.9%,1726,77.2%,338,76.5%,24554,48.4%,927,74.9%,268,93.4%,15
UI Ethnicity,23738,42.4%,0,0.0%,0,0.0%,0,0.0%,23738,46.8%,226,18.3%,5,1.7%,16
Unknown Ethnicity,1072,1.9%,246,13.7%,313,14.0%,57,12.9%,0,0.0%,19,1.5%,2,0.7%,17
White,17152,30.6%,802,44.5%,934,41.8%,273,61.8%,14937,29.4%,415,33.5%,122,42.5%,18
Black,1369,2.4%,96,5.3%,120,5.4%,21,4.8%,1115,2.2%,45,3.6%,9,3.1%,19
AI/AN,12083,21.6%,502,27.9%,564,25.2%,52,11.8%,10842,21.4%,331,26.7%,104,36.2%,20
Asian,2212,4.0%,90,5.0%,133,5.9%,19,4.3%,1943,3.8%,117,9.5%,29,10.1%,21
NHOPI,1469,2.6%,79,4.4%,149,6.7%,4,0.9%,1229,2.4%,125,10.1%,16,5.6%,22
Multiple,4305,7.7%,83,4.6%,98,4.4%,15,3.4%,4077,8.0%,67,5.4%,4,1.4%,23
Other,6789,12.1%,52,2.9%,63,2.8%,17,3.8%,6520,12.9%,52,4.2%,1,0.3%,24
UI Race,10075,18.0%,0,0.0%,0,0.0%,0,0.0%,10075,19.9%,77,6.2%,1,0.3%,25
Unknown Race,535,1.0%,98,5.4%,175,7.8%,41,9.3%,0,0.0%,9,0.7%,1,0.3%,26
