Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,33343,52.1%,1094,51.7%,1422,49.9%,276,52.4%,30052,52.2%,784,54.6%,198,60.2%,1
Female,30622,47.9%,1022,48.3%,1426,50.1%,251,47.6%,27454,47.7%,653,45.4%,131,39.8%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,4602,7.2%,66,3.1%,263,9.2%,18,3.4%,4211,7.3%,16,1.1%,0,0.0%,4
10-19 Years,8279,12.9%,211,10.0%,376,13.2%,72,13.7%,7517,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13049,20.4%,533,25.2%,611,21.5%,88,16.7%,11622,20.2%,58,4.0%,4,1.2%,6
30-39 Years,12109,18.9%,372,17.6%,462,16.2%,91,17.3%,11026,19.2%,119,8.3%,6,1.8%,7
40-49 Years,8741,13.7%,294,13.9%,335,11.8%,79,15.0%,7913,13.8%,144,10.0%,15,4.6%,8
50-59 Years,8153,12.7%,258,12.2%,356,12.5%,71,13.5%,7354,12.8%,245,17.0%,21,6.4%,9
60-69 Years,5616,8.8%,220,10.4%,212,7.4%,68,12.9%,4982,8.7%,324,22.5%,65,19.8%,10
70-79 Years,2422,3.8%,105,5.0%,131,4.6%,35,6.6%,2087,3.6%,297,20.7%,100,30.4%,11
80+ Years,1006,1.6%,57,2.7%,102,3.6%,5,0.9%,806,1.4%,219,15.2%,118,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3285,5.1%,137,6.5%,221,7.8%,56,10.6%,2836,4.9%,75,5.2%,15,4.6%,14
Non-Hispanic,33952,53.1%,1697,80.2%,2232,78.4%,401,76.1%,29221,50.8%,1082,75.3%,308,93.6%,15
UI Ethnicity,25461,39.8%,0,0.0%,0,0.0%,0,0.0%,25461,44.3%,259,18.0%,4,1.2%,16
Unknown Ethnicity,1279,2.0%,282,13.3%,395,13.9%,70,13.3%,0,0.0%,21,1.5%,2,0.6%,17
White,21127,33.0%,872,41.2%,1117,39.2%,314,59.6%,18564,32.3%,514,35.8%,144,43.8%,18
Black,1553,2.4%,96,4.5%,132,4.6%,22,4.2%,1286,2.2%,51,3.5%,10,3.0%,19
AI/AN,13377,20.9%,722,34.1%,870,30.5%,74,14.0%,11495,20.0%,382,26.6%,117,35.6%,20
Asian,2494,3.9%,94,4.4%,168,5.9%,22,4.2%,2179,3.8%,122,8.5%,32,9.7%,21
NHOPI,1660,2.6%,81,3.8%,160,5.6%,4,0.8%,1406,2.4%,133,9.3%,18,5.5%,22
Multiple,4861,7.6%,89,4.2%,124,4.4%,21,4.0%,4586,8.0%,78,5.4%,6,1.8%,23
Other,7498,11.7%,55,2.6%,75,2.6%,20,3.8%,7206,12.5%,63,4.4%,1,0.3%,24
UI Race,10796,16.9%,0,0.0%,0,0.0%,0,0.0%,10796,18.8%,85,5.9%,0,0.0%,25
Unknown Race,611,1.0%,107,5.1%,202,7.1%,50,9.5%,0,0.0%,9,0.6%,1,0.3%,26
