Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,9374,50.1%,738,52.4%,929,50.9%,195,53.0%,7441,49.7%,255,52.9%,51,60.7%,1,3236,49.7%
Female,9321,49.8%,670,47.6%,895,49.1%,173,47.0%,7522,50.2%,227,47.1%,33,39.3%,2,3275,50.3%
Unknown Sex,21,0.1%,0,0.0%,0,0.0%,0,0.0%,21,0.1%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,1013,5.4%,30,2.1%,120,6.6%,9,2.4%,851,5.7%,5,1.0%,0,0.0%,4,329,5.1%
10-19 Years,2219,11.9%,120,8.5%,211,11.6%,54,14.7%,1814,12.1%,3,0.6%,0,0.0%,5,693,10.6%
20-29 Years,4034,21.6%,399,28.3%,473,25.9%,62,16.8%,3066,20.5%,25,5.2%,1,1.2%,6,1559,23.9%
30-39 Years,3530,18.9%,258,18.3%,328,18.0%,75,20.4%,2844,19.0%,40,8.3%,2,2.4%,7,1255,19.3%
40-49 Years,2662,14.2%,214,15.2%,229,12.6%,58,15.8%,2141,14.3%,56,11.6%,5,6.0%,8,867,13.3%
50-59 Years,2417,12.9%,174,12.4%,238,13.0%,48,13.0%,1950,13.0%,83,17.2%,7,8.3%,9,855,13.1%
60-69 Years,1750,9.4%,144,10.2%,131,7.2%,39,10.6%,1424,9.5%,108,22.4%,14,16.7%,10,623,9.6%
70-79 Years,766,4.1%,52,3.7%,61,3.3%,22,6.0%,623,4.2%,96,19.9%,27,32.1%,11,243,3.7%
80+ Years,325,1.7%,17,1.2%,33,1.8%,1,0.3%,271,1.8%,66,13.7%,28,33.3%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1009,5.4%,110,7.8%,171,9.4%,38,10.3%,683,4.6%,24,5.0%,1,1.2%,14,597,9.2%
Non-Hispanic,8201,43.8%,1079,76.6%,1360,74.6%,280,76.1%,5413,36.1%,343,71.2%,71,84.5%,15,4967,76.3%
UI Ethnicity,8888,47.5%,0,0.0%,0,0.0%,0,0.0%,8888,59.3%,99,20.5%,9,10.7%,16,574,8.8%
Unknown Ethnicity,618,3.3%,219,15.6%,293,16.1%,50,13.6%,0,0.0%,16,3.3%,3,3.6%,17,374,5.7%
White,5193,27.7%,629,44.7%,767,42.1%,221,60.1%,3548,23.7%,129,26.8%,31,36.9%,18,2798,43.0%
Black,566,3.0%,89,6.3%,114,6.3%,21,5.7%,337,2.2%,24,5.0%,3,3.6%,19,292,4.5%
AI/AN,4271,22.8%,344,24.4%,407,22.3%,43,11.7%,3433,22.9%,142,29.5%,27,32.1%,20,1473,22.6%
Asian,707,3.8%,70,5.0%,94,5.2%,18,4.9%,523,3.5%,30,6.2%,8,9.5%,21,419,6.4%
NHOPI,658,3.5%,73,5.2%,132,7.2%,4,1.1%,447,3.0%,63,13.1%,7,8.3%,22,392,6.0%
Multiple,1030,5.5%,71,5.0%,88,4.8%,13,3.5%,853,5.7%,26,5.4%,3,3.6%,23,353,5.4%
Other,1011,5.4%,33,2.3%,47,2.6%,14,3.8%,916,6.1%,19,3.9%,1,1.2%,24,196,3.0%
UI Race,4927,26.3%,0,0.0%,0,0.0%,0,0.0%,4927,32.9%,41,8.5%,4,4.8%,25,367,5.6%
Unknown Race,353,1.9%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.7%,0,0.0%,26,222,3.4%
